exercise_name,educational_list,parser_list
ae_adl_arithmetics2,"[Multiplication, Addition, AssigningValueVariable, CallingLibraryFunction, Printing, Division, Substraction, CreatingString]","[+, FloatLiteral, print(), IntegerLiteral, =, *, /, FunctionCall, StringLiteral, -, SimpleAssignmentStatement, ExpressionStatement, BinaryOperation]"
ae_adl_comparison,"[BooleanEvaluating, AssigningValueVariable, Printing, CallingLibraryFunction]","[NotEqual, print(), Less, =, Larger, ComparisonExpression, FunctionCall, SimpleAssignmentStatement, ExpressionStatement]"
ae_adl_dict1,"[FindingLength, IfElseChecking, AccessingDictionary, AssigningValueVariable, CallingLibraryFunction, BooleanEvaluating, Printing, DefiningFunctionCallingFunction, DefiningSimpleFunction, CreatingDictionary, CheckingForItem, AddingItemToDictionary, IndexingDictionary, ChangingValueDictionaryElement, CreatingString]","[StringLiteral, print(), =, IfElseStatement, in, len(), FunctionCall, DictLiteral, FunctionDefinition, SimpleAssignmentStatement, ExpressionStatement, IndexingExpression, IntegerLiteral, ComparisonExpression]"
ae_adl_dict2,"[AccessingDictionary, Addition, AssigningValueVariable, CallingLibraryFunction, Printing, DefiningSimpleFunction, CreatingDictionary, AddingItemToDictionary, IndexingDictionary, ChangingValueDictionaryElement, ChangingValueVariable, CreatingString, CallingSimpleFunction]","[+, print(), IntegerLiteral, =, DictLiteral, FunctionCall, StringLiteral, FunctionDefinition, SimpleAssignmentStatement, ExpressionStatement, BinaryOperation, IndexingExpression]"
ae_adl_dict3,"[SingleForLoopIteration, FindMaximum, AccessingDictionary, AssigningValueVariable, IfCheckingInForLoop, CallingLibraryFunction, BooleanEvaluating, Printing, DefiningSimpleFunction, CreatingDictionary, AddingItemToDictionary, IndexingDictionary, ForLoopWithListIndexing, ChangingValueDictionaryElement, CreatingString, CallingSimpleFunction]","[ForStatement, or, print(), IntegerLiteral, =, NoneLiteral, Larger, DictLiteral, ComparisonExpression, IfStatement, FunctionCall, StringLiteral, FunctionDefinition, SimpleAssignmentStatement, ExpressionStatement, BinaryOperation, IndexingExpression, ==, BooleanOperation]"
ae_adl_file1,"[ClosingFile, SingleForLoopIteration, TransformingToIntType, Addition, AssigningValueVariable, ReadingLine, CallingLibraryFunction, ChangingValueVariable, Printing, DefiningSimpleFunction, OpeningFile, Division, ForLoopWith+=, CreatingString, CallingSimpleFunction]","[ForStatement, +, open(), print(), IntegerLiteral, int(), close(), =, /, FunctionCall, StringLiteral, FunctionDefinition, SimpleAssignmentStatement, ExpressionStatement, BinaryOperation]"
ae_adl_file2,"[ClosingFile, SingleForLoopIteration, TrimmingString, AssigningValueVariable, IfCheckingInForLoop, ReadingLine, CallingLibraryFunction, SplittingString, Printing, DefiningSimpleFunction, OpeningFile, CreatingString, CallingSimpleFunction, BooleanEvaluating]","[ForStatement, open(), print(), =, rstrip(), ComparisonExpression, IfStatement, FunctionCall, StringLiteral, FunctionDefinition, SimpleAssignmentStatement, ExpressionStatement, BinaryOperation, IndexingExpression, close(), split()]"
ae_adl_findmax,"[SingleForLoopIteration, FindMaximum, AssigningValueVariable, IfCheckingInForLoop, CallingLibraryFunction, BooleanEvaluating, Printing, CreatingList, IndexingList, CreatingString]","[ForStatement, print(), IntegerLiteral, =, Larger, ComparisonExpression, IfStatement, ListLiteral, FunctionCall, StringLiteral, SimpleAssignmentStatement, ExpressionStatement, BinaryOperation, IndexingExpression]"
ae_adl_for,"[SingleForLoopIteration, CallingLibraryFunction, Printing, Multiplication, CreatingString]","[ForStatement, range(), print(), IntegerLiteral, *, in, FunctionCall, StringLiteral, ExpressionStatement, BinaryOperation]"
ae_adl_format1,"[Printing, AssigningValueVariable, FormattingString, CallingLibraryFunction, NestedFunctionCall, CreatingString]","[print(), IntegerLiteral, =, format(), FunctionCall, StringLiteral, SimpleAssignmentStatement, ExpressionStatement]"
