index,exercise_name,length_lines,comment_lines,length_chars,length_lines_bin,comments_bin,chars_bin
1,py_fail_course,15,6,790,1,1,1
2,py_fail_course2,20,7,964,1,1,1
3,py_fail_course3,15,6,810,1,1,1
4,py_phone_age,20,7,881,1,1,1
5,py_phone_age2,34,11,1592,1,1,1
6,py_rent_car,20,7,913,1,1,1
7,py_rent_car2,29,10,1604,1,1,1
8,py_rent_car3,24,9,1203,1,1,1
9,py_check_age,22,8,1015,1,1,1
10,py_check_age2,27,9,1403,1,1,1
11,py_three_boolean,34,11,1607,1,1,1
12,py_three_boolean2,34,11,1621,1,1,1
13,py_three_boolean3,34,11,1657,1,1,1
14,py_boolean_dry_hot,26,9,1004,1,1,1
15,py_boolean_dry_hot2,26,9,1051,1,1,1
16,py_boolean_dry_hot3,26,9,1014,1,1,1
17,py_boolean_dry_hot4,27,9,1129,1,1,1
18,py_str_repeat_chars,15,9,746,1,1,1
19,py_str_repeat2,15,9,811,1,1,1
20,py_file_input_stat,32,12,1660,1,1,1
21,py_input_stat2,49,14,2357,1,1,1
22,py_student_score,18,7,1082,1,1,1
23,py_score_dict2,29,11,1626,1,1,1
24,bjects_classes_loan,35,8,2243,1,1,1
25,py_loan2,40,9,2582,1,1,1
26,ex_0026,40,9,1646,1,1,1
27,py_tv2,40,9,1748,1,1,1
28,objects_classes_point,25,8,1188,1,1,1
29,py_point2,24,8,1242,1,1,1
30,objects_classes_account,42,10,2451,1,1,1
31,py_account2,41,11,2342,1,1,1
32,py_char_dict,20,8,952,1,1,1
33,py_first_char_words_dict,23,9,1159,1,1,1
34,ae_adl_hello,3,2,69,0,0,0
35,ae_adl_variables,9,2,173,0,0,0
36,ae_adl_simple_arithmetics,5,2,107,0,0,0
37,ae_adl_arithmetics2,5,2,121,0,0,0
38,ae_adl_swap,8,2,171,0,0,0
39,ae_adl_comparison,8,2,333,0,0,0
40,ae_adl_logic,10,2,315,0,0,0
41,ae_adl_greet,5,2,133,0,0,0
42,ae_adl_input1,6,2,206,0,0,0
43,ae_adl_input2,5,2,160,0,0,0
44,ae_adl_hiscore1,8,2,168,0,0,0
45,ae_adl_hiscore2,8,2,168,0,0,0
46,ae_adl_ifelse,8,2,175,0,0,0
47,ae_adl_ifelifelse,16,2,285,1,0,0
48,ae_adl_nested_if,11,2,220,0,0,0
49,ae_adl_while,7,2,176,0,0,0
50,ae_adl_for,5,2,125,0,0,0
