batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_no_window_code_with_problems/chars_bin=0,parser,5,0.4703,0.4375,0.4502,0.4197,0.1336,0.9472,0.3367,0.4967,0.3304
splits_no_window_code_with_problems/chars_bin=0,parser,4,0.4589,0.4606,0.4576,0.4317,0.1527,0.9246,0.3526,0.5105,0.3427
splits_no_window_code_with_problems/chars_bin=0,parser,3,0.4558,0.4610,0.4561,0.4293,0.1527,0.9158,0.3529,0.5094,0.3418
splits_no_window_code_with_problems/chars_bin=1,parser,5,0.4488,0.4437,0.4451,0.4163,0.0606,0.9139,0.5495,0.6863,0.5225
splits_no_window_code_with_problems/chars_bin=1,parser,4,0.4424,0.4505,0.4453,0.4162,0.0530,0.9002,0.5569,0.6881,0.5245
splits_no_window_code_with_problems/chars_bin=1,parser,3,0.4383,0.4510,0.4434,0.4132,0.0530,0.8921,0.5575,0.6862,0.5223
splits_no_window_code_with_problems/comments_bin=0,parser,5,0.4855,0.4565,0.4674,0.4352,0.1183,0.9383,0.3941,0.5551,0.3842
splits_no_window_code_with_problems/comments_bin=0,parser,4,0.4755,0.4752,0.4731,0.4443,0.1374,0.9181,0.4084,0.5653,0.3940
splits_no_window_code_with_problems/comments_bin=0,parser,3,0.4716,0.4756,0.4711,0.4413,0.1374,0.9089,0.4087,0.5638,0.3926
splits_no_window_code_with_problems/comments_bin=1,parser,5,0.4338,0.4250,0.4279,0.4009,0.0758,0.9168,0.4920,0.6404,0.4710
splits_no_window_code_with_problems/comments_bin=1,parser,4,0.4260,0.4360,0.4300,0.4037,0.0682,0.9026,0.5011,0.6445,0.4754
splits_no_window_code_with_problems/comments_bin=1,parser,3,0.4226,0.4365,0.4285,0.4013,0.0682,0.8949,0.5017,0.6430,0.4738
splits_no_window_code_with_problems/length_lines_bin=0,parser,5,0.5105,0.4782,0.4904,0.4587,0.1603,0.9474,0.3742,0.5365,0.3666
splits_no_window_code_with_problems/length_lines_bin=0,parser,4,0.4993,0.5009,0.4978,0.4704,0.1756,0.9270,0.3902,0.5492,0.3785
splits_no_window_code_with_problems/length_lines_bin=0,parser,3,0.4959,0.5013,0.4961,0.4678,0.1756,0.9183,0.3904,0.5479,0.3773
splits_no_window_code_with_problems/length_lines_bin=1,parser,5,0.4089,0.4034,0.4051,0.3775,0.0341,0.9113,0.5120,0.6556,0.4877
splits_no_window_code_with_problems/length_lines_bin=1,parser,4,0.4023,0.4105,0.4054,0.3778,0.0303,0.8968,0.5194,0.6578,0.4901
