session,batch_id,exercise_name,missing_python_count,missing_education_count,missing_any_count
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_arithmetics2,95,84,179
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_comparison,1,77,78
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_dict1,1,92,93
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_dict2,1,94,95
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_dict3,1,95,96
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_file1,0,40,40
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_file2,1,85,86
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_findmax,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_for,85,90,175
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_format1,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_format2,1,2,3
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_functions1,85,72,157
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_functions2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_functions3,29,9,38
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_greet,0,97,97
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_hello,65,0,65
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_hiscore1,1,17,18
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_hiscore2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_ifelifelse,0,27,27
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_ifelse,0,73,73
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_input1,93,81,174
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_input2,1,77,78
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_lists1,92,95,187
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_lists3,32,0,32
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_logic,39,0,39
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_nested_if,74,95,169
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_objects1,1,2,3
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_objects2,90,93,183
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_objects3,98,14,112
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_recursion,91,96,187
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_returnvalue,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_simple_arithmetics,94,96,190
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_swap,93,0,93
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_tryexcept1,1,1,2
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_tryexcept2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_vals_refs1,26,76,102
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_vals_refs2,2,17,19
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_vals_refs3,1,2,3
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_variables,94,0,94
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_adl_while,92,37,129
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_assignment,4,0,4
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_class2,28,82,110
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_file,1,86,87
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_float,1,96,97
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_function,25,4,29
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_if,1,2,3
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_input,81,0,81
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_intro,93,0,93
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_list,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_split,79,8,87
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ae_python_while,0,93,93
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,bjects_classes_loan,5,90,95
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,objects_classes_account,0,69,69
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,objects_classes_point,6,73,79
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_hello,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_2d_list,1,40,41
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_add_to_list,88,0,88
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_bigger_than,1,41,42
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_calculate_function,81,95,176
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_class_person,2,1,3
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_class_point,4,4,8
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_comparisons,0,24,24
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_conditionals_temperature,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_dict_filter,86,1,87
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_dict_keys,79,0,79
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_dict_values,89,0,89
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_for_odd_or_even,79,67,146
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_iteration_addition,1,34,35
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_iteration_multiplication,90,56,146
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_list_iteration_zoo,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_list_to_dict,1,1,2
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_modulo_is_even,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_nested_calls,9,86,95
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_nested_ifs,23,19,42
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_nested_lists_indexing,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_nested_loops,19,0,19
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_printing_file_contents,67,89,156
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_recursive_factorial,82,75,157
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_string_indexing,91,0,91
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_string_join,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_swap,5,0,5
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_try_adding,14,1,15
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_try_except,67,0,67
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_python_xor,38,80,118
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_return_bigger_or_none,87,0,87
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_simple_function,94,4,98
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,ps_simple_params,6,91,97
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_account2,13,5,18
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_adjacent_consecutive,1,82,83
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_average_even_nums,49,73,122
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_average_float,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_average_list_elements,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_bmi_calculator,1,1,2
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_bmi_calculator2,1,75,76
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_boolean_dry_hot,1,13,14
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_boolean_dry_hot3,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_boolean_dry_hot4,0,13,13
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_char_dict,87,2,89
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_check_age,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_check_age2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_check_product_code,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_check_product_code2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_concat_char_two_str,9,0,9
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_concat_char_two_str2,90,0,90
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_concat_str_num2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_concat_string_num3,93,0,93
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_digits,1,3,4
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_divisor,92,0,92
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_f_to_c_conversion,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_fahrenheit_to_celsius,1,78,79
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_fail_course,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_fail_course2,1,1,2
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_file_input_stat,71,0,71
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_find_average,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_first_char_words_dict,1,1,2
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_if_else_grade,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_if_else_num,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_if_else_wage,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_if_else_wage2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_ifelse_odd_even,42,1,43
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_ifelseif_grade2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_input,88,73,161
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_input2,89,0,89
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_input3,0,71,71
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_input4,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_input_stat2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list2d_basic,92,5,97
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list2d_basic2,1,6,7
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list2d_basic3,79,7,86
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_basic,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_basic2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_basic3,1,1,2
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_change,48,0,48
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_fill,6,13,19
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_fill_user_input,90,0,90
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_min,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_min_max,88,0,88
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_process_elements,22,0,22
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_rotate,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_rotate_left_twice,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_rotate_right,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_rotate_right_twice,39,0,39
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_list_swap_adjacent_elements,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_loan2,4,0,4
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_nested_if_max_of_three,1,95,96
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_nested_if_min_max,1,24,25
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_nested_if_temperature,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_nested_if_temperature2,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_phone_age,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_phone_age2,0,1,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_point2,6,16,22
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_print_medals,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_print_medals_row_column_total,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_pythagorean_theorem,1,76,77
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_pythagorean_theorem2,1,68,69
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_range1_2,74,0,74
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_range2_2,11,0,11
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_range3_2,79,0,79
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_range_one,24,0,24
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_range_three,38,0,38
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_range_two,3,0,3
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_rent_car,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_rent_car3,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_reverse_number,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_score_dict2,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_search_list,74,0,74
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_search_list_count_each,87,2,89
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_search_list_total_count,87,0,87
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_soda_survey_soda_avg,88,0,88
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_soda_survey_soda_respondent_avg,1,0,1
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_squares,13,0,13
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_star_patterns,0,53,53
no_window,batch_68d3cb5b8b388190bb77bc6c4c8d891b,py_stars_2,1,0,1
