exercise_name,parent,leaf_class,reason,score
py_fail_course,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course,Call,FunctionCall,Multiple function calls are used such as input(), int(), and print() to read inputs, convert types, and output results.,5
py_fail_course,ArithmeticExpression,BinaryOperation,Binary operations are used in comparison expressions (e.g., exam_score < 55, number_of_missing_hw > 2) and in the boolean expression combining them with 'or'.,5
py_fail_course,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course,LogicalExpression,ComparisonExpression,Comparison expressions are used to compare exam_score and number_of_missing_hw against thresholds.,5
py_fail_course,LogicalExpression,BooleanExpression,Boolean logic is used to combine comparison expressions with 'or' and in the if condition.,5
py_fail_course,Literal,StringLiteral,String literals are used in input prompts and print statements.,5
py_fail_course,Literal,BooleanLiteral,Boolean literals (True) are used explicitly in the if condition.,4
py_fail_course,Literal,NoneLiteral,None literal is not used in the snippet.,0
py_fail_course,NumericLiteral,FloatLiteral,No floating point literals are used; all numeric literals are integers.,0
py_fail_course,NumericLiteral,IntegerLiteral,Integer literals are used in comparisons (55, 2) and in int() conversions.,5
py_fail_course,LiteralCollection,TupleLiteral,No tuple literals are used.,0
py_fail_course,LiteralCollection,SetLiteral,No set literals are used.,0
py_fail_course,LiteralCollection,ListLiteral,No list literals are used.,0
py_fail_course,LiteralCollection,DictLiteral,No dictionary literals are used.,0
py_fail_course,Error,TypeError,No error handling or exceptions are present in the snippet.,0
py_fail_course,Error,OSError,No error handling or exceptions are present.,0
py_fail_course,Error,IndexError,No indexing or slicing that could cause IndexError.,0
py_fail_course,Error,IOError,No error handling related to IO.,0
py_fail_course,Error,FileNotFoundError,No file operations are performed.,0
py_fail_course,Error,ValueError,No explicit error handling for ValueError, though int() could raise it if input is invalid, but not handled.,1
py_fail_course,Error,AssertionError,No assertions are used.,0
py_fail_course,StringMethod,split(),No string splitting is used.,0
py_fail_course,StringMethod,lower(),No string lowercasing is used.,0
py_fail_course,StringMethod,join(),No string joining is used.,0
py_fail_course,StringMethod,format(),No string formatting is used.,0
py_fail_course,StringMethod,capitalize(),No capitalization is used.,0
py_fail_course,StringMethod,rstrip(),No rstrip usage.,0
py_fail_course,StringMethod,replace(),No replace usage.,0
py_fail_course,DictionaryMethod,values(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,keys(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,items(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,get(),No dictionary methods used.,0
py_fail_course,ClassMethod,__init()__,No class definitions or initializations.,0
py_fail_course,ListMethod,reverse(),No list methods used.,0
py_fail_course,ListMethod,insert(),No list methods used.,0
py_fail_course,ListMethod,remove(),No list methods used.,0
py_fail_course,ListMethod,append(),No list methods used.,0
py_fail_course,ListMethod,pop(),No list methods used.,0
py_fail_course,FileMethod,readline(),No file reading methods used.,0
py_fail_course,FileMethod,close(),No file closing.,0
py_fail_course,FileMethod,read(),No file reading.,0
py_fail_course,Operator,=,=,Multiple assignment statements are used to assign input values and boolean results.,5
py_fail_course,ComparisonOperator,LessOrEqual,<=,Not used; only < and > are used.,0
py_fail_course,ComparisonOperator,Less,<,Used in exam_score < 55 comparison.,5
py_fail_course,ComparisonOperator,Larger,>,Used in number_of_missing_hw > 2 comparison.,5
py_fail_course,ComparisonOperator,LargerOrEqual,>=,Not used.,0
py_fail_course,ComparisonOperator,==,==,Used in if condition to compare is_failing == True.,4
py_fail_course,ComparisonOperator,NotEqual,!=,Not used.,0
py_fail_course,MembershipOperator,in,No membership tests are used.,0
py_fail_course,LogicalOperator,and,Not used; 'or' is used instead.,0
