exercise_name,parent,leaf_class,reason,score
py_fail_course,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course,Call,FunctionCall,Multiple function calls are used such as input(), int(), and print() to read inputs, convert types, and output results.,5
py_fail_course,ArithmeticExpression,BinaryOperation,Binary operations are used in the boolean expression (exam_score < 55 or number_of_missing_hw > 2) involving comparison operators and logical OR.,4
py_fail_course,ArithmeticExpression,UnaryOperation,No unary operations (like negation) are used in the snippet.,0
py_fail_course,LogicalExpression,ComparisonExpression,Comparison expressions are used to compare exam_score and number_of_missing_hw against thresholds.,5
py_fail_course,LogicalExpression,BooleanExpression,Boolean expressions are used to combine comparison results with logical OR to determine failing status.,5
py_fail_course,Literal,StringLiteral,String literals are used in input prompts and print statements.,5
py_fail_course,Literal,BooleanLiteral,Boolean literals are implicitly used in the if condition (is_failing == True), though True is a boolean literal.,4
py_fail_course,Literal,NoneLiteral,None literal is not used in the snippet.,0
py_fail_course,NumericLiteral,FloatLiteral,No float literals are used; all numeric literals are integers.,0
py_fail_course,NumericLiteral,IntegerLiteral,Integer literals are used in comparisons (55, 2) and conversions.,5
py_fail_course,LiteralCollection,TupleLiteral,No tuple literals are used.,0
py_fail_course,LiteralCollection,SetLiteral,No set literals are used.,0
py_fail_course,LiteralCollection,ListLiteral,No list literals are used.,0
py_fail_course,LiteralCollection,DictLiteral,No dictionary literals are used.,0
py_fail_course,Error,TypeError,No explicit error handling or raising of TypeError.,0
py_fail_course,Error,OSError,No OSError handling or raising.,0
py_fail_course,Error,IndexError,No indexing or slicing that could cause IndexError.,0
py_fail_course,Error,IOError,No IOError handling or raising.,0
py_fail_course,Error,FileNotFoundError,No file operations are performed.,0
py_fail_course,Error,ValueError,No explicit error handling for ValueError, though int() conversion could raise it implicitly.,1
py_fail_course,Error,AssertionError,No assertions are used.,0
py_fail_course,StringMethod,split(),No use of split() method.,0
py_fail_course,StringMethod,lower(),No use of lower() method.,0
py_fail_course,StringMethod,join(),No use of join() method.,0
py_fail_course,StringMethod,format(),No use of format() method.,0
py_fail_course,StringMethod,capitalize(),No use of capitalize() method.,0
py_fail_course,StringMethod,rstrip(),No use of rstrip() method.,0
py_fail_course,StringMethod,replace(),No use of replace() method.,0
py_fail_course,DictionaryMethod,values(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,keys(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,items(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,get(),No dictionary methods used.,0
py_fail_course,ClassMethod,__init()__,No class definitions or __init__ methods used.,0
py_fail_course,ListMethod,reverse(),No list methods used.,0
py_fail_course,ListMethod,insert(),No list methods used.,0
py_fail_course,ListMethod,remove(),No list methods used.,0
py_fail_course,ListMethod,append(),No list methods used.,0
py_fail_course,ListMethod,pop(),No list methods used.,0
py_fail_course,FileMethod,readline(),No file methods used.,0
py_fail_course,FileMethod,close(),No file methods used.,0
py_fail_course,FileMethod,read(),No file methods used.,0
py_fail_course,Operator,=,=,Multiple assignment statements are used to assign input and computed values.,5
py_fail_course,ComparisonOperator,LessOrEqual,<=,Not used in the snippet.,0
py_fail_course,ComparisonOperator,Less,<,Used in exam_score < 55 comparison.,5
py_fail_course,ComparisonOperator,Larger,>,Used in number_of_missing_hw > 2 comparison.,5
py_fail_course,ComparisonOperator,LargerOrEqual,>=,Not used.,0
py_fail_course,ComparisonOperator,==,==,Used in if condition to compare is_failing == True.,4
py_fail_course,ComparisonOperator,NotEqual,!=,Not used.,0
py_fail_course,MembershipOperator,in,No membership tests are used.,0
py_fail_course,LogicalOperator,and,,Not used; logical OR is used instead.,0
