exercise_name,parent,leaf_class
py_fail_course,Python,Concatenation
py_fail_course2,Python,Concatenation
py_phone_age,Python,Concatenation
py_phone_age2,Python,Concatenation
py_three_boolean,CheckingCondition,AssertChecking
py_three_boolean,HandlingAdvancedDataStructure,BinaryTreeTask
py_three_boolean,HandlingAdvancedDataStructure,LinkedListTask
py_three_boolean,HandlingAdvancedDataStructure,QueueTask
py_three_boolean,HandlingAdvancedDataStructure,StackTask
py_three_boolean,TwoDimensionalArrayTask,ReplacingElement2DArray
py_three_boolean,TwoDimensionalArrayTask,Indexing2DArray
py_three_boolean,TwoDimensionalArrayTask,Create2DArray
py_three_boolean,HandlingObjectOrientedProgramming,CallingOOPMethod
py_three_boolean,HandlingObjectOrientedProgramming,CreatingObject
py_three_boolean,HandlingObjectOrientedProgramming,DefiningClass
py_three_boolean,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_three_boolean,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_three_boolean,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_three_boolean3,Python,Concatenation
py_three_boolean3,CheckingCondition,AssertChecking
py_three_boolean3,ManagingVariable,SwappingVariablesValue
py_three_boolean3,HandlingAdvancedDataStructure,BinaryTreeTask
py_three_boolean3,HandlingAdvancedDataStructure,LinkedListTask
py_three_boolean3,HandlingAdvancedDataStructure,QueueTask
py_three_boolean3,HandlingAdvancedDataStructure,StackTask
py_three_boolean3,TwoDimensionalArrayTask,ReplacingElement2DArray
py_three_boolean3,TwoDimensionalArrayTask,Indexing2DArray
py_three_boolean3,TwoDimensionalArrayTask,Create2DArray
py_three_boolean3,HandlingObjectOrientedProgramming,CallingOOPMethod
py_three_boolean3,HandlingObjectOrientedProgramming,CreatingObject
py_three_boolean3,HandlingObjectOrientedProgramming,DefiningClass
py_three_boolean3,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_three_boolean3,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_three_boolean3,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_three_boolean3,HandlingRecursiveFunction,CallingRecursiveFunction
py_three_boolean3,HandlingRecursiveFunction,DefiningRecursiveFunction
py_three_boolean3,HandlingNestedFunction,CallingNestedFunction
