exercise_name,parent,leaf_class
py_fail_course,Python,Concatenation
py_fail_course2,Python,Concatenation
py_fail_course2,CheckingCondition,AssertChecking
py_phone_age,Python,Concatenation
py_phone_age2,Python,Concatenation
py_phone_age2,Python,FindingLength
py_phone_age2,Python,CheckingForItem
py_phone_age2,CheckingCondition,AssertChecking
py_phone_age2,CheckingCondition,IfElifChecking
py_phone_age2,CheckingInForLoop,IfElseCheckingInForLoop
py_phone_age2,CheckingInForLoop,IfElifCheckingInForLoop
py_phone_age2,CheckingInForLoop,IfCheckingInForLoop
py_phone_age2,CheckingInForLoop,IfElifElseCheckingInForLoop
py_phone_age2,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
py_phone_age2,CheckingInWhileLoop,IfCheckingInWhileLoop
py_phone_age2,CheckingInWhileLoop,IfElseCheckingInWhileLoop
py_phone_age2,CheckingInWhileLoop,IfElifCheckingInWhileLoop
py_phone_age2,ManagingVariable,SwappingVariablesValue
py_phone_age2,HandlingAdvancedDataStructure,BinaryTreeTask
py_phone_age2,HandlingAdvancedDataStructure,LinkedListTask
py_phone_age2,HandlingAdvancedDataStructure,QueueTask
py_phone_age2,HandlingAdvancedDataStructure,StackTask
py_phone_age2,TwoDimensionalArrayTask,ReplacingElement2DArray
py_phone_age2,TwoDimensionalArrayTask,Indexing2DArray
py_phone_age2,TwoDimensionalArrayTask,Create2DArray
py_phone_age2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_phone_age2,HandlingObjectOrientedProgramming,CreatingObject
py_phone_age2,HandlingObjectOrientedProgramming,DefiningClass
py_phone_age2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_phone_age2,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_phone_age2,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_phone_age2,HandlingRecursiveFunction,CallingRecursiveFunction
py_phone_age2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_phone_age2,HandlingNestedFunction,CallingNestedFunction
py_phone_age2,HandlingNestedFunction,DefiningNestedFunction
py_phone_age2,HandlingStandardFunction,DefiningStandardFunction
py_phone_age2,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith*=
