exercise_name,parent,leaf_class
py_fail_course,Python,Concatenation
py_fail_course2,Python,Concatenation
py_fail_course2,CheckingCondition,AssertChecking
py_fail_course2,HandlingAdvancedDataStructure,BinaryTreeTask
py_fail_course2,HandlingAdvancedDataStructure,LinkedListTask
py_fail_course2,HandlingAdvancedDataStructure,QueueTask
py_fail_course2,HandlingAdvancedDataStructure,StackTask
py_fail_course2,TwoDimensionalArrayTask,ReplacingElement2DArray
py_fail_course2,TwoDimensionalArrayTask,Indexing2DArray
py_fail_course2,TwoDimensionalArrayTask,Create2DArray
py_fail_course2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_fail_course2,HandlingObjectOrientedProgramming,CreatingObject
py_fail_course2,HandlingObjectOrientedProgramming,DefiningClass
py_fail_course2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course2,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_fail_course2,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_fail_course2,HandlingRecursiveFunction,CallingRecursiveFunction
py_fail_course2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_fail_course2,HandlingNestedFunction,CallingNestedFunction
py_fail_course2,HandlingNestedFunction,DefiningNestedFunction
py_fail_course2,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_fail_course2,WhileLoopWithUpdate,WhileLoopWith*=
py_fail_course2,WhileLoopWithUpdate,WhileLoopWith+=
py_fail_course2,ForLoopWithUpdate,ForLoopWith+=
py_fail_course2,ForLoopWithUpdate,ForLoopWith*=
py_fail_course2,ForLoopWithUpdate,ForLoopWithListIndexing
py_fail_course2,NestedLoopIteration,MixedNestedLoopIteration
py_fail_course2,NestedLoopIteration,NestedForLoopIteration
py_fail_course2,NestedLoopIteration,NestedWhileLoopIteration
py_fail_course2,ArithmeticOperation,Round
py_fail_course2,HandlingTuple,CreatingTuple
py_fail_course2,HandlingTuple,SlicingTuple
py_fail_course2,HandlingTuple,IndexingTuple
py_fail_course2,HandlingFloat,TransformingToFloatType
py_fail_course2,HandlingList,SlicingList
py_fail_course2,HandlingList,ListReferencing
py_fail_course2,HandlingFile,ClosingFile
py_fail_course2,HandlingFile,ReadingLine
py_fail_course2,HandlingFile,OpeningFile
