exercise_name,parent,leaf_class
py_fail_course,Python,Concatenation
py_phone_age,Python,Concatenation
py_phone_age2,Python,Concatenation
py_phone_age2,Python,FindingLength
py_phone_age2,Python,CheckingForItem
py_phone_age2,CheckingCondition,AssertChecking
py_phone_age2,CheckingCondition,IfElifElseChecking
py_phone_age2,CheckingCondition,NestedIfChecking
py_phone_age2,CheckingCondition,IfElifChecking
py_phone_age2,CheckingInForLoop,IfElseCheckingInForLoop
py_phone_age2,CheckingInForLoop,IfElifCheckingInForLoop
py_phone_age2,CheckingInForLoop,IfCheckingInForLoop
py_phone_age2,CheckingInForLoop,IfElifElseCheckingInForLoop
py_phone_age2,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
py_phone_age2,CheckingInWhileLoop,IfCheckingInWhileLoop
py_phone_age2,CheckingInWhileLoop,IfElseCheckingInWhileLoop
py_phone_age2,CheckingInWhileLoop,IfElifCheckingInWhileLoop
py_phone_age2,ManagingVariable,SwappingVariablesValue
py_phone_age2,HandlingAdvancedDataStructure,BinaryTreeTask
py_phone_age2,HandlingAdvancedDataStructure,LinkedListTask
py_phone_age2,HandlingAdvancedDataStructure,QueueTask
py_phone_age2,HandlingAdvancedDataStructure,StackTask
py_phone_age2,TwoDimensionalArrayTask,ReplacingElement2DArray
py_phone_age2,TwoDimensionalArrayTask,Indexing2DArray
py_phone_age2,TwoDimensionalArrayTask,Create2DArray
py_phone_age2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_phone_age2,HandlingObjectOrientedProgramming,CreatingObject
py_phone_age2,HandlingObjectOrientedProgramming,DefiningClass
py_phone_age2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_phone_age2,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_phone_age2,HandlingRecursiveFunction,CallingRecursiveFunction
py_phone_age2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_phone_age2,HandlingNestedFunction,CallingNestedFunction
py_phone_age2,HandlingNestedFunction,DefiningNestedFunction
py_phone_age2,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith*=
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith+=
py_phone_age2,ForLoopWithUpdate,ForLoopWith+=
py_phone_age2,ForLoopWithUpdate,ForLoopWith*=
py_phone_age2,ForLoopWithUpdate,ForLoopWithListIndexing
py_phone_age2,NestedLoopIteration,NestedForLoopIteration
py_phone_age2,NestedLoopIteration,NestedWhileLoopIteration
py_phone_age2,ArithmeticOperation,FindAbsolute
py_phone_age2,ArithmeticOperation,FindRemainder
py_phone_age2,ArithmeticOperation,FindMaximum
py_phone_age2,ArithmeticOperation,Addition
py_phone_age2,ArithmeticOperation,Round
py_phone_age2,ArithmeticOperation,Power
py_phone_age2,ArithmeticOperation,FindMinimum
py_phone_age2,ArithmeticOperation,Substraction
py_phone_age2,ArithmeticOperation,Division
py_phone_age2,ArithmeticOperation,Multiplication
py_phone_age2,HandlingTuple,CreatingTuple
py_phone_age2,HandlingTuple,SlicingTuple
py_phone_age2,HandlingTuple,IndexingTuple
py_phone_age2,HandlingFloat,TransformingToFloatType
py_phone_age2,HandlingDictionary,ReplacingDictionaryElement
py_phone_age2,HandlingDictionary,IndexingDictionary
py_phone_age2,HandlingDictionary,AddingItemToDictionary
py_phone_age2,HandlingDictionary,AccessingDictionary
py_phone_age2,HandlingDictionary,CreatingDictionary
py_phone_age2,HandlingList,DeletingListElement
py_phone_age2,HandlingList,SlicingList
py_phone_age2,HandlingList,ReplacingListElement
py_phone_age2,HandlingList,ListReferencing
py_phone_age2,HandlingList,ReversingList
py_phone_age2,AddingListElement,AddingListElementWithInsert
py_phone_age2,AddingListElement,AddingListElementWithAppend
py_phone_age2,HandlingFile,ClosingFile
py_phone_age2,HandlingFile,ReadingLine
py_phone_age2,HandlingFile,OpeningFile
py_phone_age2,HandlingString,ReplacingStringContent
py_phone_age2,HandlingString,TransformingToStringType
py_phone_age2,HandlingString,TrimmingString
py_phone_age2,HandlingString,SlicingString
py_phone_age2,ModifyingStringCase,ConvertStringToUpperCase
py_phone_age2,ModifyingStringCase,ConvertStringToLowerCase
py_phone_age2,ModifyingStringCase,CapitalizeString
py_rent_car,Python,Concatenation
py_three_boolean,Python,Concatenation
py_three_boolean,CheckingCondition,AssertChecking
py_three_boolean,CheckingCondition,IfElifChecking
py_three_boolean,CheckingInForLoop,IfElseCheckingInForLoop
py_three_boolean,CheckingInForLoop,IfElifCheckingInForLoop
py_three_boolean,CheckingInForLoop,IfCheckingInForLoop
py_three_boolean,CheckingInForLoop,IfElifElseCheckingInForLoop
py_three_boolean,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
py_three_boolean,CheckingInWhileLoop,IfCheckingInWhileLoop
py_three_boolean,CheckingInWhileLoop,IfElseCheckingInWhileLoop
py_three_boolean,CheckingInWhileLoop,IfElifCheckingInWhileLoop
py_three_boolean,ManagingVariable,SwappingVariablesValue
py_three_boolean,HandlingAdvancedDataStructure,BinaryTreeTask
py_three_boolean,HandlingAdvancedDataStructure,LinkedListTask
py_three_boolean,HandlingAdvancedDataStructure,QueueTask
py_three_boolean,HandlingAdvancedDataStructure,StackTask
py_three_boolean,TwoDimensionalArrayTask,ReplacingElement2DArray
py_three_boolean,TwoDimensionalArrayTask,Indexing2DArray
py_three_boolean,TwoDimensionalArrayTask,Create2DArray
py_three_boolean,HandlingObjectOrientedProgramming,CallingOOPMethod
py_three_boolean,HandlingObjectOrientedProgramming,CreatingObject
py_three_boolean,HandlingObjectOrientedProgramming,DefiningClass
py_three_boolean,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_three_boolean,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_three_boolean,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_three_boolean,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_three_boolean,WhileLoopWithUpdate,WhileLoopWith*=
py_three_boolean,WhileLoopWithUpdate,WhileLoopWith+=
py_three_boolean,ForLoopWithUpdate,ForLoopWith+=
py_three_boolean,ForLoopWithUpdate,ForLoopWith*=
py_three_boolean,ForLoopWithUpdate,ForLoopWithListIndexing
py_three_boolean,NestedLoopIteration,MixedNestedLoopIteration
py_three_boolean,NestedLoopIteration,NestedForLoopIteration
py_three_boolean,NestedLoopIteration,NestedWhileLoopIteration
py_three_boolean,ArithmeticOperation,Round
py_three_boolean,HandlingFloat,TransformingToFloatType
py_three_boolean,HandlingList,SlicingList
py_three_boolean,HandlingList,ListReferencing
py_three_boolean,HandlingFile,ClosingFile
py_three_boolean,HandlingFile,ReadingLine
py_three_boolean,HandlingFile,OpeningFile
py_three_boolean,HandlingString,ReplacingStringContent
py_three_boolean,HandlingString,TransformingToStringType
py_three_boolean,ModifyingStringCase,ConvertStringToUpperCase
py_three_boolean,ModifyingStringCase,ConvertStringToLowerCase
py_three_boolean,ModifyingStringCase,CapitalizeString
py_three_boolean3,Python,Concatenation
py_three_boolean3,CheckingCondition,AssertChecking
py_three_boolean3,CheckingInForLoop,IfElseCheckingInForLoop
py_three_boolean3,CheckingInForLoop,IfElifCheckingInForLoop
py_three_boolean3,CheckingInForLoop,IfCheckingInForLoop
py_three_boolean3,CheckingInForLoop,IfElifElseCheckingInForLoop
py_three_boolean3,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
py_three_boolean3,CheckingInWhileLoop,IfCheckingInWhileLoop
py_three_boolean3,CheckingInWhileLoop,IfElseCheckingInWhileLoop
py_three_boolean3,CheckingInWhileLoop,IfElifCheckingInWhileLoop
py_three_boolean3,ManagingVariable,SwappingVariablesValue
py_three_boolean3,HandlingAdvancedDataStructure,BinaryTreeTask
py_three_boolean3,HandlingAdvancedDataStructure,LinkedListTask
py_three_boolean3,HandlingAdvancedDataStructure,QueueTask
py_three_boolean3,HandlingAdvancedDataStructure,StackTask
py_three_boolean3,TwoDimensionalArrayTask,ReplacingElement2DArray
py_three_boolean3,TwoDimensionalArrayTask,Indexing2DArray
py_three_boolean3,TwoDimensionalArrayTask,Create2DArray
py_three_boolean3,HandlingObjectOrientedProgramming,CallingOOPMethod
py_three_boolean3,HandlingObjectOrientedProgramming,CreatingObject
py_three_boolean3,HandlingObjectOrientedProgramming,DefiningClass
py_three_boolean3,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_three_boolean3,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_three_boolean3,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_three_boolean3,HandlingRecursiveFunction,CallingRecursiveFunction
py_three_boolean3,HandlingRecursiveFunction,DefiningRecursiveFunction
py_three_boolean3,HandlingNestedFunction,CallingNestedFunction
py_three_boolean3,HandlingNestedFunction,DefiningNestedFunction
py_three_boolean3,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_three_boolean3,WhileLoopWithUpdate,WhileLoopWith*=
py_three_boolean3,WhileLoopWithUpdate,WhileLoopWith+=
py_three_boolean3,ForLoopWithUpdate,ForLoopWith+=
py_three_boolean3,ForLoopWithUpdate,ForLoopWith*=
py_three_boolean3,ForLoopWithUpdate,ForLoopWithListIndexing
py_three_boolean3,NestedLoopIteration,MixedNestedLoopIteration
py_three_boolean3,NestedLoopIteration,NestedForLoopIteration
py_three_boolean3,NestedLoopIteration,NestedWhileLoopIteration
py_three_boolean3,ArithmeticOperation,FindAbsolute
py_three_boolean3,ArithmeticOperation,FindRemainder
py_three_boolean3,ArithmeticOperation,Round
py_three_boolean3,ArithmeticOperation,Power
py_three_boolean3,HandlingTuple,CreatingTuple
py_three_boolean3,HandlingTuple,SlicingTuple
py_three_boolean3,HandlingTuple,IndexingTuple
py_three_boolean3,HandlingFloat,TransformingToFloatType
py_three_boolean3,HandlingDictionary,ReplacingDictionaryElement
py_three_boolean3,HandlingDictionary,IndexingDictionary
py_three_boolean3,HandlingDictionary,AddingItemToDictionary
py_three_boolean3,HandlingDictionary,AccessingDictionary
py_three_boolean3,HandlingDictionary,CreatingDictionary
py_three_boolean3,HandlingList,DeletingListElement
py_three_boolean3,HandlingList,IndexingList
py_three_boolean3,HandlingList,CreatingList
py_three_boolean3,HandlingList,SlicingList
py_three_boolean3,HandlingList,ReplacingListElement
py_three_boolean3,HandlingList,ListReferencing
py_three_boolean3,HandlingList,ReversingList
py_three_boolean3,AddingListElement,AddingListElementWithInsert
py_three_boolean3,AddingListElement,AddingListElementWithAppend
py_three_boolean3,HandlingFile,ClosingFile
py_three_boolean3,HandlingFile,ReadingLine
py_three_boolean3,HandlingFile,OpeningFile
py_three_boolean3,HandlingString,ReplacingStringContent
py_three_boolean3,HandlingString,TransformingToStringType
py_three_boolean3,ModifyingStringCase,ConvertStringToUpperCase
py_three_boolean3,ModifyingStringCase,ConvertStringToLowerCase
py_three_boolean3,ModifyingStringCase,CapitalizeString
py_boolean_dry_hot,Python,Concatenation
py_boolean_dry_hot,ManagingVariable,SwappingVariablesValue
py_boolean_dry_hot,HandlingAdvancedDataStructure,BinaryTreeTask
py_boolean_dry_hot,HandlingAdvancedDataStructure,LinkedListTask
py_boolean_dry_hot,HandlingAdvancedDataStructure,QueueTask
py_boolean_dry_hot,HandlingAdvancedDataStructure,StackTask
py_boolean_dry_hot,TwoDimensionalArrayTask,ReplacingElement2DArray
py_boolean_dry_hot,TwoDimensionalArrayTask,Indexing2DArray
py_boolean_dry_hot,TwoDimensionalArrayTask,Create2DArray
py_boolean_dry_hot,HandlingObjectOrientedProgramming,CallingOOPMethod
py_boolean_dry_hot,HandlingObjectOrientedProgramming,CreatingObject
py_boolean_dry_hot,HandlingObjectOrientedProgramming,DefiningClass
py_boolean_dry_hot,HandlingObjectOrientedProgramming,DefiningOOPMethod
