exercise_name,parent,leaf_class
py_fail_course2,ClassMethod,__init()__
py_rent_car,ClassMethod,__init()__
py_rent_car3,ClassMethod,__init()__
py_check_age,ClassMethod,__init()__
py_check_age2,ClassMethod,__init()__
py_three_boolean,ClassMethod,__init()__
py_boolean_dry_hot,ClassMethod,__init()__
py_boolean_dry_hot3,BuiltInFunction,list()
py_str_repeat_chars,SubscriptExpression,IndexingExpression
py_str_repeat_chars,SubscriptExpression,SlicingExpression
py_str_repeat_chars,ArithmeticExpression,UnaryOperation
py_str_repeat_chars,LogicalExpression,ComparisonExpression
py_str_repeat_chars,LogicalExpression,BooleanExpression
py_str_repeat_chars,Literal,BooleanLiteral
py_str_repeat_chars,Literal,NoneLiteral
py_str_repeat_chars,NumericLiteral,FloatLiteral
py_str_repeat_chars,NumericLiteral,IntegerLiteral
py_str_repeat_chars,LiteralCollection,TupleLiteral
py_str_repeat_chars,LiteralCollection,SetLiteral
py_str_repeat_chars,LiteralCollection,ListLiteral
py_str_repeat_chars,LiteralCollection,DictLiteral
py_str_repeat_chars,Error,TypeError
py_str_repeat_chars,Error,OSError
py_str_repeat_chars,Error,IndexError
py_str_repeat_chars,Error,IOError
py_str_repeat_chars,Error,FileNotFoundError
py_str_repeat_chars,Error,ValueError
py_str_repeat_chars,Error,AssertionError
py_str_repeat_chars,StringMethod,split()
py_str_repeat_chars,StringMethod,lower()
py_str_repeat_chars,StringMethod,join()
py_str_repeat_chars,StringMethod,format()
py_str_repeat_chars,StringMethod,capitalize()
py_str_repeat_chars,StringMethod,rstrip()
py_str_repeat_chars,StringMethod,replace()
py_str_repeat_chars,DictionaryMethod,values()
py_str_repeat_chars,DictionaryMethod,keys()
py_str_repeat_chars,DictionaryMethod,items()
py_str_repeat_chars,DictionaryMethod,get()
py_str_repeat_chars,ClassMethod,__init()__
py_str_repeat_chars,ListMethod,reverse()
py_str_repeat_chars,ListMethod,insert()
py_str_repeat_chars,ListMethod,remove()
py_str_repeat_chars,ListMethod,append()
py_str_repeat_chars,ListMethod,pop()
py_str_repeat_chars,FileMethod,readline()
py_str_repeat_chars,FileMethod,close()
py_str_repeat_chars,FileMethod,read()
py_str_repeat_chars,ComparisonOperator,LessOrEqual
py_str_repeat_chars,ComparisonOperator,Less
py_str_repeat_chars,ComparisonOperator,Larger
py_str_repeat_chars,ComparisonOperator,LargerOrEqual
py_str_repeat_chars,ComparisonOperator,==
py_str_repeat_chars,ComparisonOperator,NotEqual
py_str_repeat_chars,MembershipOperator,in
py_str_repeat_chars,LogicalOperator,and
py_str_repeat_chars,LogicalOperator,or
py_str_repeat_chars,LogicalOperator,not
py_str_repeat_chars,ArtithmeticOperator,//
py_str_repeat_chars,ArtithmeticOperator,-
py_str_repeat_chars,ArtithmeticOperator,+
py_str_repeat_chars,ArtithmeticOperator,/
py_str_repeat_chars,ArtithmeticOperator,**
py_str_repeat_chars,ArtithmeticOperator,Modulus
py_str_repeat_chars,ArtithmeticOperator,*
py_str_repeat_chars,ConditionalStatement,IfElifElseStatement
py_str_repeat_chars,ConditionalStatement,IfStatement
py_str_repeat_chars,ConditionalStatement,IfElseStatement
py_str_repeat_chars,ConditionalStatement,IfElifStatement
py_str_repeat_chars,ImportStatement,Import
py_str_repeat_chars,ImportStatement,ImportFrom
py_str_repeat_chars,JumpStatement,PassStatement
py_str_repeat_chars,JumpStatement,BreakStatement
py_str_repeat_chars,JumpStatement,ContinueStatement
py_str_repeat_chars,JumpStatement,ReturnStatement
py_str_repeat_chars,IterationStatement,WhileStatement
py_str_repeat_chars,ExceptionHandlingStatement,TryStatement
py_str_repeat_chars,ExceptionHandlingStatement,RaiseStatement
py_str_repeat_chars,ExceptionHandlingStatement,AssertStatement
py_str_repeat_chars,DefinitionStatement,ClassDefinition
py_str_repeat_chars,BuiltInFunction,dict()
py_str_repeat_chars,BuiltInFunction,next()
py_str_repeat_chars,BuiltInFunction,input()
py_str_repeat_chars,BuiltInFunction,int()
py_str_repeat_chars,BuiltInFunction,max()
py_str_repeat_chars,BuiltInFunction,float()
py_str_repeat_chars,BuiltInFunction,set()
py_str_repeat_chars,BuiltInFunction,open()
py_str_repeat_chars,BuiltInFunction,range()
py_str_repeat_chars,BuiltInFunction,tuple()
py_str_repeat_chars,BuiltInFunction,abs()
py_str_repeat_chars,BuiltInFunction,round()
py_str_repeat_chars,BuiltInFunction,len()
py_str_repeat_chars,BuiltInFunction,min()
py_str_repeat_chars,BuiltInFunction,list()
py_str_repeat2,SubscriptExpression,SlicingExpression
py_str_repeat2,ArithmeticExpression,UnaryOperation
py_str_repeat2,LogicalExpression,ComparisonExpression
py_str_repeat2,Literal,StringLiteral
py_str_repeat2,Literal,BooleanLiteral
py_str_repeat2,Literal,NoneLiteral
py_str_repeat2,NumericLiteral,FloatLiteral
py_str_repeat2,NumericLiteral,IntegerLiteral
py_str_repeat2,LiteralCollection,TupleLiteral
py_str_repeat2,LiteralCollection,SetLiteral
py_str_repeat2,LiteralCollection,ListLiteral
py_str_repeat2,LiteralCollection,DictLiteral
py_str_repeat2,ClassMethod,__init()__
py_str_repeat2,ComparisonOperator,NotEqual
py_str_repeat2,MembershipOperator,in
py_str_repeat2,ArtithmeticOperator,//
py_str_repeat2,ArtithmeticOperator,-
py_str_repeat2,ArtithmeticOperator,+
py_str_repeat2,ArtithmeticOperator,/
py_str_repeat2,ArtithmeticOperator,**
py_str_repeat2,ArtithmeticOperator,Modulus
py_str_repeat2,ArtithmeticOperator,*
py_str_repeat2,Statement,ExpressionStatement
py_str_repeat2,IterationStatement,WhileStatement
py_str_repeat2,DefinitionStatement,ClassDefinition
py_str_repeat2,BuiltInFunction,dict()
py_str_repeat2,BuiltInFunction,str()
py_str_repeat2,BuiltInFunction,next()
py_str_repeat2,BuiltInFunction,input()
py_str_repeat2,BuiltInFunction,int()
py_str_repeat2,BuiltInFunction,max()
py_str_repeat2,BuiltInFunction,float()
py_str_repeat2,BuiltInFunction,set()
py_str_repeat2,BuiltInFunction,open()
py_str_repeat2,BuiltInFunction,tuple()
py_str_repeat2,BuiltInFunction,abs()
py_str_repeat2,BuiltInFunction,round()
py_str_repeat2,BuiltInFunction,min()
py_str_repeat2,BuiltInFunction,list()
py_file_input_stat,SubscriptExpression,IndexingExpression
py_file_input_stat,SubscriptExpression,SlicingExpression
py_file_input_stat,Call,FunctionCall
py_file_input_stat,ArithmeticExpression,UnaryOperation
py_file_input_stat,LogicalExpression,BooleanExpression
py_file_input_stat,Literal,BooleanLiteral
py_file_input_stat,Literal,NoneLiteral
py_file_input_stat,NumericLiteral,FloatLiteral
py_file_input_stat,NumericLiteral,IntegerLiteral
py_file_input_stat,Error,TypeError
py_file_input_stat,Error,OSError
py_file_input_stat,Error,IndexError
py_file_input_stat,Error,ValueError
py_file_input_stat,Error,AssertionError
py_file_input_stat,StringMethod,lower()
py_file_input_stat,StringMethod,join()
py_file_input_stat,StringMethod,format()
py_file_input_stat,StringMethod,capitalize()
py_file_input_stat,StringMethod,rstrip()
py_file_input_stat,StringMethod,replace()
py_file_input_stat,DictionaryMethod,values()
py_file_input_stat,DictionaryMethod,keys()
py_file_input_stat,DictionaryMethod,items()
py_file_input_stat,DictionaryMethod,get()
py_file_input_stat,ClassMethod,__init()__
py_file_input_stat,ListMethod,reverse()
py_file_input_stat,ListMethod,insert()
py_file_input_stat,ListMethod,remove()
py_file_input_stat,ListMethod,append()
py_file_input_stat,ListMethod,pop()
py_file_input_stat,FileMethod,readline()
py_file_input_stat,FileMethod,read()
py_file_input_stat,ComparisonOperator,LessOrEqual
py_file_input_stat,ComparisonOperator,Less
py_file_input_stat,ComparisonOperator,LargerOrEqual
py_file_input_stat,ComparisonOperator,==
