exercise_name,parent,leaf_class
py_fail_course2,ClassMethod,__init()__
py_fail_course3,ClassMethod,__init()__
py_phone_age2,ClassMethod,__init()__
py_phone_age2,BuiltInFunction,list()
py_rent_car2,ClassMethod,__init()__
py_rent_car2,BuiltInFunction,list()
py_rent_car3,ClassMethod,__init()__
py_check_age,ClassMethod,__init()__
py_check_age2,ClassMethod,__init()__
py_three_boolean,BuiltInFunction,list()
py_three_boolean2,ClassMethod,__init()__
py_three_boolean3,ClassMethod,__init()__
py_boolean_dry_hot,ClassMethod,__init()__
py_boolean_dry_hot2,ClassMethod,__init()__
py_boolean_dry_hot2,BuiltInFunction,list()
py_boolean_dry_hot4,ClassMethod,__init()__
py_str_repeat_chars,SubscriptExpression,IndexingExpression
py_str_repeat_chars,SubscriptExpression,SlicingExpression
py_str_repeat_chars,ArithmeticExpression,UnaryOperation
py_str_repeat_chars,LogicalExpression,ComparisonExpression
py_str_repeat_chars,LogicalExpression,BooleanExpression
py_str_repeat_chars,Literal,BooleanLiteral
py_str_repeat_chars,Literal,NoneLiteral
py_str_repeat_chars,NumericLiteral,FloatLiteral
py_str_repeat_chars,NumericLiteral,IntegerLiteral
py_str_repeat_chars,LiteralCollection,TupleLiteral
py_str_repeat_chars,LiteralCollection,SetLiteral
py_str_repeat_chars,LiteralCollection,ListLiteral
py_str_repeat_chars,LiteralCollection,DictLiteral
py_str_repeat_chars,Error,TypeError
py_str_repeat_chars,Error,OSError
py_str_repeat_chars,Error,IndexError
py_str_repeat_chars,Error,IOError
py_str_repeat_chars,Error,FileNotFoundError
py_str_repeat_chars,Error,ValueError
py_str_repeat_chars,Error,AssertionError
py_str_repeat_chars,StringMethod,split()
py_str_repeat_chars,StringMethod,lower()
py_str_repeat_chars,StringMethod,join()
py_str_repeat_chars,StringMethod,format()
py_str_repeat_chars,StringMethod,capitalize()
py_str_repeat_chars,StringMethod,rstrip()
py_str_repeat_chars,StringMethod,replace()
py_str_repeat_chars,DictionaryMethod,values()
