exercise_name,parent,leaf_class
py_fail_course3,ClassMethod,__init()__
py_phone_age,Literal,StringLiteral
py_phone_age,Literal,BooleanLiteral
py_phone_age,Literal,NoneLiteral
py_phone_age,NumericLiteral,FloatLiteral
py_phone_age,NumericLiteral,IntegerLiteral
py_phone_age,LiteralCollection,TupleLiteral
py_phone_age,LiteralCollection,SetLiteral
py_phone_age,LiteralCollection,ListLiteral
py_phone_age,LiteralCollection,DictLiteral
py_phone_age,ClassMethod,__init()__
py_phone_age,ComparisonOperator,LessOrEqual
py_phone_age,ComparisonOperator,Less
py_phone_age,ComparisonOperator,Larger
py_phone_age,ComparisonOperator,NotEqual
py_phone_age,MembershipOperator,in
py_phone_age,ConditionalStatement,IfElifElseStatement
py_phone_age,ConditionalStatement,IfStatement
py_phone_age,ConditionalStatement,IfElifStatement
py_phone_age,ImportStatement,ImportFrom
py_phone_age,AssignmentStatement,AugmentedAssignmentStatement
py_phone_age,BuiltInFunction,dict()
py_phone_age,BuiltInFunction,str()
py_phone_age,BuiltInFunction,next()
py_phone_age,BuiltInFunction,max()
py_phone_age,BuiltInFunction,float()
py_phone_age,BuiltInFunction,set()
py_phone_age,BuiltInFunction,open()
py_phone_age,BuiltInFunction,range()
py_phone_age,BuiltInFunction,tuple()
py_phone_age,BuiltInFunction,abs()
py_phone_age,BuiltInFunction,round()
py_phone_age,BuiltInFunction,len()
py_phone_age,BuiltInFunction,min()
py_phone_age,BuiltInFunction,print()
py_phone_age,BuiltInFunction,list()
py_check_age,ClassMethod,__init()__
py_check_age2,ClassMethod,__init()__
py_three_boolean2,ClassMethod,__init()__
py_three_boolean3,ClassMethod,__init()__
py_boolean_dry_hot2,ClassMethod,__init()__
py_boolean_dry_hot3,BuiltInFunction,list()
py_boolean_dry_hot4,SubscriptExpression,IndexingExpression
py_boolean_dry_hot4,SubscriptExpression,SlicingExpression
py_boolean_dry_hot4,Call,FunctionCall
py_boolean_dry_hot4,ArithmeticExpression,BinaryOperation
py_boolean_dry_hot4,ArithmeticExpression,UnaryOperation
py_boolean_dry_hot4,LogicalExpression,ComparisonExpression
py_boolean_dry_hot4,Literal,StringLiteral
py_boolean_dry_hot4,Literal,NoneLiteral
py_boolean_dry_hot4,NumericLiteral,FloatLiteral
py_boolean_dry_hot4,NumericLiteral,IntegerLiteral
py_boolean_dry_hot4,LiteralCollection,TupleLiteral
py_boolean_dry_hot4,LiteralCollection,SetLiteral
py_boolean_dry_hot4,LiteralCollection,ListLiteral
py_boolean_dry_hot4,LiteralCollection,DictLiteral
