exercise_name,parent,leaf_class
py_fail_course,ClassMethod,__init()__
py_fail_course2,ClassMethod,__init()__
py_phone_age,Call,FunctionCall
py_phone_age,ArithmeticExpression,BinaryOperation
py_phone_age,ArithmeticExpression,UnaryOperation
py_phone_age,Literal,StringLiteral
py_phone_age,Literal,NoneLiteral
py_phone_age,NumericLiteral,FloatLiteral
py_phone_age,NumericLiteral,IntegerLiteral
py_phone_age,LiteralCollection,TupleLiteral
py_phone_age,LiteralCollection,SetLiteral
py_phone_age,LiteralCollection,ListLiteral
py_phone_age,LiteralCollection,DictLiteral
py_phone_age,ClassMethod,__init()__
py_phone_age,ComparisonOperator,LessOrEqual
py_phone_age,ComparisonOperator,Less
py_phone_age,ComparisonOperator,Larger
py_phone_age,ComparisonOperator,NotEqual
py_phone_age,MembershipOperator,in
py_phone_age,LogicalOperator,and
py_phone_age,LogicalOperator,not
py_phone_age,ArtithmeticOperator,//
py_phone_age,ArtithmeticOperator,-
py_phone_age,ArtithmeticOperator,/
py_phone_age,ArtithmeticOperator,**
py_phone_age,ArtithmeticOperator,Modulus
py_phone_age,ArtithmeticOperator,*
py_phone_age,ConditionalStatement,IfElifElseStatement
py_phone_age,ConditionalStatement,IfStatement
py_phone_age,ConditionalStatement,IfElifStatement
py_phone_age,ImportStatement,Import
py_phone_age,ImportStatement,ImportFrom
py_phone_age,JumpStatement,PassStatement
py_phone_age,JumpStatement,BreakStatement
py_phone_age,JumpStatement,ContinueStatement
py_phone_age,AssignmentStatement,AugmentedAssignmentStatement
py_phone_age,BuiltInFunction,dict()
py_phone_age,BuiltInFunction,str()
py_phone_age,BuiltInFunction,next()
py_phone_age,BuiltInFunction,max()
py_phone_age,BuiltInFunction,float()
py_phone_age,BuiltInFunction,set()
py_phone_age,BuiltInFunction,open()
py_phone_age,BuiltInFunction,range()
py_phone_age,BuiltInFunction,tuple()
py_phone_age,BuiltInFunction,abs()
py_phone_age,BuiltInFunction,round()
py_phone_age,BuiltInFunction,len()
py_phone_age,BuiltInFunction,min()
py_phone_age,BuiltInFunction,list()
py_check_age,SubscriptExpression,SlicingExpression
py_check_age,Call,FunctionCall
py_check_age,ArithmeticExpression,BinaryOperation
py_check_age,ArithmeticExpression,UnaryOperation
py_check_age,LogicalExpression,BooleanExpression
py_check_age,Literal,StringLiteral
py_check_age,Literal,BooleanLiteral
py_check_age,Literal,NoneLiteral
py_check_age,NumericLiteral,FloatLiteral
py_check_age,NumericLiteral,IntegerLiteral
py_check_age,LiteralCollection,TupleLiteral
py_check_age,LiteralCollection,SetLiteral
py_check_age,LiteralCollection,ListLiteral
py_check_age,LiteralCollection,DictLiteral
py_check_age,Error,TypeError
py_check_age,Error,OSError
py_check_age,Error,IOError
py_check_age,Error,FileNotFoundError
py_check_age,Error,AssertionError
py_check_age,StringMethod,lower()
py_check_age,StringMethod,join()
py_check_age,StringMethod,format()
py_check_age,StringMethod,capitalize()
py_check_age,StringMethod,rstrip()
py_check_age,StringMethod,replace()
py_check_age,DictionaryMethod,values()
py_check_age,DictionaryMethod,keys()
py_check_age,DictionaryMethod,items()
py_check_age,DictionaryMethod,get()
py_check_age,ClassMethod,__init()__
py_check_age,ListMethod,reverse()
py_check_age,ListMethod,insert()
py_check_age,ListMethod,remove()
py_check_age,ListMethod,append()
py_check_age,ListMethod,pop()
py_check_age,FileMethod,readline()
py_check_age,FileMethod,close()
py_check_age,FileMethod,read()
py_check_age,Operator,=
py_check_age,ComparisonOperator,LessOrEqual
py_check_age,ComparisonOperator,Less
py_check_age,ComparisonOperator,Larger
py_check_age,ComparisonOperator,LargerOrEqual
py_check_age,ComparisonOperator,==
py_check_age,ComparisonOperator,NotEqual
py_check_age,MembershipOperator,in
py_check_age,LogicalOperator,or
py_check_age,LogicalOperator,not
py_check_age,ArtithmeticOperator,//
py_check_age,ArtithmeticOperator,-
py_check_age,ArtithmeticOperator,+
py_check_age,ArtithmeticOperator,/
py_check_age,ArtithmeticOperator,**
py_check_age,ArtithmeticOperator,Modulus
py_check_age,ArtithmeticOperator,*
py_check_age,Statement,ExpressionStatement
py_check_age,ConditionalStatement,IfElifElseStatement
py_check_age,ConditionalStatement,IfStatement
py_check_age,ConditionalStatement,IfElifStatement
py_check_age,ImportStatement,Import
py_check_age,ImportStatement,ImportFrom
py_check_age,JumpStatement,PassStatement
py_check_age,JumpStatement,BreakStatement
py_check_age,JumpStatement,ContinueStatement
py_check_age,JumpStatement,ReturnStatement
py_check_age,IterationStatement,ForStatement
py_check_age,IterationStatement,WhileStatement
py_check_age,AssignmentStatement,AugmentedAssignmentStatement
py_check_age,DefinitionStatement,FunctionDefinition
py_check_age,DefinitionStatement,ClassDefinition
py_check_age,BuiltInFunction,dict()
py_check_age,BuiltInFunction,str()
py_check_age,BuiltInFunction,next()
py_check_age,BuiltInFunction,max()
py_check_age,BuiltInFunction,float()
py_check_age,BuiltInFunction,set()
py_check_age,BuiltInFunction,open()
