exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ae_adl_comparison,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_dict1,9,15,6,3,9,0.6667,0.4000,0.5000,0.3333,0.0000
ae_adl_dict2,7,13,4,3,9,0.5714,0.3077,0.4000,0.2500,0.0000
ae_adl_dict3,6,16,5,1,11,0.8333,0.3125,0.4545,0.2941,0.0000
ae_adl_file1,11,15,7,4,8,0.6364,0.4667,0.5385,0.3684,0.0000
ae_adl_file2,15,14,8,7,6,0.5333,0.5714,0.5517,0.3810,0.0000
ae_adl_findmax,10,10,6,4,4,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_for,4,5,3,1,2,0.7500,0.6000,0.6667,0.5000,0.0000
ae_adl_format1,7,6,3,4,3,0.4286,0.5000,0.4615,0.3000,0.0000
ae_adl_format2,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_functions1,2,4,1,1,3,0.5000,0.2500,0.3333,0.2000,0.0000
ae_adl_functions2,7,8,3,4,5,0.4286,0.3750,0.4000,0.2500,0.0000
ae_adl_functions3,8,9,5,3,4,0.6250,0.5556,0.5882,0.4167,0.0000
ae_adl_greet,3,5,2,1,3,0.6667,0.4000,0.5000,0.3333,0.0000
ae_adl_hello,4,3,2,2,1,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_hiscore1,7,6,3,4,3,0.4286,0.5000,0.4615,0.3000,0.0000
ae_adl_hiscore2,8,6,3,5,3,0.3750,0.5000,0.4286,0.2727,0.0000
ae_adl_ifelifelse,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_ifelse,7,7,4,3,3,0.5714,0.5714,0.5714,0.4000,0.0000
ae_adl_input1,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ae_adl_input2,4,8,2,2,6,0.5000,0.2500,0.3333,0.2000,0.0000
ae_adl_lists1,6,8,5,1,3,0.8333,0.6250,0.7143,0.5556,0.0000
ae_adl_lists2,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_lists3,12,12,6,6,6,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_logic,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_nested_if,4,7,3,1,4,0.7500,0.4286,0.5455,0.3750,0.0000
ae_adl_objects1,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ae_adl_objects2,8,12,5,3,7,0.6250,0.4167,0.5000,0.3333,0.0000
ae_adl_objects3,13,15,8,5,7,0.6154,0.5333,0.5714,0.4000,0.0000
ae_adl_recursion,2,10,2,0,8,1.0000,0.2000,0.3333,0.2000,0.0000
ae_adl_returnvalue,9,11,5,4,6,0.5556,0.4545,0.5000,0.3333,0.0000
ae_adl_simple_arithmetics,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_strings,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_swap,4,5,1,3,4,0.2500,0.2000,0.2222,0.1250,0.0000
ae_adl_tryexcept1,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
ae_adl_tryexcept2,9,11,5,4,6,0.5556,0.4545,0.5000,0.3333,0.0000
ae_adl_vals_refs1,3,7,1,2,6,0.3333,0.1429,0.2000,0.1111,0.0000
ae_adl_vals_refs2,7,8,3,4,5,0.4286,0.3750,0.4000,0.2500,0.0000
ae_adl_vals_refs3,7,9,3,4,6,0.4286,0.3333,0.3750,0.2308,0.0000
ae_adl_variables,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_while,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ae_python_class2,11,12,5,6,7,0.4545,0.4167,0.4348,0.2778,0.0000
ae_python_file,13,15,9,4,6,0.6923,0.6000,0.6429,0.4737,0.0000
ae_python_float,5,8,4,1,4,0.8000,0.5000,0.6154,0.4444,0.0000
ae_python_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_python_function,7,10,4,3,6,0.5714,0.4000,0.4706,0.3077,0.0000
ae_python_if,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ae_python_input,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ae_python_intro,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
ae_python_list,16,15,8,8,7,0.5000,0.5333,0.5161,0.3478,0.0000
ae_python_split,20,18,12,8,6,0.6000,0.6667,0.6316,0.4615,0.0000
ae_python_while,7,13,4,3,9,0.5714,0.3077,0.4000,0.2500,0.0000
objects_classes_account,12,15,9,3,6,0.7500,0.6000,0.6667,0.5000,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,11,13,6,5,7,0.5455,0.4615,0.5000,0.3333,0.0000
objects_classes_tv,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,3,2,1,2,1,0.3333,0.5000,0.4000,0.2500,0.0000
ps_python_2d_list,10,14,6,4,8,0.6000,0.4286,0.5000,0.3333,0.0000
ps_python_add_to_list,11,8,4,7,4,0.3636,0.5000,0.4211,0.2667,0.0000
ps_python_addition,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ps_python_bigger_than,4,3,2,2,1,0.5000,0.6667,0.5714,0.4000,0.0000
ps_python_calculate_function,6,8,4,2,4,0.6667,0.5000,0.5714,0.4000,0.0000
ps_python_class_person,10,9,4,6,5,0.4000,0.4444,0.4211,0.2667,0.0000
ps_python_class_point,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ps_python_comparisons,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ps_python_conditionals_temperature,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_dict_filter,11,11,7,4,4,0.6364,0.6364,0.6364,0.4667,0.0000
ps_python_dict_keys,9,9,7,2,2,0.7778,0.7778,0.7778,0.6364,0.0000
ps_python_dict_values,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_for_odd_or_even,6,6,5,1,1,0.8333,0.8333,0.8333,0.7143,0.0000
ps_python_iteration_addition,8,8,4,4,4,0.5000,0.5000,0.5000,0.3333,0.0000
ps_python_iteration_multiplication,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ps_python_list_iteration_zoo,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_list_to_dict,10,8,5,5,3,0.5000,0.6250,0.5556,0.3846,0.0000
ps_python_modulo_is_even,4,4,3,1,1,0.7500,0.7500,0.7500,0.6000,0.0000
ps_python_nested_calls,5,6,4,1,2,0.8000,0.6667,0.7273,0.5714,0.0000
ps_python_nested_ifs,7,5,4,3,1,0.5714,0.8000,0.6667,0.5000,0.0000
ps_python_nested_lists_indexing,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ps_python_nested_loops,9,9,5,4,4,0.5556,0.5556,0.5556,0.3846,0.0000
ps_python_printing_file_contents,11,9,7,4,2,0.6364,0.7778,0.7000,0.5385,0.0000
ps_python_recursive_factorial,4,6,3,1,3,0.7500,0.5000,0.6000,0.4286,0.0000
ps_python_string_indexing,6,6,4,2,2,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_string_join,11,7,5,6,2,0.4545,0.7143,0.5556,0.3846,0.0000
ps_python_swap,1,2,0,1,2,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_try_adding,4,5,3,1,2,0.7500,0.6000,0.6667,0.5000,0.0000
ps_python_try_except,6,9,3,3,6,0.5000,0.3333,0.4000,0.2500,0.0000
ps_python_xor,5,4,3,2,1,0.6000,0.7500,0.6667,0.5000,0.0000
ps_return_bigger_or_none,5,3,2,3,1,0.4000,0.6667,0.5000,0.3333,0.0000
ps_simple_function,3,4,1,2,3,0.3333,0.2500,0.2857,0.1667,0.0000
ps_simple_params,3,6,2,1,4,0.6667,0.3333,0.4444,0.2857,0.0000
py_account2,12,14,8,4,6,0.6667,0.5714,0.6154,0.4444,0.0000
py_adjacent_consecutive,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
py_adjacent_greater,10,10,6,4,4,0.6000,0.6000,0.6000,0.4286,0.0000
py_average_even_nums,16,12,10,6,2,0.6250,0.8333,0.7143,0.5556,0.0000
py_average_float,14,13,9,5,4,0.6429,0.6923,0.6667,0.5000,0.0000
py_average_list_elements,14,14,9,5,5,0.6429,0.6429,0.6429,0.4737,0.0000
py_bmi_calculator,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_bmi_calculator2,6,10,5,1,5,0.8333,0.5000,0.6250,0.4545,0.0000
py_boolean_dry_hot,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot4,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_char_dict,17,18,9,8,9,0.5294,0.5000,0.5143,0.3462,0.0000
py_check_adjacent,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_check_age,15,15,10,5,5,0.6667,0.6667,0.6667,0.5000,0.0000
py_check_age2,18,16,11,7,5,0.6111,0.6875,0.6471,0.4783,0.0000
py_check_product_code,15,16,9,6,7,0.6000,0.5625,0.5806,0.4091,0.0000
py_check_product_code2,17,18,11,6,7,0.6471,0.6111,0.6286,0.4583,0.0000
py_concat_char_two_str,8,8,4,4,4,0.5000,0.5000,0.5000,0.3333,0.0000
py_concat_char_two_str2,10,9,4,6,5,0.4000,0.4444,0.4211,0.2667,0.0000
py_concat_str_num,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_concat_str_num2,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
py_concat_string_num3,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_digits,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_display_time2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_divisor,8,9,4,4,5,0.5000,0.4444,0.4706,0.3077,0.0000
py_f_to_c_conversion,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_fahrenheit_to_celsius,7,9,5,2,4,0.7143,0.5556,0.6250,0.4545,0.0000
py_fail_course,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_fail_course2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_fail_course3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_file_input_stat,24,20,15,9,5,0.6250,0.7500,0.6818,0.5172,0.0000
py_find_average,14,12,9,5,3,0.6429,0.7500,0.6923,0.5294,0.0000
py_first_char_words_dict,26,20,16,10,4,0.6154,0.8000,0.6957,0.5333,0.0000
py_if_else_grade,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_if_else_num,10,7,5,5,2,0.5000,0.7143,0.5882,0.4167,0.0000
py_if_else_wage,11,10,8,3,2,0.7273,0.8000,0.7619,0.6154,0.0000
py_if_else_wage2,12,11,8,4,3,0.6667,0.7273,0.6957,0.5333,0.0000
py_ifelse_odd_even,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_ifelseif_grade2,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
py_input,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_input2,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_input3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_input4,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
py_input_stat2,25,23,17,8,6,0.6800,0.7391,0.7083,0.5484,0.0000
py_largest_divisor,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_list2d_basic,9,6,2,7,4,0.2222,0.3333,0.2667,0.1538,0.0000
py_list2d_basic2,8,6,2,6,4,0.2500,0.3333,0.2857,0.1667,0.0000
py_list2d_basic3,9,6,2,7,4,0.2222,0.3333,0.2667,0.1538,0.0000
py_list_basic,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_basic2,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_basic3,6,5,1,5,4,0.1667,0.2000,0.1818,0.1000,0.0000
py_list_change,13,11,7,6,4,0.5385,0.6364,0.5833,0.4118,0.0000
