exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,3,13,3,0,10,1.0000,0.2308,0.3750,0.2308,0.0000
ae_adl_comparison,11,9,8,3,1,0.7273,0.8889,0.8000,0.6667,0.0000
ae_adl_dict1,12,14,12,0,2,1.0000,0.8571,0.9231,0.8571,0.0000
ae_adl_dict2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_dict3,20,19,18,2,1,0.9000,0.9474,0.9231,0.8571,0.0000
ae_adl_file1,16,15,15,1,0,0.9375,1.0000,0.9677,0.9375,0.0000
ae_adl_file2,16,16,14,2,2,0.8750,0.8750,0.8750,0.7778,0.0000
ae_adl_findmax,15,14,13,2,1,0.8667,0.9286,0.8966,0.8125,0.0000
ae_adl_for,5,10,5,0,5,1.0000,0.5000,0.6667,0.5000,0.0000
ae_adl_format1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_format2,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions1,4,5,4,0,1,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_functions2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions3,11,14,11,0,3,1.0000,0.7857,0.8800,0.7857,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ae_adl_hiscore2,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_ifelifelse,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_ifelse,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_input1,5,11,5,0,6,1.0000,0.4545,0.6250,0.4545,0.0000
ae_adl_input2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists1,6,11,6,0,5,1.0000,0.5455,0.7059,0.5455,0.0000
ae_adl_lists2,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists3,11,15,11,0,4,1.0000,0.7333,0.8462,0.7333,0.0000
ae_adl_logic,11,12,8,3,4,0.7273,0.6667,0.6957,0.5333,0.0000
ae_adl_nested_if,4,12,4,0,8,1.0000,0.3333,0.5000,0.3333,0.0000
ae_adl_objects1,5,6,5,0,1,1.0000,0.8333,0.9091,0.8333,0.0000
ae_adl_objects2,8,18,8,0,10,1.0000,0.4444,0.6154,0.4444,0.0000
ae_adl_objects3,0,16,0,0,16,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_recursion,7,13,7,0,6,1.0000,0.5385,0.7000,0.5385,0.0000
ae_adl_returnvalue,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_simple_arithmetics,3,10,3,0,7,1.0000,0.3000,0.4615,0.3000,0.0000
ae_adl_strings,9,9,9,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_swap,4,7,4,0,3,1.0000,0.5714,0.7273,0.5714,0.0000
ae_adl_tryexcept1,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_tryexcept2,13,15,13,0,2,1.0000,0.8667,0.9286,0.8667,0.0000
ae_adl_vals_refs1,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_vals_refs2,8,10,8,0,2,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_vals_refs3,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_variables,4,9,4,0,5,1.0000,0.4444,0.6154,0.4444,0.0000
ae_adl_while,6,12,6,0,6,1.0000,0.5000,0.6667,0.5000,0.0000
ae_python_assignment,4,6,4,0,2,1.0000,0.6667,0.8000,0.6667,0.0000
ae_python_class1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_python_class2,17,19,17,0,2,1.0000,0.8947,0.9444,0.8947,0.0000
ae_python_file,20,19,18,2,1,0.9000,0.9474,0.9231,0.8571,0.0000
ae_python_float,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
ae_python_for,9,9,9,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_function,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
ae_python_if,14,9,8,6,1,0.5714,0.8889,0.6957,0.5333,0.0000
ae_python_input,4,7,4,0,3,1.0000,0.5714,0.7273,0.5714,0.0000
ae_python_intro,5,8,5,0,3,1.0000,0.6250,0.7692,0.6250,0.0000
ae_python_list,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
ae_python_split,15,20,14,1,6,0.9333,0.7000,0.8000,0.6667,0.0000
ae_python_while,17,16,16,1,0,0.9412,1.0000,0.9697,0.9412,0.0000
objects_classes_account,24,23,22,2,1,0.9167,0.9565,0.9362,0.8800,0.0000
objects_classes_loan,0,20,0,0,20,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,12,14,12,0,2,1.0000,0.8571,0.9231,0.8571,0.0000
objects_classes_tv,0,25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_2d_list,15,14,14,1,0,0.9333,1.0000,0.9655,0.9333,0.0000
ps_python_add_to_list,7,12,7,0,5,1.0000,0.5833,0.7368,0.5833,0.0000
ps_python_addition,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ps_python_bigger_than,6,7,6,0,1,1.0000,0.8571,0.9231,0.8571,0.0000
ps_python_calculate_function,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ps_python_class_person,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
ps_python_class_point,10,13,9,1,4,0.9000,0.6923,0.7826,0.6429,0.0000
ps_python_comparisons,7,8,6,1,2,0.8571,0.7500,0.8000,0.6667,0.0000
ps_python_conditionals_temperature,14,11,11,3,0,0.7857,1.0000,0.8800,0.7857,0.0000
ps_python_dict_filter,10,13,9,1,4,0.9000,0.6923,0.7826,0.6429,0.0000
ps_python_dict_keys,13,12,10,3,2,0.7692,0.8333,0.8000,0.6667,0.0000
ps_python_dict_values,9,12,8,1,4,0.8889,0.6667,0.7619,0.6154,0.0000
ps_python_for_odd_or_even,7,12,6,1,6,0.8571,0.5000,0.6316,0.4615,0.0000
ps_python_iteration_addition,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ps_python_iteration_multiplication,7,12,7,0,5,1.0000,0.5833,0.7368,0.5833,0.0000
ps_python_list_iteration_zoo,9,9,9,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_list_to_dict,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ps_python_modulo_is_even,11,9,9,2,0,0.8182,1.0000,0.9000,0.8182,0.0000
ps_python_nested_calls,7,9,7,0,2,1.0000,0.7778,0.8750,0.7778,0.0000
ps_python_nested_ifs,8,12,6,2,6,0.7500,0.5000,0.6000,0.4286,0.0000
ps_python_nested_lists_indexing,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_nested_loops,10,13,10,0,3,1.0000,0.7692,0.8696,0.7692,0.0000
ps_python_printing_file_contents,14,14,13,1,1,0.9286,0.9286,0.9286,0.8667,0.0000
ps_python_recursive_factorial,6,10,6,0,4,1.0000,0.6000,0.7500,0.6000,0.0000
ps_python_string_indexing,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ps_python_string_join,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ps_python_swap,2,4,2,0,2,1.0000,0.5000,0.6667,0.5000,0.0000
ps_python_try_adding,8,10,8,0,2,1.0000,0.8000,0.8889,0.8000,0.0000
ps_python_try_except,12,16,12,0,4,1.0000,0.7500,0.8571,0.7500,0.0000
ps_python_xor,6,10,5,1,5,0.8333,0.5000,0.6250,0.4545,0.0000
ps_return_bigger_or_none,8,9,6,2,3,0.7500,0.6667,0.7059,0.5455,0.0000
ps_simple_function,4,5,4,0,1,1.0000,0.8000,0.8889,0.8000,0.0000
ps_simple_params,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_account2,15,24,15,0,9,1.0000,0.6250,0.7692,0.6250,0.0000
py_adjacent_consecutive,18,18,17,1,1,0.9444,0.9444,0.9444,0.8947,0.0000
py_adjacent_greater,16,17,15,1,2,0.9375,0.8824,0.9091,0.8333,0.0000
py_average_even_nums,10,20,10,0,10,1.0000,0.5000,0.6667,0.5000,0.0000
py_average_float,21,20,19,2,1,0.9048,0.9500,0.9268,0.8636,0.0000
py_average_list_elements,20,18,18,2,0,0.9000,1.0000,0.9474,0.9000,0.0000
py_bmi_calculator,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
py_bmi_calculator2,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
py_boolean_dry_hot,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
py_boolean_dry_hot2,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
py_boolean_dry_hot3,16,18,15,1,3,0.9375,0.8333,0.8824,0.7895,0.0000
py_boolean_dry_hot4,17,18,16,1,2,0.9412,0.8889,0.9143,0.8421,0.0000
py_char_dict,10,18,10,0,8,1.0000,0.5556,0.7143,0.5556,0.0000
py_check_adjacent,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
py_check_age,24,23,22,2,1,0.9167,0.9565,0.9362,0.8800,0.0000
py_check_age2,26,25,24,2,1,0.9231,0.9600,0.9412,0.8889,0.0000
py_check_product_code,16,20,16,0,4,1.0000,0.8000,0.8889,0.8000,0.0000
py_check_product_code2,24,26,24,0,2,1.0000,0.9231,0.9600,0.9231,0.0000
py_concat_char_two_str,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
py_concat_char_two_str2,7,11,7,0,4,1.0000,0.6364,0.7778,0.6364,0.0000
py_concat_str_num,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_concat_str_num2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_concat_string_num3,5,10,5,0,5,1.0000,0.5000,0.6667,0.5000,0.0000
py_digits,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
py_display_time2,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
py_divisor,6,12,5,1,7,0.8333,0.4167,0.5556,0.3846,0.0000
py_f_to_c_conversion,13,13,12,1,1,0.9231,0.9231,0.9231,0.8571,0.0000
py_fahrenheit_to_celsius,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
py_fail_course,16,17,14,2,3,0.8750,0.8235,0.8485,0.7368,0.0000
py_fail_course2,18,17,16,2,1,0.8889,0.9412,0.9143,0.8421,0.0000
py_fail_course3,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
py_file_input_stat,19,23,18,1,5,0.9474,0.7826,0.8571,0.7500,0.0000
py_find_average,18,18,18,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_first_char_words_dict,21,20,18,3,2,0.8571,0.9000,0.8780,0.7826,0.0000
py_if_else_grade,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
py_if_else_num,12,14,12,0,2,1.0000,0.8571,0.9231,0.8571,0.0000
py_if_else_wage,17,17,16,1,1,0.9412,0.9412,0.9412,0.8889,0.0000
py_if_else_wage2,21,19,19,2,0,0.9048,1.0000,0.9500,0.9048,0.0000
py_ifelse_odd_even,10,14,10,0,4,1.0000,0.7143,0.8333,0.7143,0.0000
py_ifelseif_grade2,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
py_input,9,13,9,0,4,1.0000,0.6923,0.8182,0.6923,0.0000
py_input2,8,16,8,0,8,1.0000,0.5000,0.6667,0.5000,0.0000
py_input3,16,16,15,1,1,0.9375,0.9375,0.9375,0.8824,0.0000
py_input4,17,17,16,1,1,0.9412,0.9412,0.9412,0.8889,0.0000
py_input_stat2,30,30,28,2,2,0.9333,0.9333,0.9333,0.8750,0.0000
py_largest_divisor,15,14,14,1,0,0.9333,1.0000,0.9655,0.9333,0.0000
py_list2d_basic,5,9,5,0,4,1.0000,0.5556,0.7143,0.5556,0.0000
py_list2d_basic2,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
py_list2d_basic3,5,8,5,0,3,1.0000,0.6250,0.7692,0.6250,0.0000
py_list_basic,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
py_list_basic2,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_list_basic3,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
py_list_change,10,14,10,0,4,1.0000,0.7143,0.8333,0.7143,0.0000
py_list_fill,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
py_list_fill_user_input,7,10,6,1,4,0.8571,0.6000,0.7059,0.5455,0.0000
py_list_min,16,15,14,2,1,0.8750,0.9333,0.9032,0.8235,0.0000
py_list_min_max,10,16,10,0,6,1.0000,0.6250,0.7692,0.6250,0.0000
