exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,5,8,2,3,6,0.4000,0.2500,0.3077,0.1818,0.0000
ae_adl_comparison,5,4,2,3,2,0.4000,0.5000,0.4444,0.2857,0.0000
ae_adl_dict1,7,15,6,1,9,0.8571,0.4000,0.5455,0.3750,0.0000
ae_adl_dict2,7,13,4,3,9,0.5714,0.3077,0.4000,0.2500,0.0000
ae_adl_dict3,6,16,5,1,11,0.8333,0.3125,0.4545,0.2941,0.0000
ae_adl_file1,10,15,7,3,8,0.7000,0.4667,0.5600,0.3889,0.0000
ae_adl_file2,11,14,8,3,6,0.7273,0.5714,0.6400,0.4706,0.0000
ae_adl_findmax,4,10,3,1,7,0.7500,0.3000,0.4286,0.2727,0.0000
ae_adl_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_format1,5,6,2,3,4,0.4000,0.3333,0.3636,0.2222,0.0000
ae_adl_format2,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
ae_adl_functions1,3,4,1,2,3,0.3333,0.2500,0.2857,0.1667,0.0000
ae_adl_functions2,3,8,2,1,6,0.6667,0.2500,0.3636,0.2222,0.0000
ae_adl_functions3,4,9,4,0,5,1.0000,0.4444,0.6154,0.4444,0.0000
ae_adl_greet,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ae_adl_hello,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_hiscore1,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_hiscore2,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_ifelifelse,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_ifelse,5,7,4,1,3,0.8000,0.5714,0.6667,0.5000,0.0000
ae_adl_input1,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ae_adl_input2,6,8,4,2,4,0.6667,0.5000,0.5714,0.4000,0.0000
ae_adl_lists1,6,8,5,1,3,0.8333,0.6250,0.7143,0.5556,0.0000
ae_adl_lists2,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_lists3,12,12,6,6,6,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_logic,3,4,2,1,2,0.6667,0.5000,0.5714,0.4000,0.0000
ae_adl_nested_if,4,7,2,2,5,0.5000,0.2857,0.3636,0.2222,0.0000
ae_adl_objects1,3,5,2,1,3,0.6667,0.4000,0.5000,0.3333,0.0000
ae_adl_objects2,9,12,5,4,7,0.5556,0.4167,0.4762,0.3125,0.0000
ae_adl_objects3,14,15,9,5,6,0.6429,0.6000,0.6207,0.4500,0.0000
ae_adl_recursion,1,10,1,0,9,1.0000,0.1000,0.1818,0.1000,0.0000
ae_adl_returnvalue,6,11,4,2,7,0.6667,0.3636,0.4706,0.3077,0.0000
ae_adl_simple_arithmetics,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_strings,6,6,4,2,2,0.6667,0.6667,0.6667,0.5000,0.0000
ae_adl_swap,1,5,0,1,5,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_tryexcept1,6,7,4,2,3,0.6667,0.5714,0.6154,0.4444,0.0000
ae_adl_tryexcept2,3,11,2,1,9,0.6667,0.1818,0.2857,0.1667,0.0000
ae_adl_vals_refs1,4,7,1,3,6,0.2500,0.1429,0.1818,0.1000,0.0000
ae_adl_vals_refs2,5,8,2,3,6,0.4000,0.2500,0.3077,0.1818,0.0000
ae_adl_vals_refs3,7,9,3,4,6,0.4286,0.3333,0.3750,0.2308,0.0000
ae_adl_variables,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_while,8,9,4,4,5,0.5000,0.4444,0.4706,0.3077,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,2,5,1,1,4,0.5000,0.2000,0.2857,0.1667,0.0000
ae_python_class2,10,12,6,4,6,0.6000,0.5000,0.5455,0.3750,0.0000
ae_python_file,12,15,9,3,6,0.7500,0.6000,0.6667,0.5000,0.0000
ae_python_float,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ae_python_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_python_function,7,10,4,3,6,0.5714,0.4000,0.4706,0.3077,0.0000
ae_python_if,5,6,4,1,2,0.8000,0.6667,0.7273,0.5714,0.0000
ae_python_input,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ae_python_intro,1,3,0,1,3,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_list,13,15,7,6,8,0.5385,0.4667,0.5000,0.3333,0.0000
ae_python_split,20,18,12,8,6,0.6000,0.6667,0.6316,0.4615,0.0000
ae_python_while,8,13,5,3,8,0.6250,0.3846,0.4762,0.3125,0.0000
objects_classes_account,11,15,7,4,8,0.6364,0.4667,0.5385,0.3684,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,4,13,2,2,11,0.5000,0.1538,0.2353,0.1333,0.0000
objects_classes_tv,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,3,2,1,2,1,0.3333,0.5000,0.4000,0.2500,0.0000
ps_python_2d_list,8,14,5,3,9,0.6250,0.3571,0.4545,0.2941,0.0000
ps_python_add_to_list,11,8,4,7,4,0.3636,0.5000,0.4211,0.2667,0.0000
ps_python_addition,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ps_python_bigger_than,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ps_python_calculate_function,6,8,3,3,5,0.5000,0.3750,0.4286,0.2727,0.0000
ps_python_class_person,4,9,3,1,6,0.7500,0.3333,0.4615,0.3000,0.0000
ps_python_class_point,2,8,1,1,7,0.5000,0.1250,0.2000,0.1111,0.0000
ps_python_comparisons,5,4,2,3,2,0.4000,0.5000,0.4444,0.2857,0.0000
ps_python_conditionals_temperature,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ps_python_dict_filter,11,11,6,5,5,0.5455,0.5455,0.5455,0.3750,0.0000
ps_python_dict_keys,5,9,3,2,6,0.6000,0.3333,0.4286,0.2727,0.0000
ps_python_dict_values,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_for_odd_or_even,6,6,4,2,2,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_iteration_addition,3,8,2,1,6,0.6667,0.2500,0.3636,0.2222,0.0000
ps_python_iteration_multiplication,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ps_python_list_iteration_zoo,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ps_python_list_to_dict,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
