exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,4,13,4,0,9,1.0000,0.3077,0.4706,0.3077,0.0000
ae_adl_comparison,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
ae_adl_dict1,14,14,12,2,2,0.8571,0.8571,0.8571,0.7500,0.0000
ae_adl_dict2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_dict3,22,19,18,4,1,0.8182,0.9474,0.8780,0.7826,0.0000
ae_adl_file1,16,15,15,1,0,0.9375,1.0000,0.9677,0.9375,0.0000
ae_adl_file2,12,16,11,1,5,0.9167,0.6875,0.7857,0.6471,0.0000
ae_adl_findmax,15,14,13,2,1,0.8667,0.9286,0.8966,0.8125,0.0000
ae_adl_for,4,10,4,0,6,1.0000,0.4000,0.5714,0.4000,0.0000
ae_adl_format1,6,8,6,0,2,1.0000,0.7500,0.8571,0.7500,0.0000
ae_adl_format2,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions1,5,5,5,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions2,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
ae_adl_functions3,14,14,13,1,1,0.9286,0.9286,0.9286,0.8667,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore2,5,11,5,0,6,1.0000,0.4545,0.6250,0.4545,0.0000
ae_adl_ifelifelse,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_ifelse,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
ae_adl_input1,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_input2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists1,7,11,7,0,4,1.0000,0.6364,0.7778,0.6364,0.0000
ae_adl_lists2,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists3,15,15,15,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_logic,10,12,8,2,4,0.8000,0.6667,0.7273,0.5714,0.0000
ae_adl_nested_if,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_objects1,8,6,6,2,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_objects2,9,18,9,0,9,1.0000,0.5000,0.6667,0.5000,0.0000
ae_adl_objects3,16,16,15,1,1,0.9375,0.9375,0.9375,0.8824,0.0000
ae_adl_recursion,15,13,13,2,0,0.8667,1.0000,0.9286,0.8667,0.0000
ae_adl_returnvalue,14,14,14,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_simple_arithmetics,3,10,3,0,7,1.0000,0.3000,0.4615,0.3000,0.0000
ae_adl_strings,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ae_adl_swap,5,7,5,0,2,1.0000,0.7143,0.8333,0.7143,0.0000
ae_adl_tryexcept1,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_tryexcept2,16,15,15,1,0,0.9375,1.0000,0.9677,0.9375,0.0000
ae_adl_vals_refs1,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_vals_refs2,10,10,9,1,1,0.9000,0.9000,0.9000,0.8182,0.0000
ae_adl_vals_refs3,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_variables,4,9,4,0,5,1.0000,0.4444,0.6154,0.4444,0.0000
ae_adl_while,6,12,6,0,6,1.0000,0.5000,0.6667,0.5000,0.0000
ae_python_assignment,4,6,4,0,2,1.0000,0.6667,0.8000,0.6667,0.0000
ae_python_class1,6,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_class2,16,19,14,2,5,0.8750,0.7368,0.8000,0.6667,0.0000
ae_python_file,20,19,18,2,1,0.9000,0.9474,0.9231,0.8571,0.0000
ae_python_float,12,13,12,0,1,1.0000,0.9231,0.9600,0.9231,0.0000
ae_python_for,9,9,9,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_function,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
ae_python_if,13,9,8,5,1,0.6154,0.8889,0.7273,0.5714,0.0000
ae_python_input,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_intro,2,8,2,0,6,1.0000,0.2500,0.4000,0.2500,0.0000
ae_python_list,22,19,19,3,0,0.8636,1.0000,0.9268,0.8636,0.0000
ae_python_split,12,20,11,1,9,0.9167,0.5500,0.6875,0.5238,0.0000
ae_python_while,17,16,16,1,0,0.9412,1.0000,0.9697,0.9412,0.0000
objects_classes_account,20,23,18,2,5,0.9000,0.7826,0.8372,0.7200,0.0000
objects_classes_loan,0,20,0,0,20,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,11,14,11,0,3,1.0000,0.7857,0.8800,0.7857,0.0000
objects_classes_tv,0,25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_2d_list,15,14,14,1,0,0.9333,1.0000,0.9655,0.9333,0.0000
ps_python_add_to_list,12,12,9,3,3,0.7500,0.7500,0.7500,0.6000,0.0000
ps_python_addition,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_bigger_than,8,7,7,1,0,0.8750,1.0000,0.9333,0.8750,0.0000
ps_python_calculate_function,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ps_python_class_person,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
ps_python_class_point,11,13,10,1,3,0.9091,0.7692,0.8333,0.7143,0.0000
ps_python_comparisons,9,8,7,2,1,0.7778,0.8750,0.8235,0.7000,0.0000
ps_python_conditionals_temperature,14,11,11,3,0,0.7857,1.0000,0.8800,0.7857,0.0000
ps_python_dict_filter,10,13,9,1,4,0.9000,0.6923,0.7826,0.6429,0.0000
ps_python_dict_keys,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
ps_python_dict_values,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_for_odd_or_even,7,12,6,1,6,0.8571,0.5000,0.6316,0.4615,0.0000
ps_python_iteration_addition,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
