exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,5,8,2,3,6,0.4000,0.2500,0.3077,0.1818,0.0000
ae_adl_comparison,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_dict1,8,15,6,2,9,0.7500,0.4000,0.5217,0.3529,0.0000
ae_adl_dict2,7,13,4,3,9,0.5714,0.3077,0.4000,0.2500,0.0000
ae_adl_dict3,9,16,6,3,10,0.6667,0.3750,0.4800,0.3158,0.0000
ae_adl_file1,11,15,8,3,7,0.7273,0.5333,0.6154,0.4444,0.0000
ae_adl_file2,14,14,8,6,6,0.5714,0.5714,0.5714,0.4000,0.0000
ae_adl_findmax,8,10,5,3,5,0.6250,0.5000,0.5556,0.3846,0.0000
ae_adl_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_format1,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
ae_adl_format2,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_functions1,2,4,1,1,3,0.5000,0.2500,0.3333,0.2000,0.0000
ae_adl_functions2,4,8,3,1,5,0.7500,0.3750,0.5000,0.3333,0.0000
ae_adl_functions3,4,9,4,0,5,1.0000,0.4444,0.6154,0.4444,0.0000
ae_adl_greet,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_hello,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_hiscore1,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_hiscore2,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_ifelifelse,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_ifelse,5,7,3,2,4,0.6000,0.4286,0.5000,0.3333,0.0000
ae_adl_input1,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ae_adl_input2,6,8,4,2,4,0.6667,0.5000,0.5714,0.4000,0.0000
ae_adl_lists1,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ae_adl_lists2,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_lists3,12,12,6,6,6,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_logic,3,4,2,1,2,0.6667,0.5000,0.5714,0.4000,0.0000
ae_adl_nested_if,1,7,1,0,6,1.0000,0.1429,0.2500,0.1429,0.0000
ae_adl_objects1,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ae_adl_objects2,12,12,7,5,5,0.5833,0.5833,0.5833,0.4118,0.0000
ae_adl_objects3,9,15,5,4,10,0.5556,0.3333,0.4167,0.2632,0.0000
ae_adl_recursion,1,10,1,0,9,1.0000,0.1000,0.1818,0.1000,0.0000
ae_adl_returnvalue,4,11,3,1,8,0.7500,0.2727,0.4000,0.2500,0.0000
ae_adl_simple_arithmetics,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_strings,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_adl_swap,4,5,1,3,4,0.2500,0.2000,0.2222,0.1250,0.0000
ae_adl_tryexcept1,5,7,3,2,4,0.6000,0.4286,0.5000,0.3333,0.0000
ae_adl_tryexcept2,7,11,5,2,6,0.7143,0.4545,0.5556,0.3846,0.0000
ae_adl_vals_refs1,3,7,1,2,6,0.3333,0.1429,0.2000,0.1111,0.0000
ae_adl_vals_refs2,6,8,2,4,6,0.3333,0.2500,0.2857,0.1667,0.0000
ae_adl_vals_refs3,6,9,2,4,7,0.3333,0.2222,0.2667,0.1538,0.0000
ae_adl_variables,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_while,8,9,4,4,5,0.5000,0.4444,0.4706,0.3077,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ae_python_class2,4,12,2,2,10,0.5000,0.1667,0.2500,0.1429,0.0000
ae_python_file,11,15,8,3,7,0.7273,0.5333,0.6154,0.4444,0.0000
ae_python_float,6,8,4,2,4,0.6667,0.5000,0.5714,0.4000,0.0000
ae_python_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_python_function,5,10,3,2,7,0.6000,0.3000,0.4000,0.2500,0.0000
ae_python_if,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_python_input,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ae_python_intro,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
ae_python_list,14,15,7,7,8,0.5000,0.4667,0.4828,0.3182,0.0000
ae_python_split,18,18,11,7,7,0.6111,0.6111,0.6111,0.4400,0.0000
ae_python_while,9,13,6,3,7,0.6667,0.4615,0.5455,0.3750,0.0000
objects_classes_account,12,15,7,5,8,0.5833,0.4667,0.5185,0.3500,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,5,13,3,2,10,0.6000,0.2308,0.3333,0.2000,0.0000
objects_classes_tv,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,3,2,1,2,1,0.3333,0.5000,0.4000,0.2500,0.0000
ps_python_2d_list,6,14,3,3,11,0.5000,0.2143,0.3000,0.1765,0.0000
ps_python_add_to_list,11,8,4,7,4,0.3636,0.5000,0.4211,0.2667,0.0000
ps_python_addition,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ps_python_bigger_than,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ps_python_calculate_function,5,8,3,2,5,0.6000,0.3750,0.4615,0.3000,0.0000
ps_python_class_person,8,9,3,5,6,0.3750,0.3333,0.3529,0.2143,0.0000
ps_python_class_point,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ps_python_comparisons,3,4,1,2,3,0.3333,0.2500,0.2857,0.1667,0.0000
ps_python_conditionals_temperature,4,5,3,1,2,0.7500,0.6000,0.6667,0.5000,0.0000
ps_python_dict_filter,9,11,6,3,5,0.6667,0.5455,0.6000,0.4286,0.0000
ps_python_dict_keys,7,9,5,2,4,0.7143,0.5556,0.6250,0.4545,0.0000
ps_python_dict_values,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_for_odd_or_even,5,6,4,1,2,0.8000,0.6667,0.7273,0.5714,0.0000
ps_python_iteration_addition,3,8,2,1,6,0.6667,0.2500,0.3636,0.2222,0.0000
ps_python_iteration_multiplication,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ps_python_list_iteration_zoo,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ps_python_list_to_dict,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ps_python_modulo_is_even,3,4,2,1,2,0.6667,0.5000,0.5714,0.4000,0.0000
ps_python_nested_calls,4,6,4,0,2,1.0000,0.6667,0.8000,0.6667,0.0000
ps_python_nested_ifs,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_nested_lists_indexing,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ps_python_nested_loops,8,9,4,4,5,0.5000,0.4444,0.4706,0.3077,0.0000
ps_python_printing_file_contents,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_recursive_factorial,2,6,2,0,4,1.0000,0.3333,0.5000,0.3333,0.0000
ps_python_string_indexing,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ps_python_string_join,6,7,4,2,3,0.6667,0.5714,0.6154,0.4444,0.0000
ps_python_swap,1,2,0,1,2,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_try_adding,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ps_python_try_except,1,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.0000
ps_python_xor,5,4,3,2,1,0.6000,0.7500,0.6667,0.5000,0.0000
ps_return_bigger_or_none,1,3,0,1,3,0.0000,0.0000,0.0000,0.0000,0.0000
ps_simple_function,5,4,1,4,3,0.2000,0.2500,0.2222,0.1250,0.0000
ps_simple_params,3,6,2,1,4,0.6667,0.3333,0.4444,0.2857,0.0000
py_account2,8,14,6,2,8,0.7500,0.4286,0.5455,0.3750,0.0000
py_adjacent_consecutive,9,9,5,4,4,0.5556,0.5556,0.5556,0.3846,0.0000
py_adjacent_greater,8,10,6,2,4,0.7500,0.6000,0.6667,0.5000,0.0000
py_average_even_nums,15,12,10,5,2,0.6667,0.8333,0.7407,0.5882,0.0000
py_average_float,14,13,9,5,4,0.6429,0.6923,0.6667,0.5000,0.0000
py_average_list_elements,11,14,7,4,7,0.6364,0.5000,0.5600,0.3889,0.0000
py_bmi_calculator,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_bmi_calculator2,11,10,7,4,3,0.6364,0.7000,0.6667,0.5000,0.0000
py_boolean_dry_hot,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot2,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_boolean_dry_hot3,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_boolean_dry_hot4,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_char_dict,15,18,8,7,10,0.5333,0.4444,0.4848,0.3200,0.0000
py_check_adjacent,11,8,6,5,2,0.5455,0.7500,0.6316,0.4615,0.0000
py_check_age,13,15,8,5,7,0.6154,0.5333,0.5714,0.4000,0.0000
py_check_age2,15,16,8,7,8,0.5333,0.5000,0.5161,0.3478,0.0000
py_check_product_code,14,16,8,6,8,0.5714,0.5000,0.5333,0.3636,0.0000
py_check_product_code2,16,18,10,6,8,0.6250,0.5556,0.5882,0.4167,0.0000
py_concat_char_two_str,5,8,4,1,4,0.8000,0.5000,0.6154,0.4444,0.0000
py_concat_char_two_str2,10,9,4,6,5,0.4000,0.4444,0.4211,0.2667,0.0000
py_concat_str_num,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
