exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,5,13,5,0,8,1.0000,0.3846,0.5556,0.3846,0.0000
ae_adl_comparison,12,9,9,3,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_dict1,12,14,11,1,3,0.9167,0.7857,0.8462,0.7333,0.0000
ae_adl_dict2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_dict3,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
ae_adl_file1,15,15,14,1,1,0.9333,0.9333,0.9333,0.8750,0.0000
ae_adl_file2,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
ae_adl_findmax,16,14,14,2,0,0.8750,1.0000,0.9333,0.8750,0.0000
ae_adl_for,5,10,5,0,5,1.0000,0.5000,0.6667,0.5000,0.0000
ae_adl_format1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_format2,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions1,4,5,4,0,1,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_functions2,5,12,5,0,7,1.0000,0.4167,0.5882,0.4167,0.0000
ae_adl_functions3,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_hiscore2,5,11,5,0,6,1.0000,0.4545,0.6250,0.4545,0.0000
ae_adl_ifelifelse,5,11,5,0,6,1.0000,0.4545,0.6250,0.4545,0.0000
ae_adl_ifelse,11,12,10,1,2,0.9091,0.8333,0.8696,0.7692,0.0000
ae_adl_input1,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_input2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists1,7,11,7,0,4,1.0000,0.6364,0.7778,0.6364,0.0000
ae_adl_lists2,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists3,9,15,9,0,6,1.0000,0.6000,0.7500,0.6000,0.0000
ae_adl_logic,10,12,8,2,4,0.8000,0.6667,0.7273,0.5714,0.0000
ae_adl_nested_if,11,12,10,1,2,0.9091,0.8333,0.8696,0.7692,0.0000
ae_adl_objects1,5,6,5,0,1,1.0000,0.8333,0.9091,0.8333,0.0000
ae_adl_objects2,15,18,15,0,3,1.0000,0.8333,0.9091,0.8333,0.0000
ae_adl_objects3,15,16,15,0,1,1.0000,0.9375,0.9677,0.9375,0.0000
ae_adl_recursion,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
ae_adl_returnvalue,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_simple_arithmetics,7,10,7,0,3,1.0000,0.7000,0.8235,0.7000,0.0000
ae_adl_strings,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_adl_swap,3,7,3,0,4,1.0000,0.4286,0.6000,0.4286,0.0000
