exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,5,8,2,3,6,0.4000,0.2500,0.3077,0.1818,0.0000
ae_adl_comparison,5,4,2,3,2,0.4000,0.5000,0.4444,0.2857,0.0000
ae_adl_dict1,8,15,6,2,9,0.7500,0.4000,0.5217,0.3529,0.0000
ae_adl_dict2,7,13,4,3,9,0.5714,0.3077,0.4000,0.2500,0.0000
ae_adl_dict3,6,16,5,1,11,0.8333,0.3125,0.4545,0.2941,0.0000
ae_adl_file1,10,15,7,3,8,0.7000,0.4667,0.5600,0.3889,0.0000
ae_adl_file2,15,14,9,6,5,0.6000,0.6429,0.6207,0.4500,0.0000
ae_adl_findmax,8,10,5,3,5,0.6250,0.5000,0.5556,0.3846,0.0000
ae_adl_for,4,5,3,1,2,0.7500,0.6000,0.6667,0.5000,0.0000
ae_adl_format1,5,6,2,3,4,0.4000,0.3333,0.3636,0.2222,0.0000
ae_adl_format2,3,6,2,1,4,0.6667,0.3333,0.4444,0.2857,0.0000
ae_adl_functions1,2,4,1,1,3,0.5000,0.2500,0.3333,0.2000,0.0000
ae_adl_functions2,3,8,3,0,5,1.0000,0.3750,0.5455,0.3750,0.0000
ae_adl_functions3,5,9,3,2,6,0.6000,0.3333,0.4286,0.2727,0.0000
ae_adl_greet,3,5,2,1,3,0.6667,0.4000,0.5000,0.3333,0.0000
ae_adl_hello,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_hiscore1,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_hiscore2,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_ifelifelse,4,6,3,1,3,0.7500,0.5000,0.6000,0.4286,0.0000
ae_adl_ifelse,7,7,4,3,3,0.5714,0.5714,0.5714,0.4000,0.0000
ae_adl_input1,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ae_adl_input2,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ae_adl_lists1,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ae_adl_lists2,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_lists3,11,12,6,5,6,0.5455,0.5000,0.5217,0.3529,0.0000
ae_adl_logic,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_nested_if,1,7,1,0,6,1.0000,0.1429,0.2500,0.1429,0.0000
ae_adl_objects1,3,5,2,1,3,0.6667,0.4000,0.5000,0.3333,0.0000
ae_adl_objects2,7,12,3,4,9,0.4286,0.2500,0.3158,0.1875,0.0000
ae_adl_objects3,13,15,8,5,7,0.6154,0.5333,0.5714,0.4000,0.0000
ae_adl_recursion,1,10,1,0,9,1.0000,0.1000,0.1818,0.1000,0.0000
ae_adl_returnvalue,4,11,2,2,9,0.5000,0.1818,0.2667,0.1538,0.0000
ae_adl_simple_arithmetics,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_strings,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_adl_swap,1,5,0,1,5,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_tryexcept1,6,7,4,2,3,0.6667,0.5714,0.6154,0.4444,0.0000
ae_adl_tryexcept2,6,11,4,2,7,0.6667,0.3636,0.4706,0.3077,0.0000
ae_adl_vals_refs1,4,7,1,3,6,0.2500,0.1429,0.1818,0.1000,0.0000
ae_adl_vals_refs2,7,8,2,5,6,0.2857,0.2500,0.2667,0.1538,0.0000
ae_adl_vals_refs3,8,9,3,5,6,0.3750,0.3333,0.3529,0.2143,0.0000
ae_adl_variables,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_while,6,9,3,3,6,0.5000,0.3333,0.4000,0.2500,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ae_python_class2,12,12,6,6,6,0.5000,0.5000,0.5000,0.3333,0.0000
ae_python_file,12,15,8,4,7,0.6667,0.5333,0.5926,0.4211,0.0000
ae_python_float,5,8,4,1,4,0.8000,0.5000,0.6154,0.4444,0.0000
ae_python_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_python_function,2,10,1,1,9,0.5000,0.1000,0.1667,0.0909,0.0000
ae_python_if,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_python_input,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ae_python_intro,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
ae_python_list,14,15,7,7,8,0.5000,0.4667,0.4828,0.3182,0.0000
ae_python_split,20,18,12,8,6,0.6000,0.6667,0.6316,0.4615,0.0000
ae_python_while,10,13,6,4,7,0.6000,0.4615,0.5217,0.3529,0.0000
objects_classes_account,14,15,9,5,6,0.6429,0.6000,0.6207,0.4500,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,5,13,2,3,11,0.4000,0.1538,0.2222,0.1250,0.0000
objects_classes_tv,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,3,2,1,2,1,0.3333,0.5000,0.4000,0.2500,0.0000
ps_python_2d_list,10,14,5,5,9,0.5000,0.3571,0.4167,0.2632,0.0000
ps_python_add_to_list,11,8,4,7,4,0.3636,0.5000,0.4211,0.2667,0.0000
ps_python_addition,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ps_python_bigger_than,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ps_python_calculate_function,6,8,3,3,5,0.5000,0.3750,0.4286,0.2727,0.0000
ps_python_class_person,6,9,3,3,6,0.5000,0.3333,0.4000,0.2500,0.0000
ps_python_class_point,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ps_python_comparisons,4,4,1,3,3,0.2500,0.2500,0.2500,0.1429,0.0000
ps_python_conditionals_temperature,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_dict_filter,10,11,7,3,4,0.7000,0.6364,0.6667,0.5000,0.0000
ps_python_dict_keys,6,9,5,1,4,0.8333,0.5556,0.6667,0.5000,0.0000
ps_python_dict_values,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_for_odd_or_even,5,6,4,1,2,0.8000,0.6667,0.7273,0.5714,0.0000
ps_python_iteration_addition,3,8,2,1,6,0.6667,0.2500,0.3636,0.2222,0.0000
ps_python_iteration_multiplication,6,8,4,2,4,0.6667,0.5000,0.5714,0.4000,0.0000
ps_python_list_iteration_zoo,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ps_python_list_to_dict,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
