exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,10,13,10,0,3,1.0000,0.7692,0.8696,0.7692,0.0000
ae_adl_comparison,7,9,5,2,4,0.7143,0.5556,0.6250,0.4545,0.0000
ae_adl_dict1,13,14,12,1,2,0.9231,0.8571,0.8889,0.8000,0.0000
ae_adl_dict2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_dict3,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
ae_adl_file1,10,15,10,0,5,1.0000,0.6667,0.8000,0.6667,0.0000
ae_adl_file2,16,16,15,1,1,0.9375,0.9375,0.9375,0.8824,0.0000
ae_adl_findmax,16,14,14,2,0,0.8750,1.0000,0.9333,0.8750,0.0000
ae_adl_for,4,10,4,0,6,1.0000,0.4000,0.5714,0.4000,0.0000
ae_adl_format1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_format2,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_functions1,4,5,4,0,1,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_functions2,4,12,4,0,8,1.0000,0.3333,0.5000,0.3333,0.0000
ae_adl_functions3,10,14,10,0,4,1.0000,0.7143,0.8333,0.7143,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_hiscore2,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_ifelifelse,9,11,8,1,3,0.8889,0.7273,0.8000,0.6667,0.0000
ae_adl_ifelse,6,12,6,0,6,1.0000,0.5000,0.6667,0.5000,0.0000
ae_adl_input1,5,11,5,0,6,1.0000,0.4545,0.6250,0.4545,0.0000
ae_adl_input2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists1,7,11,7,0,4,1.0000,0.6364,0.7778,0.6364,0.0000
ae_adl_lists2,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists3,15,15,15,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_logic,11,12,9,2,3,0.8182,0.7500,0.7826,0.6429,0.0000
ae_adl_nested_if,5,12,5,0,7,1.0000,0.4167,0.5882,0.4167,0.0000
ae_adl_objects1,6,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_objects2,8,18,8,0,10,1.0000,0.4444,0.6154,0.4444,0.0000
ae_adl_objects3,10,16,10,0,6,1.0000,0.6250,0.7692,0.6250,0.0000
ae_adl_recursion,7,13,7,0,6,1.0000,0.5385,0.7000,0.5385,0.0000
