exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
ae_adl_comparison,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_dict1,9,15,7,2,8,0.7778,0.4667,0.5833,0.4118,0.0000
ae_adl_dict2,11,13,6,5,7,0.5455,0.4615,0.5000,0.3333,0.0000
ae_adl_dict3,8,16,5,3,11,0.6250,0.3125,0.4167,0.2632,0.0000
ae_adl_file1,9,15,7,2,8,0.7778,0.4667,0.5833,0.4118,0.0000
ae_adl_file2,16,14,8,8,6,0.5000,0.5714,0.5333,0.3636,0.0000
ae_adl_findmax,12,10,8,4,2,0.6667,0.8000,0.7273,0.5714,0.0000
ae_adl_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_format1,7,6,3,4,3,0.4286,0.5000,0.4615,0.3000,0.0000
ae_adl_format2,7,6,3,4,3,0.4286,0.5000,0.4615,0.3000,0.0000
ae_adl_functions1,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_functions2,8,8,4,4,4,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_functions3,6,9,4,2,5,0.6667,0.4444,0.5333,0.3636,0.0000
ae_adl_greet,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ae_adl_hello,4,3,2,2,1,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_hiscore1,8,6,3,5,3,0.3750,0.5000,0.4286,0.2727,0.0000
ae_adl_hiscore2,9,6,4,5,2,0.4444,0.6667,0.5333,0.3636,0.0000
ae_adl_ifelifelse,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_adl_ifelse,7,7,4,3,3,0.5714,0.5714,0.5714,0.4000,0.0000
ae_adl_input1,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
ae_adl_input2,6,8,3,3,5,0.5000,0.3750,0.4286,0.2727,0.0000
ae_adl_lists1,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
ae_adl_lists2,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_lists3,12,12,6,6,6,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_logic,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_nested_if,7,7,4,3,3,0.5714,0.5714,0.5714,0.4000,0.0000
ae_adl_objects1,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ae_adl_objects2,15,12,8,7,4,0.5333,0.6667,0.5926,0.4211,0.0000
ae_adl_objects3,14,15,9,5,6,0.6429,0.6000,0.6207,0.4500,0.0000
ae_adl_recursion,8,10,7,1,3,0.8750,0.7000,0.7778,0.6364,0.0000
ae_adl_returnvalue,6,11,4,2,7,0.6667,0.3636,0.4706,0.3077,0.0000
ae_adl_simple_arithmetics,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_strings,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_swap,5,5,1,4,4,0.2000,0.2000,0.2000,0.1111,0.0000
ae_adl_tryexcept1,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
ae_adl_tryexcept2,9,11,5,4,6,0.5556,0.4545,0.5000,0.3333,0.0000
ae_adl_vals_refs1,6,7,3,3,4,0.5000,0.4286,0.4615,0.3000,0.0000
ae_adl_vals_refs2,9,8,3,6,5,0.3333,0.3750,0.3529,0.2143,0.0000
ae_adl_vals_refs3,9,9,4,5,5,0.4444,0.4444,0.4444,0.2857,0.0000
ae_adl_variables,6,6,2,4,4,0.3333,0.3333,0.3333,0.2000,0.0000
ae_adl_while,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ae_python_class2,12,12,7,5,5,0.5833,0.5833,0.5833,0.4118,0.0000
ae_python_file,13,15,8,5,7,0.6154,0.5333,0.5714,0.4000,0.0000
ae_python_float,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ae_python_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_python_function,2,10,2,0,8,1.0000,0.2000,0.3333,0.2000,0.0000
ae_python_if,4,6,3,1,3,0.7500,0.5000,0.6000,0.4286,0.0000
ae_python_input,7,5,3,4,2,0.4286,0.6000,0.5000,0.3333,0.0000
ae_python_intro,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
ae_python_list,16,15,8,8,7,0.5000,0.5333,0.5161,0.3478,0.0000
ae_python_split,8,18,5,3,13,0.6250,0.2778,0.3846,0.2381,0.0000
ae_python_while,11,13,6,5,7,0.5455,0.4615,0.5000,0.3333,0.0000
objects_classes_account,15,15,9,6,6,0.6000,0.6000,0.6000,0.4286,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,10,13,6,4,7,0.6000,0.4615,0.5217,0.3529,0.0000
