exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
ae_adl_comparison,5,4,2,3,2,0.4000,0.5000,0.4444,0.2857,0.0000
ae_adl_dict1,10,15,7,3,8,0.7000,0.4667,0.5600,0.3889,0.0000
ae_adl_dict2,13,13,6,7,7,0.4615,0.4615,0.4615,0.3000,0.0000
ae_adl_dict3,9,16,6,3,10,0.6667,0.3750,0.4800,0.3158,0.0000
ae_adl_file1,13,15,9,4,6,0.6923,0.6000,0.6429,0.4737,0.0000
ae_adl_file2,23,14,10,13,4,0.4348,0.7143,0.5405,0.3704,0.0000
ae_adl_findmax,11,10,7,4,3,0.6364,0.7000,0.6667,0.5000,0.0000
ae_adl_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_format1,7,6,3,4,3,0.4286,0.5000,0.4615,0.3000,0.0000
ae_adl_format2,8,6,3,5,3,0.3750,0.5000,0.4286,0.2727,0.0000
ae_adl_functions1,5,4,2,3,2,0.4000,0.5000,0.4444,0.2857,0.0000
ae_adl_functions2,8,8,4,4,4,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_functions3,11,9,5,6,4,0.4545,0.5556,0.5000,0.3333,0.0000
ae_adl_greet,7,5,3,4,2,0.4286,0.6000,0.5000,0.3333,0.0000
ae_adl_hello,4,3,2,2,1,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_hiscore1,8,6,3,5,3,0.3750,0.5000,0.4286,0.2727,0.0000
ae_adl_hiscore2,8,6,3,5,3,0.3750,0.5000,0.4286,0.2727,0.0000
ae_adl_ifelifelse,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_adl_ifelse,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
ae_adl_input1,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ae_adl_input2,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ae_adl_lists1,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
ae_adl_lists2,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_lists3,13,12,7,6,5,0.5385,0.5833,0.5600,0.3889,0.0000
ae_adl_logic,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_nested_if,8,7,4,4,3,0.5000,0.5714,0.5333,0.3636,0.0000
ae_adl_objects1,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ae_adl_objects2,16,12,8,8,4,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_objects3,16,15,9,7,6,0.5625,0.6000,0.5806,0.4091,0.0000
ae_adl_recursion,7,10,6,1,4,0.8571,0.6000,0.7059,0.5455,0.0000
ae_adl_returnvalue,10,11,6,4,5,0.6000,0.5455,0.5714,0.4000,0.0000
ae_adl_simple_arithmetics,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_adl_strings,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ae_adl_swap,5,5,1,4,4,0.2000,0.2000,0.2000,0.1111,0.0000
ae_adl_tryexcept1,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
ae_adl_tryexcept2,9,11,5,4,6,0.5556,0.4545,0.5000,0.3333,0.0000
ae_adl_vals_refs1,6,7,3,3,4,0.5000,0.4286,0.4615,0.3000,0.0000
ae_adl_vals_refs2,9,8,3,6,5,0.3333,0.3750,0.3529,0.2143,0.0000
ae_adl_vals_refs3,10,9,4,6,5,0.4000,0.4444,0.4211,0.2667,0.0000
ae_adl_variables,7,6,3,4,3,0.4286,0.5000,0.4615,0.3000,0.0000
ae_adl_while,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ae_python_class2,16,12,8,8,4,0.5000,0.6667,0.5714,0.4000,0.0000
ae_python_file,16,15,10,6,5,0.6250,0.6667,0.6452,0.4762,0.0000
ae_python_float,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ae_python_for,6,5,4,2,1,0.6667,0.8000,0.7273,0.5714,0.0000
ae_python_function,11,10,6,5,4,0.5455,0.6000,0.5714,0.4000,0.0000
ae_python_if,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ae_python_input,7,5,3,4,2,0.4286,0.6000,0.5000,0.3333,0.0000
ae_python_intro,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
ae_python_list,16,15,8,8,7,0.5000,0.5333,0.5161,0.3478,0.0000
ae_python_split,20,18,12,8,6,0.6000,0.6667,0.6316,0.4615,0.0000
ae_python_while,12,13,8,4,5,0.6667,0.6154,0.6400,0.4706,0.0000
objects_classes_account,18,15,10,8,5,0.5556,0.6667,0.6061,0.4348,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,15,13,8,7,5,0.5333,0.6154,0.5714,0.4000,0.0000
objects_classes_tv,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,4,2,1,3,1,0.2500,0.5000,0.3333,0.2000,0.0000
ps_python_2d_list,15,14,7,8,7,0.4667,0.5000,0.4828,0.3182,0.0000
ps_python_add_to_list,11,8,4,7,4,0.3636,0.5000,0.4211,0.2667,0.0000
ps_python_addition,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
ps_python_bigger_than,4,3,2,2,1,0.5000,0.6667,0.5714,0.4000,0.0000
ps_python_calculate_function,9,8,4,5,4,0.4444,0.5000,0.4706,0.3077,0.0000
ps_python_class_person,11,9,4,7,5,0.3636,0.4444,0.4000,0.2500,0.0000
ps_python_class_point,12,8,5,7,3,0.4167,0.6250,0.5000,0.3333,0.0000
ps_python_comparisons,5,4,2,3,2,0.4000,0.5000,0.4444,0.2857,0.0000
ps_python_conditionals_temperature,8,5,4,4,1,0.5000,0.8000,0.6154,0.4444,0.0000
ps_python_dict_filter,12,11,7,5,4,0.5833,0.6364,0.6087,0.4375,0.0000
ps_python_dict_keys,10,9,7,3,2,0.7000,0.7778,0.7368,0.5833,0.0000
ps_python_dict_values,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ps_python_for_odd_or_even,8,6,5,3,1,0.6250,0.8333,0.7143,0.5556,0.0000
ps_python_iteration_addition,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ps_python_iteration_multiplication,10,8,5,5,3,0.5000,0.6250,0.5556,0.3846,0.0000
ps_python_list_iteration_zoo,7,5,3,4,2,0.4286,0.6000,0.5000,0.3333,0.0000
ps_python_list_to_dict,10,8,5,5,3,0.5000,0.6250,0.5556,0.3846,0.0000
ps_python_modulo_is_even,4,4,3,1,1,0.7500,0.7500,0.7500,0.6000,0.0000
ps_python_nested_calls,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ps_python_nested_ifs,9,5,4,5,1,0.4444,0.8000,0.5714,0.4000,0.0000
ps_python_nested_lists_indexing,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ps_python_nested_loops,10,9,5,5,4,0.5000,0.5556,0.5263,0.3571,0.0000
ps_python_printing_file_contents,12,9,7,5,2,0.5833,0.7778,0.6667,0.5000,0.0000
ps_python_recursive_factorial,6,6,5,1,1,0.8333,0.8333,0.8333,0.7143,0.0000
ps_python_string_indexing,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ps_python_string_join,10,7,5,5,2,0.5000,0.7143,0.5882,0.4167,0.0000
ps_python_swap,2,2,0,2,2,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_try_adding,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ps_python_try_except,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
ps_python_xor,5,4,3,2,1,0.6000,0.7500,0.6667,0.5000,0.0000
ps_return_bigger_or_none,7,3,2,5,1,0.2857,0.6667,0.4000,0.2500,0.0000
ps_simple_function,6,4,1,5,3,0.1667,0.2500,0.2000,0.1111,0.0000
ps_simple_params,5,6,2,3,4,0.4000,0.3333,0.3636,0.2222,0.0000
py_account2,14,14,10,4,4,0.7143,0.7143,0.7143,0.5556,0.0000
py_adjacent_consecutive,14,9,7,7,2,0.5000,0.7778,0.6087,0.4375,0.0000
py_adjacent_greater,12,10,7,5,3,0.5833,0.7000,0.6364,0.4667,0.0000
py_average_even_nums,17,12,10,7,2,0.5882,0.8333,0.6897,0.5263,0.0000
py_average_float,15,13,10,5,3,0.6667,0.7692,0.7143,0.5556,0.0000
py_average_list_elements,15,14,9,6,5,0.6000,0.6429,0.6207,0.4500,0.0000
py_bmi_calculator,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_bmi_calculator2,12,10,7,5,3,0.5833,0.7000,0.6364,0.4667,0.0000
py_boolean_dry_hot,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot4,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_char_dict,20,18,11,9,7,0.5500,0.6111,0.5789,0.4074,0.0000
py_check_adjacent,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_check_age,15,15,10,5,5,0.6667,0.6667,0.6667,0.5000,0.0000
py_check_age2,18,16,11,7,5,0.6111,0.6875,0.6471,0.4783,0.0000
py_check_product_code,16,16,9,7,7,0.5625,0.5625,0.5625,0.3913,0.0000
py_check_product_code2,18,18,11,7,7,0.6111,0.6111,0.6111,0.4400,0.0000
py_concat_char_two_str,8,8,4,4,4,0.5000,0.5000,0.5000,0.3333,0.0000
py_concat_char_two_str2,11,9,4,7,5,0.3636,0.4444,0.4000,0.2500,0.0000
py_concat_str_num,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_concat_str_num2,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
py_concat_string_num3,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_digits,10,8,5,5,3,0.5000,0.6250,0.5556,0.3846,0.0000
py_display_time2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_divisor,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
py_f_to_c_conversion,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_fahrenheit_to_celsius,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
py_fail_course,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_fail_course2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_fail_course3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_file_input_stat,25,20,15,10,5,0.6000,0.7500,0.6667,0.5000,0.0000
py_find_average,15,12,9,6,3,0.6000,0.7500,0.6667,0.5000,0.0000
py_first_char_words_dict,27,20,16,11,4,0.5926,0.8000,0.6809,0.5161,0.0000
py_if_else_grade,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_if_else_num,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_if_else_wage,12,10,8,4,2,0.6667,0.8000,0.7273,0.5714,0.0000
py_if_else_wage2,13,11,8,5,3,0.6154,0.7273,0.6667,0.5000,0.0000
py_ifelse_odd_even,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_ifelseif_grade2,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
py_input,10,7,5,5,2,0.5000,0.7143,0.5882,0.4167,0.0000
py_input2,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_input3,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_input4,11,9,7,4,2,0.6364,0.7778,0.7000,0.5385,0.0000
py_input_stat2,26,23,18,8,5,0.6923,0.7826,0.7347,0.5806,0.0000
py_largest_divisor,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_list2d_basic,10,6,2,8,4,0.2000,0.3333,0.2500,0.1429,0.0000
py_list2d_basic2,11,6,2,9,4,0.1818,0.3333,0.2353,0.1333,0.0000
