exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,0,13,0,0,13,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_comparison,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_dict1,14,14,12,2,2,0.8571,0.8571,0.8571,0.7500,0.0000
ae_adl_dict2,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_dict3,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
ae_adl_file1,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_file2,0,16,0,0,16,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_findmax,0,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_for,0,10,0,0,10,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_format1,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_format2,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_functions1,0,5,0,0,5,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_functions2,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_functions3,0,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_greet,0,7,0,0,7,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_hello,0,4,0,0,4,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_hiscore1,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_hiscore2,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_ifelifelse,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_ifelse,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_input1,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_input2,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_lists1,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_lists2,0,10,0,0,10,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_lists3,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_logic,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_nested_if,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_objects1,0,6,0,0,6,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_objects2,15,18,15,0,3,1.0000,0.8333,0.9091,0.8333,0.0000
ae_adl_objects3,15,16,15,0,1,1.0000,0.9375,0.9677,0.9375,0.0000
ae_adl_recursion,0,13,0,0,13,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_returnvalue,0,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_simple_arithmetics,0,10,0,0,10,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_strings,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_swap,0,7,0,0,7,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_tryexcept1,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_tryexcept2,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_vals_refs1,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_vals_refs2,0,10,0,0,10,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_vals_refs3,0,10,0,0,10,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_variables,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_while,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_assignment,0,6,0,0,6,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_class1,0,6,0,0,6,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_class2,18,19,17,1,2,0.9444,0.8947,0.9189,0.8500,0.0000
ae_python_file,0,19,0,0,19,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_float,0,13,0,0,13,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_for,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_function,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_if,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_input,0,7,0,0,7,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_intro,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_list,20,19,18,2,1,0.9000,0.9474,0.9231,0.8571,0.0000
ae_python_split,21,20,19,2,1,0.9048,0.9500,0.9268,0.8636,0.0000
ae_python_while,0,16,0,0,16,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_account,23,23,22,1,1,0.9565,0.9565,0.9565,0.9167,0.0000
objects_classes_loan,0,20,0,0,20,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
objects_classes_tv,0,25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,0,4,0,0,4,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_2d_list,0,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_add_to_list,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_addition,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_bigger_than,0,7,0,0,7,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_calculate_function,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_class_person,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_class_point,11,13,10,1,3,0.9091,0.7692,0.8333,0.7143,0.0000
ps_python_comparisons,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_conditionals_temperature,14,11,11,3,0,0.7857,1.0000,0.8800,0.7857,0.0000
ps_python_dict_filter,0,13,0,0,13,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_dict_keys,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_dict_values,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_for_odd_or_even,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_iteration_addition,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_iteration_multiplication,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_list_iteration_zoo,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_list_to_dict,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_modulo_is_even,0,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_nested_calls,9,9,9,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_nested_ifs,9,12,7,2,5,0.7778,0.5833,0.6667,0.5000,0.0000
ps_python_nested_lists_indexing,0,8,0,0,8,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_nested_loops,0,13,0,0,13,0.0000,0.0000,0.0000,0.0000,0.0000
