exercise_name,parent,leaf_class
ps_python_list_iteration_zoo,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_list_iteration_zoo,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_dict_keys,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_dict_keys,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_dict_filter,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_dict_filter,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_3digit_combinations2,ForLoopWithUpdate,ForLoopWith*=
ps_python_divisible_by3,CheckingInForLoop,IfElseCheckingInForLoop
ps_python_divisible_by3,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_divisible_by3,CheckingInForLoop,IfCheckingInForLoop
ps_python_divisible_by3,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_freq_of_char2,HandlingRecursiveFunction,CallingRecursiveFunction
ps_python_list_reverse3,ForLoopWithUpdate,ForLoopWith*=
ps_python_list_reverse8,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_list_reverse8,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_sum_of_two2,HandlingRecursiveFunction,CallingRecursiveFunction
ps_python_find_and_square6,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_easy_power1,ForLoopWithUpdate,ForLoopWith*=
ps_python_power_with_loops1,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_remove_dublicates2,HandlingRecursiveFunction,CallingRecursiveFunction
ps_python_even_first4,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_search_min_max_index,ForLoopWithUpdate,ForLoopWith+=
ps_python_tree_inorder_traversal,CheckingInWhileLoop,IfElseCheckingInWhileLoop
ps_python_json_iterate_1,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_iteration_multiplication_for,CheckingInForLoop,IfElifCheckingInForLoop
ps_python_iteration_multiplication_for,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
ps_python_iteration_multiplication_for,ForLoopWithUpdate,ForLoopWith+=
