exercise_name,parent,leaf_class
py_fail_course,HandlingFunction,NestedFunctionCall
py_fail_course,HandlingStandardFunction,CallingStandardFunction
py_fail_course,HandlingStandardFunction,DefiningStandardFunction
py_fail_course3,HandlingStandardFunction,CallingStandardFunction
py_fail_course3,HandlingStandardFunction,DefiningStandardFunction
py_phone_age,HandlingStandardFunction,CallingStandardFunction
py_phone_age,HandlingStandardFunction,DefiningStandardFunction
py_phone_age2,HandlingStandardFunction,CallingStandardFunction
py_phone_age2,HandlingStandardFunction,DefiningStandardFunction
py_rent_car,HandlingStandardFunction,CallingStandardFunction
py_rent_car,HandlingStandardFunction,DefiningStandardFunction
py_rent_car2,HandlingStandardFunction,CallingStandardFunction
py_rent_car2,HandlingStandardFunction,DefiningStandardFunction
py_rent_car3,HandlingStandardFunction,CallingStandardFunction
py_rent_car3,HandlingStandardFunction,DefiningStandardFunction
py_check_age,HandlingFunction,NestedFunctionCall
py_check_age,HandlingStandardFunction,CallingStandardFunction
py_check_age,HandlingStandardFunction,DefiningStandardFunction
py_check_age2,HandlingFunction,NestedFunctionCall
py_check_age2,HandlingStandardFunction,CallingStandardFunction
py_check_age2,HandlingStandardFunction,DefiningStandardFunction
py_three_boolean,HandlingStandardFunction,CallingStandardFunction
py_three_boolean,HandlingStandardFunction,DefiningStandardFunction
py_three_boolean2,HandlingStandardFunction,CallingStandardFunction
py_three_boolean2,HandlingStandardFunction,DefiningStandardFunction
py_three_boolean3,HandlingStandardFunction,CallingStandardFunction
py_three_boolean3,HandlingStandardFunction,DefiningStandardFunction
py_boolean_dry_hot,HandlingStandardFunction,CallingStandardFunction
py_boolean_dry_hot,HandlingStandardFunction,DefiningStandardFunction
py_boolean_dry_hot2,HandlingStandardFunction,CallingStandardFunction
py_boolean_dry_hot2,HandlingStandardFunction,DefiningStandardFunction
py_boolean_dry_hot3,HandlingStandardFunction,CallingStandardFunction
py_boolean_dry_hot3,HandlingStandardFunction,DefiningStandardFunction
py_boolean_dry_hot4,HandlingStandardFunction,CallingStandardFunction
py_boolean_dry_hot4,HandlingStandardFunction,DefiningStandardFunction
py_str_repeat_chars,HandlingStandardFunction,CallingStandardFunction
py_str_repeat_chars,HandlingStandardFunction,DefiningStandardFunction
py_str_repeat_chars,ForLoopWithUpdate,ForLoopWith*=
py_str_repeat2,HandlingFunction,NestedFunctionCall
py_str_repeat2,HandlingStandardFunction,CallingStandardFunction
py_str_repeat2,HandlingStandardFunction,DefiningStandardFunction
py_str_repeat2,NestedLoopIteration,NestedWhileLoopIteration
py_file_input_stat,HandlingStandardFunction,CallingStandardFunction
py_file_input_stat,HandlingStandardFunction,DefiningStandardFunction
py_file_input_stat,NestedLoopIteration,NestedWhileLoopIteration
py_input_stat2,HandlingFunction,NestedFunctionCall
py_input_stat2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_input_stat2,HandlingStandardFunction,CallingStandardFunction
py_input_stat2,HandlingStandardFunction,DefiningStandardFunction
py_input_stat2,WhileLoopWithUpdate,WhileLoopWith*=
py_input_stat2,ForLoopWithUpdate,ForLoopWith*=
py_input_stat2,NestedLoopIteration,NestedWhileLoopIteration
py_student_score,HandlingFunction,NestedFunctionCall
py_student_score,HandlingStandardFunction,CallingStandardFunction
py_student_score,HandlingStandardFunction,DefiningStandardFunction
py_score_dict2,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_score_dict2,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_score_dict2,HandlingRecursiveFunction,CallingRecursiveFunction
py_score_dict2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_score_dict2,HandlingNestedFunction,CallingNestedFunction
py_score_dict2,HandlingNestedFunction,DefiningNestedFunction
py_score_dict2,HandlingStandardFunction,CallingStandardFunction
py_score_dict2,HandlingStandardFunction,DefiningStandardFunction
py_score_dict2,NestedLoopIteration,NestedWhileLoopIteration
bjects_classes_loan,HandlingObjectOrientedProgramming,CallingOOPMethod
bjects_classes_loan,HandlingFunction,NestedFunctionCall
bjects_classes_loan,HandlingStandardFunction,CallingStandardFunction
bjects_classes_loan,HandlingStandardFunction,DefiningStandardFunction
py_loan2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_loan2,HandlingStandardFunction,CallingStandardFunction
py_loan2,HandlingStandardFunction,DefiningStandardFunction
py_tv2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_tv2,HandlingFunction,NestedFunctionCall
py_tv2,HandlingRecursiveFunction,CallingRecursiveFunction
py_tv2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_tv2,HandlingStandardFunction,CallingStandardFunction
py_tv2,HandlingStandardFunction,DefiningStandardFunction
objects_classes_point,HandlingFunction,NestedFunctionCall
objects_classes_point,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
