exercise_name,parent,leaf_class
py_fail_course,Call,FunctionCall
py_fail_course,BuiltInFunction,print()
py_fail_course2,Call,FunctionCall
py_fail_course2,BuiltInFunction,print()
py_fail_course3,Call,FunctionCall
py_fail_course3,BuiltInFunction,dict()
py_fail_course3,BuiltInFunction,print()
py_phone_age,Call,FunctionCall
py_phone_age2,Call,FunctionCall
py_rent_car,Call,FunctionCall
py_rent_car,BuiltInFunction,print()
py_rent_car2,Call,FunctionCall
py_rent_car2,BuiltInFunction,print()
py_rent_car3,Call,FunctionCall
py_rent_car3,BuiltInFunction,print()
py_check_age2,ClassMethod,__init()__
py_check_age2,BuiltInFunction,tuple()
py_check_age2,BuiltInFunction,round()
py_check_age2,BuiltInFunction,len()
py_three_boolean,Call,FunctionCall
py_three_boolean2,Call,FunctionCall
py_three_boolean2,BuiltInFunction,dict()
py_three_boolean3,Call,FunctionCall
py_boolean_dry_hot,Call,FunctionCall
py_boolean_dry_hot2,Call,FunctionCall
py_boolean_dry_hot2,BuiltInFunction,print()
py_boolean_dry_hot3,Call,FunctionCall
py_boolean_dry_hot3,BuiltInFunction,print()
py_boolean_dry_hot4,Call,FunctionCall
py_str_repeat2,IterationStatement,WhileStatement
py_input_stat2,Call,FunctionCall
py_input_stat2,BuiltInFunction,round()
bjects_classes_loan,Call,FunctionCall
bjects_classes_loan,BuiltInFunction,str()
bjects_classes_loan,BuiltInFunction,max()
bjects_classes_loan,BuiltInFunction,range()
bjects_classes_loan,BuiltInFunction,tuple()
bjects_classes_loan,BuiltInFunction,abs()
bjects_classes_loan,BuiltInFunction,round()
bjects_classes_loan,BuiltInFunction,len()
bjects_classes_loan,BuiltInFunction,min()
bjects_classes_loan,BuiltInFunction,print()
py_loan2,Call,FunctionCall
py_loan2,BuiltInFunction,str()
py_loan2,BuiltInFunction,max()
py_loan2,BuiltInFunction,range()
py_loan2,BuiltInFunction,tuple()
py_loan2,BuiltInFunction,abs()
py_loan2,BuiltInFunction,round()
py_loan2,BuiltInFunction,len()
py_loan2,BuiltInFunction,min()
py_loan2,BuiltInFunction,print()
py_char_dict,Call,FunctionCall
py_char_dict,BuiltInFunction,str()
py_char_dict,BuiltInFunction,max()
py_char_dict,BuiltInFunction,range()
py_char_dict,BuiltInFunction,tuple()
py_char_dict,BuiltInFunction,abs()
py_char_dict,BuiltInFunction,round()
py_char_dict,BuiltInFunction,len()
py_char_dict,BuiltInFunction,min()
py_char_dict,BuiltInFunction,print()
py_first_char_words_dict,Call,FunctionCall
py_first_char_words_dict,BuiltInFunction,print()
ae_adl_simple_arithmetics,ArtithmeticOperator,/
ae_adl_swap,NumericLiteral,FloatLiteral
ae_adl_swap,Error,TypeError
ae_adl_swap,Error,FileNotFoundError
ae_adl_swap,ListMethod,reverse()
ae_adl_swap,ListMethod,insert()
ae_adl_swap,ListMethod,remove()
ae_adl_swap,ListMethod,append()
ae_adl_swap,ListMethod,pop()
ae_adl_swap,FileMethod,readline()
ae_adl_swap,FileMethod,close()
ae_adl_swap,FileMethod,read()
ae_adl_logic,ArtithmeticOperator,*
ae_adl_input1,Call,FunctionCall
ae_adl_input2,Call,FunctionCall
py_time_conversion,ArtithmeticOperator,Modulus
py_time_conversion,BuiltInFunction,dict()
py_display_time2,ArtithmeticOperator,/
py_bmi_calculator,Call,FunctionCall
py_bmi_calculator,BuiltInFunction,print()
py_pythagorean_theorem,Call,FunctionCall
py_f_to_c_conversion,Call,FunctionCall
py_vending_machine,Call,FunctionCall
py_vending_machine,ArtithmeticOperator,+
py_vending_machine,ArtithmeticOperator,/
py_vending_machine,ArtithmeticOperator,**
py_vending_machine,BuiltInFunction,dict()
py_nested_if_min_max,BuiltInFunction,dict()
py_nested_if_max_of_three,BuiltInFunction,min()
py_if_else_grade,Call,FunctionCall
py_if_else_grade,BuiltInFunction,print()
py_ifelseif_grade2,Call,FunctionCall
q_py_topic_if_statement:q_py_nested_if_elif2,Call,FunctionCall
q_py_topic_if_statement:q_py_nested_if_elif2,BuiltInFunction,print()
q_py_topic_lists:q_py_list_access1,ComparisonOperator,==
q_py_topic_logical_operators:q_py_account_logic1,IterationStatement,WhileStatement
q_py_topic_loops:q_py_nested_while1,Call,FunctionCall
q_py_topic_loops:q_py_nested_while1,ComparisonOperator,Less
q_py_topic_loops:q_py_nested_while1,BuiltInFunction,print()
q_py_topic_loops:q_py_while_loop2,NumericLiteral,FloatLiteral
q_py_topic_output_formatting:q_py_output1,StringMethod,split()
q_py_topic_output_formatting:q_py_output1,ComparisonOperator,Larger
q_py_topic_output_formatting:q_py_output1,ComparisonOperator,LargerOrEqual
q_py_topic_output_formatting:q_py_output2,ExceptionHandlingStatement,AssertStatement
q_py_topic_output_formatting:q_py_output3,SubscriptExpression,IndexingExpression
q_py_topic_output_formatting:q_py_output3,SubscriptExpression,SlicingExpression
q_py_topic_output_formatting:q_py_output3,ArithmeticExpression,BinaryOperation
q_py_topic_output_formatting:q_py_output3,ArithmeticExpression,UnaryOperation
q_py_topic_output_formatting:q_py_output3,LogicalExpression,ComparisonExpression
q_py_topic_output_formatting:q_py_output3,LogicalExpression,BooleanExpression
q_py_topic_output_formatting:q_py_output3,LiteralCollection,TupleLiteral
q_py_topic_output_formatting:q_py_output3,LiteralCollection,SetLiteral
q_py_topic_output_formatting:q_py_output3,LiteralCollection,DictLiteral
q_py_topic_output_formatting:q_py_output3,Error,TypeError
q_py_topic_output_formatting:q_py_output3,ComparisonOperator,LessOrEqual
q_py_topic_output_formatting:q_py_output3,ComparisonOperator,Less
q_py_topic_output_formatting:q_py_output3,ComparisonOperator,Larger
q_py_topic_output_formatting:q_py_output3,ComparisonOperator,LargerOrEqual
q_py_topic_output_formatting:q_py_output3,ComparisonOperator,==
q_py_topic_output_formatting:q_py_output3,ComparisonOperator,NotEqual
q_py_topic_output_formatting:q_py_output3,Statement,ExpressionStatement
q_py_topic_output_formatting:q_py_output3,DefinitionStatement,FunctionDefinition
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,dict()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,next()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,input()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,float()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,set()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,open()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,list()
q_py_topic_references:q_py_int_ref1,NumericLiteral,FloatLiteral
ae_python_float,Call,FunctionCall
ae_python_while,Call,FunctionCall
ae_python_split,StringMethod,lower()
ae_python_split,StringMethod,join()
ae_python_split,StringMethod,format()
ae_python_split,StringMethod,capitalize()
ae_python_split,StringMethod,rstrip()
ae_python_split,StringMethod,replace()
ae_python_split,DictionaryMethod,values()
ae_python_split,DictionaryMethod,items()
ae_python_split,ClassMethod,__init()__
ae_adl_vals_refs2,ComparisonOperator,LargerOrEqual
ae_adl_vals_refs3,NumericLiteral,FloatLiteral
ae_adl_file1,BuiltInFunction,dict()
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,LessOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,Less
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,Larger
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,LargerOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,==
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,NotEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LogicalOperator,and
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LogicalOperator,not
q_py_topic_two_dimensional_array:q_py_2d_arrays1,Statement,ExpressionStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,DefinitionStatement,FunctionDefinition
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Call,FunctionCall
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Operator,=
q_py_topic_two_dimensional_array:q_py_2d_arrays2,MembershipOperator,in
q_py_topic_two_dimensional_array:q_py_2d_arrays2,LogicalOperator,or
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,//
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,-
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,+
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,/
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,**
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,Modulus
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,*
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ConditionalStatement,IfElifStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,PassStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,BreakStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,ContinueStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,ReturnStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,IterationStatement,ForStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,IterationStatement,WhileStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,AssignmentStatement,SimpleAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,DefinitionStatement,ClassDefinition
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,StringLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,BooleanLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,NoneLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,NumericLiteral,FloatLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,NumericLiteral,IntegerLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,OSError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,IndexError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,IOError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,ValueError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,AssertionError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,LessOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,Less
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,Larger
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,LargerOrEqual
