exercise_name,parent,leaf_class
py_fail_course,Call,FunctionCall
py_fail_course2,ArtithmeticOperator,//
py_fail_course2,ArtithmeticOperator,-
py_fail_course2,ArtithmeticOperator,+
py_fail_course2,ArtithmeticOperator,/
py_fail_course2,ArtithmeticOperator,**
py_fail_course2,ArtithmeticOperator,Modulus
py_fail_course2,ArtithmeticOperator,*
py_fail_course3,Call,FunctionCall
py_fail_course3,BuiltInFunction,dict()
py_fail_course3,BuiltInFunction,print()
py_phone_age,Call,FunctionCall
py_phone_age2,Call,FunctionCall
py_rent_car,Call,FunctionCall
py_rent_car,BuiltInFunction,print()
py_rent_car2,Call,FunctionCall
py_rent_car2,BuiltInFunction,print()
py_rent_car3,Call,FunctionCall
py_rent_car3,BuiltInFunction,print()
py_check_age2,ClassMethod,__init()__
py_check_age2,ComparisonOperator,Larger
py_three_boolean,Call,FunctionCall
py_three_boolean,BuiltInFunction,print()
py_three_boolean2,Call,FunctionCall
py_three_boolean2,BuiltInFunction,dict()
py_three_boolean3,Call,FunctionCall
py_boolean_dry_hot,Call,FunctionCall
py_boolean_dry_hot,BuiltInFunction,print()
py_boolean_dry_hot2,Call,FunctionCall
py_boolean_dry_hot3,Call,FunctionCall
py_boolean_dry_hot4,Call,FunctionCall
py_str_repeat2,IterationStatement,WhileStatement
py_input_stat2,BuiltInFunction,round()
bjects_classes_loan,Call,FunctionCall
bjects_classes_loan,BuiltInFunction,str()
bjects_classes_loan,BuiltInFunction,max()
bjects_classes_loan,BuiltInFunction,range()
bjects_classes_loan,BuiltInFunction,tuple()
bjects_classes_loan,BuiltInFunction,abs()
bjects_classes_loan,BuiltInFunction,round()
bjects_classes_loan,BuiltInFunction,len()
bjects_classes_loan,BuiltInFunction,min()
bjects_classes_loan,BuiltInFunction,print()
py_loan2,Call,FunctionCall
py_loan2,BuiltInFunction,str()
py_loan2,BuiltInFunction,max()
py_loan2,BuiltInFunction,range()
py_loan2,BuiltInFunction,tuple()
py_loan2,BuiltInFunction,abs()
py_loan2,BuiltInFunction,round()
py_loan2,BuiltInFunction,len()
py_loan2,BuiltInFunction,min()
py_loan2,BuiltInFunction,print()
py_point2,ArtithmeticOperator,-
py_char_dict,Call,FunctionCall
py_char_dict,IterationStatement,WhileStatement
py_char_dict,BuiltInFunction,str()
py_char_dict,BuiltInFunction,max()
py_char_dict,BuiltInFunction,range()
py_char_dict,BuiltInFunction,tuple()
py_char_dict,BuiltInFunction,abs()
py_char_dict,BuiltInFunction,round()
py_char_dict,BuiltInFunction,len()
py_char_dict,BuiltInFunction,min()
py_char_dict,BuiltInFunction,print()
py_first_char_words_dict,Call,FunctionCall
py_first_char_words_dict,BuiltInFunction,print()
ae_adl_simple_arithmetics,ArtithmeticOperator,/
ae_adl_swap,Error,TypeError
ae_adl_swap,Error,FileNotFoundError
ae_adl_swap,ListMethod,reverse()
ae_adl_swap,ListMethod,insert()
ae_adl_swap,ListMethod,remove()
ae_adl_swap,ListMethod,append()
ae_adl_swap,ListMethod,pop()
ae_adl_swap,FileMethod,readline()
ae_adl_swap,FileMethod,close()
ae_adl_swap,FileMethod,read()
ae_adl_logic,ArtithmeticOperator,*
ae_adl_input1,Call,FunctionCall
ae_adl_input2,Call,FunctionCall
py_time_conversion,ArtithmeticOperator,Modulus
py_time_conversion,BuiltInFunction,dict()
py_display_time2,ArtithmeticOperator,/
py_vending_machine,Call,FunctionCall
py_vending_machine,ArtithmeticOperator,+
py_vending_machine,ArtithmeticOperator,/
py_vending_machine,ArtithmeticOperator,**
py_vending_machine,BuiltInFunction,dict()
py_vending_machine2,ArtithmeticOperator,Modulus
py_nested_if_min_max,BuiltInFunction,dict()
py_if_else_grade,Call,FunctionCall
py_if_else_grade,BuiltInFunction,print()
py_ifelseif_grade2,Call,FunctionCall
q_py_topic_exceptions:q_py_exceptions_addarr,ArtithmeticOperator,-
q_py_topic_exceptions:q_py_exceptions_addarr,ArtithmeticOperator,/
q_py_topic_exceptions:q_py_exceptions_addarr,ArtithmeticOperator,**
q_py_topic_exceptions:q_py_exceptions_addarr,ArtithmeticOperator,Modulus
q_py_topic_exceptions:q_py_exceptions_addarr,ArtithmeticOperator,*
q_py_topic_exceptions:q_py_exceptions_addarr,IterationStatement,WhileStatement
q_py_topic_functions:q_py_fun_car2,BuiltInFunction,max()
q_py_topic_logical_operators:q_py_account_logic1,ImportStatement,ImportFrom
q_py_topic_loops:q_py_while_loop2,NumericLiteral,FloatLiteral
q_py_topic_output_formatting:q_py_output1,StringMethod,split()
q_py_topic_output_formatting:q_py_output1,ComparisonOperator,Larger
q_py_topic_output_formatting:q_py_output1,ComparisonOperator,LargerOrEqual
q_py_topic_output_formatting:q_py_output2,BuiltInFunction,range()
q_py_topic_output_formatting:q_py_output3,SubscriptExpression,IndexingExpression
q_py_topic_output_formatting:q_py_output3,SubscriptExpression,SlicingExpression
q_py_topic_output_formatting:q_py_output3,ArithmeticExpression,BinaryOperation
q_py_topic_output_formatting:q_py_output3,ArithmeticExpression,UnaryOperation
q_py_topic_output_formatting:q_py_output3,LogicalExpression,ComparisonExpression
q_py_topic_output_formatting:q_py_output3,LogicalExpression,BooleanExpression
q_py_topic_output_formatting:q_py_output3,Literal,StringLiteral
q_py_topic_output_formatting:q_py_output3,LiteralCollection,TupleLiteral
q_py_topic_output_formatting:q_py_output3,LiteralCollection,SetLiteral
q_py_topic_output_formatting:q_py_output3,LiteralCollection,DictLiteral
q_py_topic_output_formatting:q_py_output3,Error,TypeError
q_py_topic_output_formatting:q_py_output3,ClassMethod,__init()__
q_py_topic_output_formatting:q_py_output3,ConditionalStatement,IfElifElseStatement
q_py_topic_output_formatting:q_py_output3,DefinitionStatement,FunctionDefinition
ae_python_float,Call,FunctionCall
ae_python_while,Call,FunctionCall
ae_python_split,StringMethod,lower()
ae_python_split,StringMethod,join()
ae_python_split,StringMethod,format()
ae_python_split,StringMethod,capitalize()
ae_python_split,StringMethod,rstrip()
ae_python_split,StringMethod,replace()
ae_python_split,DictionaryMethod,values()
ae_python_split,DictionaryMethod,items()
ae_python_split,ClassMethod,__init()__
ae_adl_file1,BuiltInFunction,dict()
q_py_topic_two_dimensional_array:q_py_2d_arrays1,SubscriptExpression,IndexingExpression
q_py_topic_two_dimensional_array:q_py_2d_arrays1,SubscriptExpression,SlicingExpression
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ArithmeticExpression,BinaryOperation
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ArithmeticExpression,UnaryOperation
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LogicalExpression,ComparisonExpression
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LogicalExpression,BooleanExpression
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LiteralCollection,TupleLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LiteralCollection,SetLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LiteralCollection,ListLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LiteralCollection,DictLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,LessOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,Less
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,Larger
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,LargerOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,==
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ComparisonOperator,NotEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LogicalOperator,and
q_py_topic_two_dimensional_array:q_py_2d_arrays1,LogicalOperator,not
q_py_topic_two_dimensional_array:q_py_2d_arrays1,Statement,ExpressionStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,DefinitionStatement,FunctionDefinition
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Call,FunctionCall
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ConditionalStatement,IfElifStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,PassStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,BreakStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,ContinueStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,ReturnStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,IterationStatement,ForStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,IterationStatement,WhileStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,AssignmentStatement,SimpleAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,DefinitionStatement,ClassDefinition
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,str()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,max()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,range()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,tuple()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,abs()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,round()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,len()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,min()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,print()
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,StringLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,BooleanLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,NoneLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,NumericLiteral,FloatLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,NumericLiteral,IntegerLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,OSError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,IndexError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,IOError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,ValueError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,AssertionError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Operator,=
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,LessOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,Less
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,Larger
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,LargerOrEqual
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,==
q_py_topic_two_dimensional_array:q_py_2d_arrays3,ComparisonOperator,NotEqual
