exercise_name,parent,leaf_class
py_fail_course,Call,FunctionCall
py_fail_course,BuiltInFunction,print()
py_fail_course2,Call,FunctionCall
py_fail_course3,Call,FunctionCall
py_fail_course3,BuiltInFunction,dict()
py_fail_course3,BuiltInFunction,print()
py_phone_age,Call,FunctionCall
py_phone_age2,Call,FunctionCall
py_rent_car,Call,FunctionCall
py_rent_car2,Call,FunctionCall
py_rent_car2,ComparisonOperator,Larger
py_rent_car2,BuiltInFunction,print()
py_rent_car3,Call,FunctionCall
py_rent_car3,BuiltInFunction,print()
py_check_age,BuiltInFunction,round()
py_check_age2,BuiltInFunction,tuple()
py_check_age2,BuiltInFunction,round()
py_check_age2,BuiltInFunction,len()
py_three_boolean,Call,FunctionCall
py_three_boolean2,Call,FunctionCall
py_three_boolean3,Call,FunctionCall
py_three_boolean3,BuiltInFunction,dict()
py_three_boolean3,BuiltInFunction,print()
py_boolean_dry_hot,Call,FunctionCall
py_boolean_dry_hot2,Call,FunctionCall
py_boolean_dry_hot3,Call,FunctionCall
py_boolean_dry_hot3,ComparisonOperator,NotEqual
py_boolean_dry_hot4,Call,FunctionCall
py_str_repeat_chars,IterationStatement,WhileStatement
py_input_stat2,BuiltInFunction,tuple()
py_input_stat2,BuiltInFunction,round()
py_score_dict2,ArtithmeticOperator,//
py_score_dict2,ArtithmeticOperator,-
py_score_dict2,ArtithmeticOperator,**
py_score_dict2,ArtithmeticOperator,Modulus
py_score_dict2,ArtithmeticOperator,*
bjects_classes_loan,Call,FunctionCall
bjects_classes_loan,BuiltInFunction,tuple()
bjects_classes_loan,BuiltInFunction,len()
bjects_classes_loan,BuiltInFunction,print()
py_loan2,Call,FunctionCall
py_loan2,Literal,BooleanLiteral
py_loan2,Literal,NoneLiteral
py_loan2,BuiltInFunction,print()
objects_classes_point,Call,FunctionCall
objects_classes_point,BuiltInFunction,str()
objects_classes_point,BuiltInFunction,max()
objects_classes_point,BuiltInFunction,range()
objects_classes_point,BuiltInFunction,tuple()
objects_classes_point,BuiltInFunction,abs()
objects_classes_point,BuiltInFunction,round()
objects_classes_point,BuiltInFunction,len()
objects_classes_point,BuiltInFunction,min()
objects_classes_point,BuiltInFunction,print()
py_point2,ArtithmeticOperator,-
py_char_dict,BuiltInFunction,round()
ae_adl_simple_arithmetics,ArtithmeticOperator,/
ae_adl_swap,Call,FunctionCall
ae_adl_swap,NumericLiteral,FloatLiteral
ae_adl_swap,BuiltInFunction,print()
ae_adl_logic,ArtithmeticOperator,*
ae_adl_greet,MembershipOperator,in
ae_adl_greet,LogicalOperator,or
ae_adl_greet,ArtithmeticOperator,//
ae_adl_greet,ArtithmeticOperator,**
ae_adl_greet,ArtithmeticOperator,Modulus
ae_adl_input1,Call,FunctionCall
py_time_conversion,Call,FunctionCall
py_time_conversion,ArtithmeticOperator,/
py_time_conversion,BuiltInFunction,print()
py_display_time2,ArtithmeticOperator,/
py_pythagorean_theorem2,ArtithmeticOperator,*
py_f_to_c_conversion,Call,FunctionCall
py_vending_machine,Call,FunctionCall
py_vending_machine,BuiltInFunction,dict()
py_vending_machine2,ArtithmeticOperator,+
py_vending_machine2,ArtithmeticOperator,/
py_vending_machine2,ArtithmeticOperator,**
py_nested_if_temperature,Call,FunctionCall
py_nested_if_temperature,BuiltInFunction,print()
py_if_else_grade,Call,FunctionCall
py_if_else_grade,BuiltInFunction,print()
py_ifelseif_grade2,Call,FunctionCall
py_ifelseif_grade2,BuiltInFunction,print()
q_py_topic_exceptions:q_py_exceptions_addarr,JumpStatement,PassStatement
q_py_topic_exceptions:q_py_exceptions_addarr,JumpStatement,BreakStatement
q_py_topic_exceptions:q_py_exceptions_addarr,JumpStatement,ContinueStatement
q_py_topic_exceptions:q_py_exceptions_addarr,IterationStatement,WhileStatement
q_py_topic_functions:q_py_fun_car1,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_if_statement:q_py_nested_if_elif1,DictionaryMethod,keys()
q_py_topic_if_statement:q_py_nested_if_elif1,DictionaryMethod,get()
q_py_topic_if_statement:q_py_nested_if_elif1,ImportStatement,Import
q_py_topic_if_statement:q_py_nested_if_elif1,ImportStatement,ImportFrom
q_py_topic_if_statement:q_py_nested_if_elif1,ExceptionHandlingStatement,TryStatement
q_py_topic_if_statement:q_py_nested_if_elif1,ExceptionHandlingStatement,RaiseStatement
q_py_topic_if_statement:q_py_nested_if_elif1,ExceptionHandlingStatement,AssertStatement
q_py_topic_if_statement:q_py_nested_if_elif2,BuiltInFunction,print()
q_py_topic_lists:q_py_list_access1,Call,FunctionCall
q_py_topic_lists:q_py_list_access1,BuiltInFunction,print()
q_py_topic_logical_operators:q_py_account_logic1,IterationStatement,ForStatement
q_py_topic_loops:q_py_nested_while1,ClassMethod,__init()__
q_py_topic_loops:q_py_while_loop2,NumericLiteral,FloatLiteral
q_py_topic_output_formatting:q_py_output1,ArtithmeticOperator,Modulus
q_py_topic_output_formatting:q_py_output1,ConditionalStatement,IfElifElseStatement
q_py_topic_output_formatting:q_py_output3,Error,TypeError
q_py_topic_output_formatting:q_py_output3,Error,FileNotFoundError
q_py_topic_output_formatting:q_py_output3,DictionaryMethod,keys()
q_py_topic_output_formatting:q_py_output3,DictionaryMethod,get()
q_py_topic_output_formatting:q_py_output3,ListMethod,reverse()
q_py_topic_output_formatting:q_py_output3,ListMethod,insert()
q_py_topic_output_formatting:q_py_output3,ListMethod,remove()
q_py_topic_output_formatting:q_py_output3,ListMethod,append()
q_py_topic_output_formatting:q_py_output3,ListMethod,pop()
q_py_topic_output_formatting:q_py_output3,FileMethod,close()
q_py_topic_output_formatting:q_py_output3,LogicalOperator,or
q_py_topic_output_formatting:q_py_output3,ConditionalStatement,IfElifElseStatement
q_py_topic_output_formatting:q_py_output3,ConditionalStatement,IfElseStatement
q_py_topic_output_formatting:q_py_output3,ConditionalStatement,IfElifStatement
q_py_topic_output_formatting:q_py_output3,ImportStatement,Import
q_py_topic_output_formatting:q_py_output3,ImportStatement,ImportFrom
q_py_topic_output_formatting:q_py_output3,JumpStatement,PassStatement
q_py_topic_output_formatting:q_py_output3,JumpStatement,BreakStatement
q_py_topic_output_formatting:q_py_output3,JumpStatement,ContinueStatement
q_py_topic_output_formatting:q_py_output3,JumpStatement,ReturnStatement
q_py_topic_output_formatting:q_py_output3,IterationStatement,ForStatement
q_py_topic_output_formatting:q_py_output3,IterationStatement,WhileStatement
q_py_topic_output_formatting:q_py_output3,ExceptionHandlingStatement,TryStatement
q_py_topic_output_formatting:q_py_output3,ExceptionHandlingStatement,RaiseStatement
q_py_topic_output_formatting:q_py_output3,ExceptionHandlingStatement,AssertStatement
q_py_topic_output_formatting:q_py_output3,AssignmentStatement,SimpleAssignmentStatement
q_py_topic_output_formatting:q_py_output3,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_output_formatting:q_py_output4,BuiltInFunction,tuple()
q_py_topic_references:q_py_list_int_ref1,Call,FunctionCall
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,str()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,max()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,range()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,tuple()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,abs()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,round()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,len()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,min()
q_py_topic_references:q_py_list_int_ref1,BuiltInFunction,print()
ae_python_float,Call,FunctionCall
ae_python_while,Call,FunctionCall
ae_python_while,NumericLiteral,FloatLiteral
ae_python_split,StringMethod,lower()
ae_python_split,StringMethod,join()
ae_python_split,StringMethod,format()
ae_python_split,StringMethod,capitalize()
ae_python_split,StringMethod,rstrip()
ae_python_split,StringMethod,replace()
ae_python_split,DictionaryMethod,values()
ae_python_split,DictionaryMethod,items()
ae_python_split,ClassMethod,__init()__
ae_adl_vals_refs3,NumericLiteral,FloatLiteral
ae_adl_file1,BuiltInFunction,dict()
ae_adl_file2,BuiltInFunction,round()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Call,FunctionCall
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Operator,=
q_py_topic_two_dimensional_array:q_py_2d_arrays2,MembershipOperator,in
q_py_topic_two_dimensional_array:q_py_2d_arrays2,LogicalOperator,or
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,//
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,-
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,+
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,/
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,**
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,Modulus
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,*
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ConditionalStatement,IfElifStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,PassStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,BreakStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,ContinueStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,JumpStatement,ReturnStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,IterationStatement,ForStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,IterationStatement,WhileStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,AssignmentStatement,SimpleAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays2,DefinitionStatement,ClassDefinition
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,range()
q_py_topic_two_dimensional_array:q_py_2d_arrays2,BuiltInFunction,len()
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,StringLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,BooleanLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Literal,NoneLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,NumericLiteral,FloatLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,NumericLiteral,IntegerLiteral
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,OSError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,IndexError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,IOError
q_py_topic_two_dimensional_array:q_py_2d_arrays3,Error,ValueError
