exercise_name,parent,leaf_class
py_fail_course,Call,FunctionCall
py_fail_course,BuiltInFunction,print()
py_fail_course2,Call,FunctionCall
py_fail_course2,BuiltInFunction,print()
py_fail_course3,Call,FunctionCall
py_phone_age,Call,FunctionCall
py_phone_age,BuiltInFunction,str()
py_phone_age,BuiltInFunction,max()
py_phone_age,BuiltInFunction,range()
py_phone_age,BuiltInFunction,tuple()
py_phone_age,BuiltInFunction,abs()
py_phone_age,BuiltInFunction,round()
py_phone_age,BuiltInFunction,len()
py_phone_age,BuiltInFunction,min()
py_phone_age,BuiltInFunction,print()
py_phone_age2,Call,FunctionCall
py_phone_age2,BuiltInFunction,print()
py_rent_car,Call,FunctionCall
py_rent_car,BuiltInFunction,print()
py_rent_car2,Call,FunctionCall
py_rent_car2,BuiltInFunction,print()
py_rent_car3,Call,FunctionCall
py_rent_car3,BuiltInFunction,print()
py_check_age,BuiltInFunction,round()
py_three_boolean,Call,FunctionCall
py_three_boolean,BuiltInFunction,print()
py_three_boolean2,Call,FunctionCall
py_three_boolean2,ComparisonOperator,NotEqual
py_three_boolean3,Call,FunctionCall
py_three_boolean3,BuiltInFunction,dict()
py_boolean_dry_hot,Call,FunctionCall
py_boolean_dry_hot2,Call,FunctionCall
py_boolean_dry_hot2,BuiltInFunction,print()
py_boolean_dry_hot3,Call,FunctionCall
py_boolean_dry_hot3,BuiltInFunction,print()
py_boolean_dry_hot4,Call,FunctionCall
py_boolean_dry_hot4,ComparisonOperator,NotEqual
py_input_stat2,Call,FunctionCall
py_input_stat2,BuiltInFunction,round()
py_input_stat2,BuiltInFunction,len()
py_input_stat2,BuiltInFunction,print()
bjects_classes_loan,Call,FunctionCall
bjects_classes_loan,BuiltInFunction,str()
bjects_classes_loan,BuiltInFunction,max()
bjects_classes_loan,BuiltInFunction,range()
bjects_classes_loan,BuiltInFunction,tuple()
bjects_classes_loan,BuiltInFunction,abs()
bjects_classes_loan,BuiltInFunction,round()
bjects_classes_loan,BuiltInFunction,len()
bjects_classes_loan,BuiltInFunction,min()
bjects_classes_loan,BuiltInFunction,print()
py_loan2,Call,FunctionCall
py_loan2,BuiltInFunction,print()
py_tv2,ArtithmeticOperator,/
py_tv2,ArtithmeticOperator,*
py_point2,ArtithmeticOperator,-
objects_classes_account,ArtithmeticOperator,//
objects_classes_account,ArtithmeticOperator,/
objects_classes_account,ArtithmeticOperator,**
objects_classes_account,ArtithmeticOperator,Modulus
py_char_dict,Call,FunctionCall
py_char_dict,BuiltInFunction,str()
py_char_dict,BuiltInFunction,max()
py_char_dict,BuiltInFunction,range()
py_char_dict,BuiltInFunction,tuple()
py_char_dict,BuiltInFunction,abs()
py_char_dict,BuiltInFunction,round()
py_char_dict,BuiltInFunction,len()
py_char_dict,BuiltInFunction,min()
py_char_dict,BuiltInFunction,print()
ae_adl_simple_arithmetics,ArtithmeticOperator,/
ae_adl_swap,Call,FunctionCall
ae_adl_swap,BuiltInFunction,print()
ae_adl_logic,ArtithmeticOperator,*
ae_adl_input2,Call,FunctionCall
ae_adl_input2,BuiltInFunction,print()
ae_adl_dict1,BuiltInFunction,round()
py_time_conversion,Call,FunctionCall
py_time_conversion,ArtithmeticOperator,/
py_time_conversion,ArtithmeticOperator,Modulus
py_time_conversion,BuiltInFunction,dict()
py_time_conversion,BuiltInFunction,print()
py_display_time2,ArtithmeticOperator,/
py_pythagorean_theorem2,ArtithmeticOperator,*
py_f_to_c_conversion,Call,FunctionCall
py_vending_machine,Call,FunctionCall
py_vending_machine2,Error,OSError
py_vending_machine2,ArtithmeticOperator,+
py_vending_machine2,ArtithmeticOperator,/
py_vending_machine2,ArtithmeticOperator,**
py_vending_machine2,ArtithmeticOperator,Modulus
py_nested_if_min_max,BuiltInFunction,dict()
py_nested_if_max_of_three,BuiltInFunction,dict()
py_if_else_grade,Call,FunctionCall
py_if_else_grade,BuiltInFunction,print()
py_ifelseif_grade2,Call,FunctionCall
py_ifelseif_grade2,BuiltInFunction,print()
q_py_topic_dictionary:q_py_dict_access1,ConditionalStatement,IfElifStatement
q_py_topic_dictionary:q_py_dict_access1,JumpStatement,PassStatement
q_py_topic_dictionary:q_py_dict_access1,JumpStatement,BreakStatement
q_py_topic_dictionary:q_py_dict_access1,JumpStatement,ContinueStatement
q_py_topic_dictionary:q_py_dict_access1,JumpStatement,ReturnStatement
q_py_topic_dictionary:q_py_dict_access1,IterationStatement,ForStatement
q_py_topic_dictionary:q_py_dict_access1,IterationStatement,WhileStatement
q_py_topic_dictionary:q_py_dict_access1,AssignmentStatement,SimpleAssignmentStatement
q_py_topic_dictionary:q_py_dict_access1,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_dictionary:q_py_dict_access1,DefinitionStatement,ClassDefinition
q_py_topic_exceptions:q_py_exceptions_addarr,ArtithmeticOperator,/
q_py_topic_exceptions:q_py_exceptions_addarr,JumpStatement,PassStatement
q_py_topic_exceptions:q_py_exceptions_addarr,JumpStatement,BreakStatement
q_py_topic_exceptions:q_py_exceptions_addarr,JumpStatement,ContinueStatement
q_py_topic_exceptions:q_py_exceptions_addarr,IterationStatement,WhileStatement
q_py_topic_functions:q_py_fun_car2,Literal,StringLiteral
q_py_topic_functions:q_py_fun_car2,Literal,BooleanLiteral
q_py_topic_functions:q_py_fun_car2,Literal,NoneLiteral
q_py_topic_functions:q_py_fun_car2,NumericLiteral,FloatLiteral
q_py_topic_functions:q_py_fun_car2,NumericLiteral,IntegerLiteral
q_py_topic_functions:q_py_fun_car2,Error,OSError
q_py_topic_functions:q_py_fun_car2,Error,IndexError
q_py_topic_functions:q_py_fun_car2,Error,IOError
q_py_topic_functions:q_py_fun_car2,Error,ValueError
q_py_topic_functions:q_py_fun_car2,Error,AssertionError
q_py_topic_logical_operators:q_py_comparison_logic1,Call,FunctionCall
q_py_topic_logical_operators:q_py_comparison_logic1,ArtithmeticOperator,**
q_py_topic_logical_operators:q_py_comparison_logic1,IterationStatement,ForStatement
q_py_topic_logical_operators:q_py_comparison_logic1,DefinitionStatement,FunctionDefinition
q_py_topic_loops:q_py_nested_while1,ClassMethod,__init()__
q_py_topic_loops:q_py_while_loop1,ComparisonOperator,LessOrEqual
q_py_topic_loops:q_py_while_loop1,ComparisonOperator,Less
q_py_topic_loops:q_py_while_loop1,ComparisonOperator,Larger
q_py_topic_loops:q_py_while_loop1,ComparisonOperator,LargerOrEqual
q_py_topic_loops:q_py_while_loop1,ComparisonOperator,==
q_py_topic_loops:q_py_while_loop1,ComparisonOperator,NotEqual
q_py_topic_loops:q_py_while_loop1,Statement,ExpressionStatement
q_py_topic_loops:q_py_while_loop1,DefinitionStatement,FunctionDefinition
q_py_topic_output_formatting:q_py_output1,ClassMethod,__init()__
q_py_topic_output_formatting:q_py_output1,LogicalOperator,or
q_py_topic_output_formatting:q_py_output2,ClassMethod,__init()__
q_py_topic_output_formatting:q_py_output3,SubscriptExpression,IndexingExpression
q_py_topic_output_formatting:q_py_output3,SubscriptExpression,SlicingExpression
q_py_topic_output_formatting:q_py_output3,LogicalExpression,ComparisonExpression
q_py_topic_output_formatting:q_py_output3,LogicalExpression,BooleanExpression
q_py_topic_output_formatting:q_py_output3,DictionaryMethod,keys()
q_py_topic_output_formatting:q_py_output3,DictionaryMethod,get()
q_py_topic_output_formatting:q_py_output3,ListMethod,reverse()
q_py_topic_output_formatting:q_py_output3,ConditionalStatement,IfElifElseStatement
q_py_topic_output_formatting:q_py_output3,ConditionalStatement,IfElseStatement
q_py_topic_output_formatting:q_py_output3,ImportStatement,Import
q_py_topic_output_formatting:q_py_output3,ImportStatement,ImportFrom
q_py_topic_output_formatting:q_py_output3,ExceptionHandlingStatement,TryStatement
q_py_topic_output_formatting:q_py_output3,ExceptionHandlingStatement,RaiseStatement
q_py_topic_output_formatting:q_py_output3,ExceptionHandlingStatement,AssertStatement
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,input()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,set()
q_py_topic_output_formatting:q_py_output3,BuiltInFunction,open()
q_py_topic_output_formatting:q_py_output4,ClassMethod,__init()__
q_py_topic_output_formatting:q_py_output4,MembershipOperator,in
ae_python_assignment,NumericLiteral,FloatLiteral
ae_python_float,Call,FunctionCall
ae_python_while,Call,FunctionCall
ae_python_split,StringMethod,lower()
ae_python_split,StringMethod,join()
ae_python_split,StringMethod,format()
ae_python_split,StringMethod,capitalize()
ae_python_split,StringMethod,rstrip()
ae_python_split,StringMethod,replace()
ae_python_split,DictionaryMethod,values()
ae_python_split,DictionaryMethod,items()
ae_python_split,ClassMethod,__init()__
ae_python_split,BuiltInFunction,str()
ae_python_split,BuiltInFunction,max()
ae_python_split,BuiltInFunction,range()
ae_python_split,BuiltInFunction,tuple()
ae_python_split,BuiltInFunction,abs()
ae_python_split,BuiltInFunction,round()
ae_python_split,BuiltInFunction,min()
ae_adl_file2,BuiltInFunction,tuple()
ae_adl_file2,BuiltInFunction,round()
q_py_topic_two_dimensional_array:q_py_2d_arrays1,ConditionalStatement,IfElifStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,JumpStatement,PassStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,JumpStatement,BreakStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,JumpStatement,ContinueStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,JumpStatement,ReturnStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,IterationStatement,ForStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,IterationStatement,WhileStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,AssignmentStatement,SimpleAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,AssignmentStatement,AugmentedAssignmentStatement
q_py_topic_two_dimensional_array:q_py_2d_arrays1,DefinitionStatement,ClassDefinition
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Call,FunctionCall
q_py_topic_two_dimensional_array:q_py_2d_arrays2,Operator,=
q_py_topic_two_dimensional_array:q_py_2d_arrays2,MembershipOperator,in
q_py_topic_two_dimensional_array:q_py_2d_arrays2,LogicalOperator,or
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,//
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,-
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,+
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,/
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,**
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,Modulus
q_py_topic_two_dimensional_array:q_py_2d_arrays2,ArtithmeticOperator,*
