exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,15,13,13,2,0,0.8667,1.0000,0.9286,0.8667,0.0000
ae_adl_comparison,16,9,9,7,0,0.5625,1.0000,0.7200,0.5625,0.0000
ae_adl_dict1,17,14,12,5,2,0.7059,0.8571,0.7742,0.6316,0.0000
ae_adl_dict2,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_dict3,22,19,17,5,2,0.7727,0.8947,0.8293,0.7083,0.0000
ae_adl_file1,17,15,15,2,0,0.8824,1.0000,0.9375,0.8824,0.0000
ae_adl_file2,22,16,16,6,0,0.7273,1.0000,0.8421,0.7273,0.0000
ae_adl_findmax,18,14,14,4,0,0.7778,1.0000,0.8750,0.7778,0.0000
ae_adl_for,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_format1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_format2,10,8,8,2,0,0.8000,1.0000,0.8889,0.8000,0.0000
ae_adl_functions1,7,5,5,2,0,0.7143,1.0000,0.8333,0.7143,0.0000
ae_adl_functions2,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
ae_adl_functions3,14,14,13,1,1,0.9286,0.9286,0.9286,0.8667,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,15,11,11,4,0,0.7333,1.0000,0.8462,0.7333,0.0000
ae_adl_hiscore2,14,11,11,3,0,0.7857,1.0000,0.8800,0.7857,0.0000
ae_adl_ifelifelse,13,11,11,2,0,0.8462,1.0000,0.9167,0.8462,0.0000
ae_adl_ifelse,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_input1,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_input2,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ae_adl_lists1,13,11,11,2,0,0.8462,1.0000,0.9167,0.8462,0.0000
ae_adl_lists2,11,10,10,1,0,0.9091,1.0000,0.9524,0.9091,0.0000
ae_adl_lists3,17,15,15,2,0,0.8824,1.0000,0.9375,0.8824,0.0000
ae_adl_logic,15,12,11,4,1,0.7333,0.9167,0.8148,0.6875,0.0000
ae_adl_nested_if,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_objects1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_objects2,22,18,18,4,0,0.8182,1.0000,0.9000,0.8182,0.0000
ae_adl_objects3,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
ae_adl_recursion,17,13,13,4,0,0.7647,1.0000,0.8667,0.7647,0.0000
ae_adl_returnvalue,15,14,14,1,0,0.9333,1.0000,0.9655,0.9333,0.0000
ae_adl_simple_arithmetics,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_strings,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ae_adl_swap,5,7,5,0,2,1.0000,0.7143,0.8333,0.7143,0.0000
ae_adl_tryexcept1,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_tryexcept2,15,15,14,1,1,0.9333,0.9333,0.9333,0.8750,0.0000
ae_adl_vals_refs1,10,8,8,2,0,0.8000,1.0000,0.8889,0.8000,0.0000
ae_adl_vals_refs2,11,10,9,2,1,0.8182,0.9000,0.8571,0.7500,0.0000
ae_adl_vals_refs3,12,10,10,2,0,0.8333,1.0000,0.9091,0.8333,0.0000
ae_adl_variables,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ae_adl_while,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_assignment,6,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_class1,8,6,6,2,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_python_class2,22,19,18,4,1,0.8182,0.9474,0.8780,0.7826,0.0000
ae_python_file,23,19,18,5,1,0.7826,0.9474,0.8571,0.7500,0.0000
ae_python_float,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
ae_python_for,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ae_python_function,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
ae_python_if,15,9,8,7,1,0.5333,0.8889,0.6667,0.5000,0.0000
ae_python_input,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_intro,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_list,25,19,18,7,1,0.7200,0.9474,0.8182,0.6923,0.0000
ae_python_split,24,20,20,4,0,0.8333,1.0000,0.9091,0.8333,0.0000
ae_python_while,18,16,15,3,1,0.8333,0.9375,0.8824,0.7895,0.0000
bjects_classes_loan,20,0,0,20,0,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_account,27,23,22,5,1,0.8148,0.9565,0.8800,0.7857,0.0000
objects_classes_loan,0,20,0,0,20,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,12,14,12,0,2,1.0000,0.8571,0.9231,0.8571,0.0000
objects_classes_tv,0,25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_2d_list,17,14,14,3,0,0.8235,1.0000,0.9032,0.8235,0.0000
ps_python_add_to_list,15,12,11,4,1,0.7333,0.9167,0.8148,0.6875,0.0000
ps_python_addition,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_bigger_than,9,7,7,2,0,0.7778,1.0000,0.8750,0.7778,0.0000
ps_python_calculate_function,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ps_python_class_person,10,12,9,1,3,0.9000,0.7500,0.8182,0.6923,0.0000
ps_python_class_point,14,13,11,3,2,0.7857,0.8462,0.8148,0.6875,0.0000
ps_python_comparisons,10,8,8,2,0,0.8000,1.0000,0.8889,0.8000,0.0000
ps_python_conditionals_temperature,16,11,11,5,0,0.6875,1.0000,0.8148,0.6875,0.0000
ps_python_dict_filter,20,13,13,7,0,0.6500,1.0000,0.7879,0.6500,0.0000
ps_python_dict_keys,17,12,11,6,1,0.6471,0.9167,0.7586,0.6111,0.0000
ps_python_dict_values,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ps_python_for_odd_or_even,18,12,11,7,1,0.6111,0.9167,0.7333,0.5789,0.0000
ps_python_iteration_addition,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_iteration_multiplication,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_list_iteration_zoo,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ps_python_list_to_dict,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_modulo_is_even,14,9,8,6,1,0.5714,0.8889,0.6957,0.5333,0.0000
ps_python_nested_calls,11,9,9,2,0,0.8182,1.0000,0.9000,0.8182,0.0000
ps_python_nested_ifs,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ps_python_nested_lists_indexing,11,8,8,3,0,0.7273,1.0000,0.8421,0.7273,0.0000
ps_python_nested_loops,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
ps_python_printing_file_contents,14,14,14,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_recursive_factorial,17,10,10,7,0,0.5882,1.0000,0.7407,0.5882,0.0000
ps_python_string_indexing,10,8,7,3,1,0.7000,0.8750,0.7778,0.6364,0.0000
ps_python_string_join,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
ps_python_swap,4,4,3,1,1,0.7500,0.7500,0.7500,0.6000,0.0000
ps_python_try_adding,11,10,9,2,1,0.8182,0.9000,0.8571,0.7500,0.0000
ps_python_try_except,20,16,16,4,0,0.8000,1.0000,0.8889,0.8000,0.0000
ps_python_xor,13,10,9,4,1,0.6923,0.9000,0.7826,0.6429,0.0000
ps_return_bigger_or_none,13,9,9,4,0,0.6923,1.0000,0.8182,0.6923,0.0000
ps_simple_function,6,5,5,1,0,0.8333,1.0000,0.9091,0.8333,0.0000
ps_simple_params,10,8,8,2,0,0.8000,1.0000,0.8889,0.8000,0.0000
py_account2,29,24,23,6,1,0.7931,0.9583,0.8679,0.7667,0.0000
py_adjacent_consecutive,17,18,15,2,3,0.8824,0.8333,0.8571,0.7500,0.0000
py_adjacent_greater,15,17,12,3,5,0.8000,0.7059,0.7500,0.6000,0.0000
py_average_even_nums,23,20,20,3,0,0.8696,1.0000,0.9302,0.8696,0.0000
py_average_float,22,20,18,4,2,0.8182,0.9000,0.8571,0.7500,0.0000
py_average_list_elements,26,18,18,8,0,0.6923,1.0000,0.8182,0.6923,0.0000
py_bmi_calculator,13,13,13,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_bmi_calculator2,13,14,12,1,2,0.9231,0.8571,0.8889,0.8000,0.0000
py_boolean_dry_hot,18,16,14,4,2,0.7778,0.8750,0.8235,0.7000,0.0000
py_boolean_dry_hot2,16,16,12,4,4,0.7500,0.7500,0.7500,0.6000,0.0000
py_boolean_dry_hot3,19,18,15,4,3,0.7895,0.8333,0.8108,0.6818,0.0000
py_boolean_dry_hot4,20,18,16,4,2,0.8000,0.8889,0.8421,0.7273,0.0000
py_char_dict,23,18,15,8,3,0.6522,0.8333,0.7317,0.5769,0.0000
py_check_adjacent,17,16,14,3,2,0.8235,0.8750,0.8485,0.7368,0.0000
py_check_age,27,23,22,5,1,0.8148,0.9565,0.8800,0.7857,0.0000
py_check_age2,30,25,25,5,0,0.8333,1.0000,0.9091,0.8333,0.0000
py_check_product_code,24,20,20,4,0,0.8333,1.0000,0.9091,0.8333,0.0000
py_check_product_code2,30,26,25,5,1,0.8333,0.9615,0.8929,0.8065,0.0000
py_concat_char_two_str,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
py_concat_char_two_str2,13,11,11,2,0,0.8462,1.0000,0.9167,0.8462,0.0000
py_concat_str_num,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_concat_str_num2,13,11,11,2,0,0.8462,1.0000,0.9167,0.8462,0.0000
py_concat_string_num3,13,10,10,3,0,0.7692,1.0000,0.8696,0.7692,0.0000
py_digits,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
py_display_time2,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
py_divisor,15,12,12,3,0,0.8000,1.0000,0.8889,0.8000,0.0000
py_f_to_c_conversion,14,13,12,2,1,0.8571,0.9231,0.8889,0.8000,0.0000
py_fahrenheit_to_celsius,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
py_fail_course,18,17,14,4,3,0.7778,0.8235,0.8000,0.6667,0.0000
py_fail_course2,18,17,14,4,3,0.7778,0.8235,0.8000,0.6667,0.0000
py_fail_course3,19,16,14,5,2,0.7368,0.8750,0.8000,0.6667,0.0000
py_file_input_stat,27,23,23,4,0,0.8519,1.0000,0.9200,0.8519,0.0000
py_find_average,20,18,16,4,2,0.8000,0.8889,0.8421,0.7273,0.0000
py_first_char_words_dict,27,20,19,8,1,0.7037,0.9500,0.8085,0.6786,0.0000
py_if_else_grade,15,12,10,5,2,0.6667,0.8333,0.7407,0.5882,0.0000
py_if_else_num,18,14,13,5,1,0.7222,0.9286,0.8125,0.6842,0.0000
py_if_else_wage,21,17,16,5,1,0.7619,0.9412,0.8421,0.7273,0.0000
py_if_else_wage2,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
py_ifelse_odd_even,18,14,14,4,0,0.7778,1.0000,0.8750,0.7778,0.0000
py_ifelseif_grade2,14,11,9,5,2,0.6429,0.8182,0.7200,0.5625,0.0000
py_input,12,13,11,1,2,0.9167,0.8462,0.8800,0.7857,0.0000
py_input2,16,16,14,2,2,0.8750,0.8750,0.8750,0.7778,0.0000
py_input3,15,16,13,2,3,0.8667,0.8125,0.8387,0.7222,0.0000
py_input4,15,17,13,2,4,0.8667,0.7647,0.8125,0.6842,0.0000
py_input_stat2,28,30,24,4,6,0.8571,0.8000,0.8276,0.7059,0.0000
py_largest_divisor,18,14,14,4,0,0.7778,1.0000,0.8750,0.7778,0.0000
py_list2d_basic,9,9,8,1,1,0.8889,0.8889,0.8889,0.8000,0.0000
py_list2d_basic2,11,8,8,3,0,0.7273,1.0000,0.8421,0.7273,0.0000
py_list2d_basic3,9,8,8,1,0,0.8889,1.0000,0.9412,0.8889,0.0000
py_list_basic,11,8,8,3,0,0.7273,1.0000,0.8421,0.7273,0.0000
py_list_basic2,12,8,8,4,0,0.6667,1.0000,0.8000,0.6667,0.0000
py_list_basic3,11,8,8,3,0,0.7273,1.0000,0.8421,0.7273,0.0000
py_list_change,15,14,13,2,1,0.8667,0.9286,0.8966,0.8125,0.0000
py_list_fill,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
py_list_fill_user_input,13,10,10,3,0,0.7692,1.0000,0.8696,0.7692,0.0000
py_list_min,14,15,11,3,4,0.7857,0.7333,0.7586,0.6111,0.0000
py_list_min_max,18,16,16,2,0,0.8889,1.0000,0.9412,0.8889,0.0000
py_list_process_elements,17,13,13,4,0,0.7647,1.0000,0.8667,0.7647,0.0000
py_list_rotate,19,16,16,3,0,0.8421,1.0000,0.9143,0.8421,0.0000
py_list_rotate_left_twice,20,16,16,4,0,0.8000,1.0000,0.8889,0.8000,0.0000
py_list_rotate_right,19,16,16,3,0,0.8421,1.0000,0.9143,0.8421,0.0000
py_list_rotate_right_twice,19,16,15,4,1,0.7895,0.9375,0.8571,0.7500,0.0000
py_list_swap_adjacent_elements,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
py_loan2,20,18,16,4,2,0.8000,0.8889,0.8421,0.7273,0.0000
py_nested_if_max_of_three,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
py_nested_if_min_max,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
py_nested_if_temperature,18,13,13,5,0,0.7222,1.0000,0.8387,0.7222,0.0000
py_nested_if_temperature2,18,14,14,4,0,0.7778,1.0000,0.8750,0.7778,0.0000
py_phone_age,18,16,13,5,3,0.7222,0.8125,0.7647,0.6190,0.0000
py_phone_age2,18,18,15,3,3,0.8333,0.8333,0.8333,0.7143,0.0000
py_point2,17,15,14,3,1,0.8235,0.9333,0.8750,0.7778,0.0000
py_print_medals,19,16,16,3,0,0.8421,1.0000,0.9143,0.8421,0.0000
py_print_medals_row_column_total,20,17,17,3,0,0.8500,1.0000,0.9189,0.8500,0.0000
py_pythagorean_theorem,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
py_pythagorean_theorem2,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
