exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
ae_adl_comparison,16,9,9,7,0,0.5625,1.0000,0.7200,0.5625,0.0000
ae_adl_dict1,21,14,14,7,0,0.6667,1.0000,0.8000,0.6667,0.0000
ae_adl_dict2,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_dict3,22,19,17,5,2,0.7727,0.8947,0.8293,0.7083,0.0000
ae_adl_file1,17,15,15,2,0,0.8824,1.0000,0.9375,0.8824,0.0000
ae_adl_file2,25,16,15,10,1,0.6000,0.9375,0.7317,0.5769,0.0000
ae_adl_findmax,19,14,14,5,0,0.7368,1.0000,0.8485,0.7368,0.0000
ae_adl_for,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_format1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_format2,10,8,8,2,0,0.8000,1.0000,0.8889,0.8000,0.0000
ae_adl_functions1,7,5,5,2,0,0.7143,1.0000,0.8333,0.7143,0.0000
ae_adl_functions2,14,12,12,2,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_functions3,15,14,13,2,1,0.8667,0.9286,0.8966,0.8125,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,15,11,11,4,0,0.7333,1.0000,0.8462,0.7333,0.0000
ae_adl_hiscore2,14,11,11,3,0,0.7857,1.0000,0.8800,0.7857,0.0000
ae_adl_ifelifelse,14,11,11,3,0,0.7857,1.0000,0.8800,0.7857,0.0000
ae_adl_ifelse,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_input1,13,11,10,3,1,0.7692,0.9091,0.8333,0.7143,0.0000
ae_adl_input2,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
ae_adl_lists1,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_lists2,12,10,10,2,0,0.8333,1.0000,0.9091,0.8333,0.0000
ae_adl_lists3,17,15,15,2,0,0.8824,1.0000,0.9375,0.8824,0.0000
ae_adl_logic,14,12,11,3,1,0.7857,0.9167,0.8462,0.7333,0.0000
ae_adl_nested_if,16,12,12,4,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_objects1,8,6,6,2,0,0.7500,1.0000,0.8571,0.7500,0.0000
ae_adl_objects2,21,18,18,3,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_objects3,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
ae_adl_recursion,17,13,13,4,0,0.7647,1.0000,0.8667,0.7647,0.0000
ae_adl_returnvalue,15,14,14,1,0,0.9333,1.0000,0.9655,0.9333,0.0000
ae_adl_simple_arithmetics,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_strings,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ae_adl_swap,8,7,7,1,0,0.8750,1.0000,0.9333,0.8750,0.0000
