exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,12,13,12,0,1,1.0000,0.9231,0.9600,0.9231,0.0000
ae_adl_comparison,14,9,9,5,0,0.6429,1.0000,0.7826,0.6429,0.0000
ae_adl_dict1,14,14,12,2,2,0.8571,0.8571,0.8571,0.7500,0.0000
ae_adl_dict2,13,12,11,2,1,0.8462,0.9167,0.8800,0.7857,0.0000
ae_adl_dict3,20,19,16,4,3,0.8000,0.8421,0.8205,0.6957,0.0000
ae_adl_file1,17,15,15,2,0,0.8824,1.0000,0.9375,0.8824,0.0000
ae_adl_file2,18,16,15,3,1,0.8333,0.9375,0.8824,0.7895,0.0000
ae_adl_findmax,14,14,11,3,3,0.7857,0.7857,0.7857,0.6471,0.0000
ae_adl_for,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_format1,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_format2,6,8,6,0,2,1.0000,0.7500,0.8571,0.7500,0.0000
ae_adl_functions1,5,5,4,1,1,0.8000,0.8000,0.8000,0.6667,0.0000
ae_adl_functions2,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
ae_adl_functions3,12,14,11,1,3,0.9167,0.7857,0.8462,0.7333,0.0000
ae_adl_greet,6,7,6,0,1,1.0000,0.8571,0.9231,0.8571,0.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,13,11,10,3,1,0.7692,0.9091,0.8333,0.7143,0.0000
ae_adl_hiscore2,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
ae_adl_ifelifelse,9,11,8,1,3,0.8889,0.7273,0.8000,0.6667,0.0000
ae_adl_ifelse,13,12,10,3,2,0.7692,0.8333,0.8000,0.6667,0.0000
ae_adl_input1,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ae_adl_input2,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_lists1,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_lists2,8,10,7,1,3,0.8750,0.7000,0.7778,0.6364,0.0000
ae_adl_lists3,14,15,13,1,2,0.9286,0.8667,0.8966,0.8125,0.0000
ae_adl_logic,14,12,11,3,1,0.7857,0.9167,0.8462,0.7333,0.0000
ae_adl_nested_if,12,12,10,2,2,0.8333,0.8333,0.8333,0.7143,0.0000
ae_adl_objects1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_objects2,22,18,18,4,0,0.8182,1.0000,0.9000,0.8182,0.0000
ae_adl_objects3,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
ae_adl_recursion,16,13,12,4,1,0.7500,0.9231,0.8276,0.7059,0.0000
ae_adl_returnvalue,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_simple_arithmetics,8,10,8,0,2,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_strings,7,9,7,0,2,1.0000,0.7778,0.8750,0.7778,0.0000
ae_adl_swap,3,7,3,0,4,1.0000,0.4286,0.6000,0.4286,0.0000
ae_adl_tryexcept1,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
