exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ae_adl_comparison,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_dict1,14,15,10,4,5,0.7143,0.6667,0.6897,0.5263,0.0000
ae_adl_dict2,10,13,6,4,7,0.6000,0.4615,0.5217,0.3529,0.0000
ae_adl_dict3,12,16,9,3,7,0.7500,0.5625,0.6429,0.4737,0.0000
ae_adl_file1,12,15,9,3,6,0.7500,0.6000,0.6667,0.5000,0.0000
ae_adl_file2,12,14,9,3,5,0.7500,0.6429,0.6923,0.5294,0.0000
ae_adl_findmax,9,10,7,2,3,0.7778,0.7000,0.7368,0.5833,0.0000
ae_adl_for,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_format1,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
ae_adl_format2,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
ae_adl_functions1,4,4,1,3,3,0.2500,0.2500,0.2500,0.1429,0.0000
ae_adl_functions2,5,8,3,2,5,0.6000,0.3750,0.4615,0.3000,0.0000
ae_adl_functions3,6,9,4,2,5,0.6667,0.4444,0.5333,0.3636,0.0000
ae_adl_greet,4,5,2,2,3,0.5000,0.4000,0.4444,0.2857,0.0000
ae_adl_hello,2,3,1,1,2,0.5000,0.3333,0.4000,0.2500,0.0000
ae_adl_hiscore1,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_hiscore2,6,6,3,3,3,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_ifelifelse,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
ae_adl_ifelse,6,7,4,2,3,0.6667,0.5714,0.6154,0.4444,0.0000
ae_adl_input1,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
ae_adl_input2,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ae_adl_lists1,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ae_adl_lists2,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_lists3,12,12,7,5,5,0.5833,0.5833,0.5833,0.4118,0.0000
ae_adl_logic,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ae_adl_nested_if,5,7,4,1,3,0.8000,0.5714,0.6667,0.5000,0.0000
ae_adl_objects1,4,5,1,3,4,0.2500,0.2000,0.2222,0.1250,0.0000
ae_adl_objects2,13,12,8,5,4,0.6154,0.6667,0.6400,0.4706,0.0000
ae_adl_objects3,15,15,9,6,6,0.6000,0.6000,0.6000,0.4286,0.0000
ae_adl_recursion,7,10,5,2,5,0.7143,0.5000,0.5882,0.4167,0.0000
ae_adl_returnvalue,10,11,5,5,6,0.5000,0.4545,0.4762,0.3125,0.0000
ae_adl_simple_arithmetics,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_strings,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ae_adl_swap,4,5,1,3,4,0.2500,0.2000,0.2222,0.1250,0.0000
ae_adl_tryexcept1,6,7,4,2,3,0.6667,0.5714,0.6154,0.4444,0.0000
ae_adl_tryexcept2,7,11,5,2,6,0.7143,0.4545,0.5556,0.3846,0.0000
ae_adl_vals_refs1,5,7,1,4,6,0.2000,0.1429,0.1667,0.0909,0.0000
ae_adl_vals_refs2,10,8,4,6,4,0.4000,0.5000,0.4444,0.2857,0.0000
ae_adl_vals_refs3,4,9,2,2,7,0.5000,0.2222,0.3077,0.1818,0.0000
ae_adl_variables,5,6,2,3,4,0.4000,0.3333,0.3636,0.2222,0.0000
ae_adl_while,8,9,5,3,4,0.6250,0.5556,0.5882,0.4167,0.0000
ae_python_assignment,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ae_python_class1,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ae_python_class2,11,12,6,5,6,0.5455,0.5000,0.5217,0.3529,0.0000
ae_python_file,16,15,11,5,4,0.6875,0.7333,0.7097,0.5500,0.0000
ae_python_float,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ae_python_for,3,5,2,1,3,0.6667,0.4000,0.5000,0.3333,0.0000
ae_python_function,3,10,1,2,9,0.3333,0.1000,0.1538,0.0833,0.0000
ae_python_if,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ae_python_input,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ae_python_intro,4,3,2,2,1,0.5000,0.6667,0.5714,0.4000,0.0000
ae_python_list,17,15,10,7,5,0.5882,0.6667,0.6250,0.4545,0.0000
ae_python_split,18,18,11,7,7,0.6111,0.6111,0.6111,0.4400,0.0000
ae_python_while,10,13,7,3,6,0.7000,0.5385,0.6087,0.4375,0.0000
objects_classes_account,14,15,9,5,6,0.6429,0.6000,0.6207,0.4500,0.0000
objects_classes_loan,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,10,13,3,7,10,0.3000,0.2308,0.2609,0.1500,0.0000
objects_classes_tv,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,2,2,1,1,1,0.5000,0.5000,0.5000,0.3333,0.0000
ps_python_2d_list,15,14,7,8,7,0.4667,0.5000,0.4828,0.3182,0.0000
ps_python_add_to_list,11,8,4,7,4,0.3636,0.5000,0.4211,0.2667,0.0000
ps_python_addition,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
ps_python_bigger_than,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_calculate_function,6,8,3,3,5,0.5000,0.3750,0.4286,0.2727,0.0000
ps_python_class_person,6,9,4,2,5,0.6667,0.4444,0.5333,0.3636,0.0000
ps_python_class_point,6,8,3,3,5,0.5000,0.3750,0.4286,0.2727,0.0000
ps_python_comparisons,4,4,2,2,2,0.5000,0.5000,0.5000,0.3333,0.0000
ps_python_conditionals_temperature,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_dict_filter,10,11,8,2,3,0.8000,0.7273,0.7619,0.6154,0.0000
ps_python_dict_keys,8,9,7,1,2,0.8750,0.7778,0.8235,0.7000,0.0000
ps_python_dict_values,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_for_odd_or_even,6,6,5,1,1,0.8333,0.8333,0.8333,0.7143,0.0000
ps_python_iteration_addition,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ps_python_iteration_multiplication,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_list_iteration_zoo,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ps_python_list_to_dict,5,8,3,2,5,0.6000,0.3750,0.4615,0.3000,0.0000
ps_python_modulo_is_even,4,4,3,1,1,0.7500,0.7500,0.7500,0.6000,0.0000
ps_python_nested_calls,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ps_python_nested_ifs,6,5,4,2,1,0.6667,0.8000,0.7273,0.5714,0.0000
ps_python_nested_lists_indexing,8,6,3,5,3,0.3750,0.5000,0.4286,0.2727,0.0000
ps_python_nested_loops,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_printing_file_contents,8,9,6,2,3,0.7500,0.6667,0.7059,0.5455,0.0000
ps_python_recursive_factorial,2,6,2,0,4,1.0000,0.3333,0.5000,0.3333,0.0000
ps_python_string_indexing,5,6,3,2,3,0.6000,0.5000,0.5455,0.3750,0.0000
ps_python_string_join,4,7,2,2,5,0.5000,0.2857,0.3636,0.2222,0.0000
ps_python_swap,2,2,0,2,2,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_try_adding,4,5,3,1,2,0.7500,0.6000,0.6667,0.5000,0.0000
ps_python_try_except,4,9,3,1,6,0.7500,0.3333,0.4615,0.3000,0.0000
ps_python_xor,5,4,3,2,1,0.6000,0.7500,0.6667,0.5000,0.0000
ps_return_bigger_or_none,3,3,1,2,2,0.3333,0.3333,0.3333,0.2000,0.0000
ps_simple_function,2,4,1,1,3,0.5000,0.2500,0.3333,0.2000,0.0000
ps_simple_params,3,6,2,1,4,0.6667,0.3333,0.4444,0.2857,0.0000
py_account2,10,14,5,5,9,0.5000,0.3571,0.4167,0.2632,0.0000
py_adjacent_consecutive,11,9,7,4,2,0.6364,0.7778,0.7000,0.5385,0.0000
py_adjacent_greater,10,10,6,4,4,0.6000,0.6000,0.6000,0.4286,0.0000
py_average_even_nums,14,12,10,4,2,0.7143,0.8333,0.7692,0.6250,0.0000
py_average_float,12,13,9,3,4,0.7500,0.6923,0.7200,0.5625,0.0000
py_average_list_elements,13,14,9,4,5,0.6923,0.6429,0.6667,0.5000,0.0000
py_bmi_calculator,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_bmi_calculator2,11,10,7,4,3,0.6364,0.7000,0.6667,0.5000,0.0000
py_boolean_dry_hot,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_boolean_dry_hot2,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_boolean_dry_hot3,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_boolean_dry_hot4,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_char_dict,15,18,10,5,8,0.6667,0.5556,0.6061,0.4348,0.0000
py_check_adjacent,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_check_age,13,15,8,5,7,0.6154,0.5333,0.5714,0.4000,0.0000
py_check_age2,16,16,9,7,7,0.5625,0.5625,0.5625,0.3913,0.0000
py_check_product_code,15,16,10,5,6,0.6667,0.6250,0.6452,0.4762,0.0000
py_check_product_code2,19,18,12,7,6,0.6316,0.6667,0.6486,0.4800,0.0000
py_concat_char_two_str,8,8,4,4,4,0.5000,0.5000,0.5000,0.3333,0.0000
py_concat_char_two_str2,7,9,3,4,6,0.4286,0.3333,0.3750,0.2308,0.0000
py_concat_str_num,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_concat_str_num2,6,9,4,2,5,0.6667,0.4444,0.5333,0.3636,0.0000
py_concat_string_num3,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_digits,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
py_display_time2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_divisor,8,9,5,3,4,0.6250,0.5556,0.5882,0.4167,0.0000
py_f_to_c_conversion,8,8,6,2,2,0.7500,0.7500,0.7500,0.6000,0.0000
py_fahrenheit_to_celsius,8,9,6,2,3,0.7500,0.6667,0.7059,0.5455,0.0000
py_fail_course,7,8,5,2,3,0.7143,0.6250,0.6667,0.5000,0.0000
py_fail_course2,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_fail_course3,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_file_input_stat,18,20,12,6,8,0.6667,0.6000,0.6316,0.4615,0.0000
py_find_average,12,12,9,3,3,0.7500,0.7500,0.7500,0.6000,0.0000
py_first_char_words_dict,22,20,15,7,5,0.6818,0.7500,0.7143,0.5556,0.0000
py_if_else_grade,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_if_else_num,6,7,4,2,3,0.6667,0.5714,0.6154,0.4444,0.0000
py_if_else_wage,9,10,6,3,4,0.6667,0.6000,0.6316,0.4615,0.0000
py_if_else_wage2,11,11,8,3,3,0.7273,0.7273,0.7273,0.5714,0.0000
py_ifelse_odd_even,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_ifelseif_grade2,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
py_input,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_input2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_input3,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_input4,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
py_input_stat2,23,23,17,6,6,0.7391,0.7391,0.7391,0.5862,0.0000
py_largest_divisor,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_list2d_basic,12,6,2,10,4,0.1667,0.3333,0.2222,0.1250,0.0000
py_list2d_basic2,11,6,2,9,4,0.1818,0.3333,0.2353,0.1333,0.0000
py_list2d_basic3,11,6,2,9,4,0.1818,0.3333,0.2353,0.1333,0.0000
py_list_basic,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
py_list_basic2,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_basic3,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
py_list_change,12,11,7,5,4,0.5833,0.6364,0.6087,0.4375,0.0000
