exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
ae_adl_comparison,14,9,9,5,0,0.6429,1.0000,0.7826,0.6429,0.0000
ae_adl_dict1,0,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_dict2,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
ae_adl_dict3,0,19,0,0,19,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_file1,0,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_file2,0,16,0,0,16,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_findmax,14,14,12,2,2,0.8571,0.8571,0.8571,0.7500,0.0000
ae_adl_for,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_format1,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_format2,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_functions1,5,5,4,1,1,0.8000,0.8000,0.8000,0.6667,0.0000
ae_adl_functions2,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
ae_adl_functions3,13,14,12,1,2,0.9231,0.8571,0.8889,0.8000,0.0000
ae_adl_greet,6,7,6,0,1,1.0000,0.8571,0.9231,0.8571,0.0000
ae_adl_hello,3,4,3,0,1,1.0000,0.7500,0.8571,0.7500,0.0000
ae_adl_hiscore1,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
ae_adl_hiscore2,11,11,9,2,2,0.8182,0.8182,0.8182,0.6923,0.0000
ae_adl_ifelifelse,0,11,0,0,11,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_ifelse,13,12,11,2,1,0.8462,0.9167,0.8800,0.7857,0.0000
ae_adl_input1,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_input2,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_lists1,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_lists2,10,10,9,1,1,0.9000,0.9000,0.9000,0.8182,0.0000
ae_adl_lists3,13,15,13,0,2,1.0000,0.8667,0.9286,0.8667,0.0000
ae_adl_logic,14,12,11,3,1,0.7857,0.9167,0.8462,0.7333,0.0000
ae_adl_nested_if,12,12,9,3,3,0.7500,0.7500,0.7500,0.6000,0.0000
ae_adl_objects1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_objects2,0,18,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_objects3,0,16,0,0,16,0.0000,0.0000,0.0000,0.0000,0.0000
ae_adl_recursion,16,13,13,3,0,0.8125,1.0000,0.8966,0.8125,0.0000
ae_adl_returnvalue,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_simple_arithmetics,8,10,8,0,2,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_strings,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_adl_swap,4,7,4,0,3,1.0000,0.5714,0.7273,0.5714,0.0000
ae_adl_tryexcept1,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ae_adl_tryexcept2,12,15,12,0,3,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_vals_refs1,7,8,6,1,2,0.8571,0.7500,0.8000,0.6667,0.0000
ae_adl_vals_refs2,10,10,8,2,2,0.8000,0.8000,0.8000,0.6667,0.0000
ae_adl_vals_refs3,9,10,8,1,2,0.8889,0.8000,0.8421,0.7273,0.0000
ae_adl_variables,7,9,7,0,2,1.0000,0.7778,0.8750,0.7778,0.0000
ae_adl_while,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_assignment,6,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_class1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_python_class2,0,19,0,0,19,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_file,22,19,18,4,1,0.8182,0.9474,0.8780,0.7826,0.0000
ae_python_float,8,13,8,0,5,1.0000,0.6154,0.7619,0.6154,0.0000
ae_python_for,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_python_function,0,12,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_if,13,9,6,7,3,0.4615,0.6667,0.5455,0.3750,0.0000
ae_python_input,6,7,6,0,1,1.0000,0.8571,0.9231,0.8571,0.0000
ae_python_intro,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_list,0,19,0,0,19,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_split,0,20,0,0,20,0.0000,0.0000,0.0000,0.0000,0.0000
ae_python_while,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
objects_classes_account,0,23,0,0,23,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_loan,0,20,0,0,20,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_point,0,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000
objects_classes_tv,0,25,0,0,25,0.0000,0.0000,0.0000,0.0000,0.0000
ps_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_2d_list,15,14,13,2,1,0.8667,0.9286,0.8966,0.8125,0.0000
ps_python_add_to_list,11,12,8,3,4,0.7273,0.6667,0.6957,0.5333,0.0000
