exercise_name,parent,leaf_class,reason,score
py_fail_course,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course,Call,FunctionCall,The code uses multiple function calls: input() to read user input, int() to convert strings to integers, and print() to output results.,5
py_fail_course,ArithmeticExpression,BinaryOperation,Binary operations are used in the boolean expression with comparison operators (<, >) and logical operator (or). These are binary operations combining operands.,5
py_fail_course,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course,LogicalExpression,ComparisonExpression,Comparison expressions are used to compare exam_score < 55 and number_of_missing_hw > 2.,5
py_fail_course,LogicalExpression,BooleanExpression,Boolean expressions are used to combine comparison expressions with the logical or operator and in the if condition.,5
py_fail_course,Literal,StringLiteral,String literals are used in the input prompts and print statements.,5
py_fail_course,Literal,BooleanLiteral,Boolean literals are implicitly used in the if condition (is_failing == True), but no explicit True/False literals are assigned.,3
py_fail_course,Literal,NoneLiteral,None literals are not used in the code snippet.,0
py_fail_course,NumericLiteral,FloatLiteral,No float literals are present; all numeric literals are integers.,0
py_fail_course,NumericLiteral,IntegerLiteral,Integer literals are used when converting input strings to integers and in the comparison constants (55, 2).,5
py_fail_course,LiteralCollection,TupleLiteral,No tuple literals are used.,0
py_fail_course,LiteralCollection,SetLiteral,No set literals are used.,0
py_fail_course,LiteralCollection,ListLiteral,No list literals are used.,0
py_fail_course,LiteralCollection,DictLiteral,No dictionary literals are used.,0
py_fail_course,Error,TypeError,No explicit error handling or raising of TypeError is present.,0
py_fail_course,Error,OSError,No OSError handling or raising is present.,0
py_fail_course,Error,IndexError,No indexing or slicing that could cause IndexError is present.,0
py_fail_course,Error,IOError,No IOError handling or raising is present.,0
py_fail_course,Error,FileNotFoundError,No file operations or related errors are present.,0
py_fail_course,Error,ValueError,ValueError could potentially occur if int() conversion fails, but no explicit handling is done.,2
py_fail_course,Error,AssertionError,No assertions are used.,0
py_fail_course,StringMethod,split(),No use of the split() string method.,0
py_fail_course,StringMethod,lower(),No use of the lower() string method.,0
py_fail_course2,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course2,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course2,Call,FunctionCall,The code uses multiple function calls such as input() and int(), which are essential for reading and converting user input.,5
py_fail_course2,ArithmeticExpression,BinaryOperation,Binary operations are used in the comparison exam_score < 55 and in the logical or operation.,5
py_fail_course2,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course2,LogicalExpression,ComparisonExpression,Comparison expressions are used to check if exam_score < 55 and input_num == 1.,5
py_fail_course2,LogicalExpression,BooleanExpression,Boolean expressions are used in the if conditions and in the final logical or expression to determine failing status.,5
py_fail_course2,Literal,StringLiteral,String literals are used in the input prompts and print statements.,5
py_fail_course2,Literal,BooleanLiteral,Boolean literals True and False are explicitly assigned and used in the code.,5
py_fail_course2,Literal,NoneLiteral,None literal is not used anywhere in the code snippet.,0
py_fail_course2,NumericLiteral,FloatLiteral,No floating point literals are used; only integers are present.,0
py_fail_course2,NumericLiteral,IntegerLiteral,Integer literals such as 1, 0, and 55 are used in comparisons and assignments.,5
py_fail_course2,LiteralCollection,TupleLiteral,No tuple literals are used in the code.,0
py_fail_course2,LiteralCollection,SetLiteral,No set literals are used in the code.,0
py_fail_course2,LiteralCollection,ListLiteral,No list literals are used in the code.,0
py_fail_course2,LiteralCollection,DictLiteral,No dictionary literals are used in the code.,0
py_fail_course2,Error,TypeError,No explicit error handling or raising of TypeError is present.,0
py_fail_course2,Error,OSError,No OSError handling or raising is present.,0
