exercise_name,parent,leaf_class
py_fail_course,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course3,ArithmeticOperation,FindAbsolute
py_fail_course3,HandlingTuple,SlicingTuple
py_fail_course3,HandlingTuple,IndexingTuple
py_fail_course3,HandlingFloat,TransformingToFloatType
py_fail_course3,HandlingDictionary,ReplacingDictionaryElement
py_fail_course3,HandlingDictionary,IndexingDictionary
py_fail_course3,HandlingDictionary,AddingItemToDictionary
py_fail_course3,HandlingDictionary,AccessingDictionary
py_fail_course3,HandlingDictionary,CreatingDictionary
py_fail_course3,HandlingList,DeletingListElement
py_fail_course3,HandlingList,IndexingList
py_fail_course3,HandlingList,CreatingList
py_fail_course3,HandlingList,SlicingList
py_fail_course3,HandlingList,ReplacingListElement
py_fail_course3,HandlingList,ListReferencing
py_fail_course3,HandlingList,ReversingList
py_fail_course3,AddingListElement,AddingListElementWithInsert
py_fail_course3,AddingListElement,AddingListElementWithAppend
py_fail_course3,HandlingFile,ClosingFile
py_fail_course3,HandlingFile,ReadingLine
py_fail_course3,HandlingFile,OpeningFile
py_fail_course3,HandlingString,CreatingString
py_fail_course3,HandlingString,ReplacingStringContent
py_fail_course3,HandlingString,FormattingString
py_fail_course3,HandlingString,TransformingToStringType
py_fail_course3,HandlingString,SplittingString
py_phone_age2,HandlingAdvancedDataStructure,BinaryTreeTask
py_phone_age2,HandlingAdvancedDataStructure,LinkedListTask
py_phone_age2,HandlingAdvancedDataStructure,QueueTask
py_phone_age2,HandlingAdvancedDataStructure,StackTask
py_phone_age2,TwoDimensionalArrayTask,ReplacingElement2DArray
py_phone_age2,TwoDimensionalArrayTask,Indexing2DArray
py_phone_age2,TwoDimensionalArrayTask,Create2DArray
py_phone_age2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_phone_age2,HandlingObjectOrientedProgramming,CreatingObject
py_phone_age2,HandlingObjectOrientedProgramming,DefiningClass
py_phone_age2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_phone_age2,NonNestedIteration,SingleWhileLoopIteration
py_phone_age2,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith*=
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith+=
py_phone_age2,ForLoopWithUpdate,ForLoopWith+=
py_phone_age2,ForLoopWithUpdate,ForLoopWith*=
py_phone_age2,ForLoopWithUpdate,ForLoopWithListIndexing
py_phone_age2,NestedLoopIteration,MixedNestedLoopIteration
py_phone_age2,NestedLoopIteration,NestedForLoopIteration
py_phone_age2,NestedLoopIteration,NestedWhileLoopIteration
py_phone_age2,ArithmeticOperation,FindAbsolute
py_phone_age2,ArithmeticOperation,FindRemainder
py_phone_age2,ArithmeticOperation,FindMaximum
py_phone_age2,ArithmeticOperation,Addition
py_phone_age2,ArithmeticOperation,Round
py_phone_age2,ArithmeticOperation,Power
py_phone_age2,ArithmeticOperation,FindMinimum
py_phone_age2,ArithmeticOperation,Substraction
py_phone_age2,ArithmeticOperation,Division
py_phone_age2,ArithmeticOperation,Multiplication
py_phone_age2,HandlingInteger,TransformingToIntType
py_phone_age2,HandlingTuple,CreatingTuple
py_rent_car,NonNestedIteration,SingleWhileLoopIteration
py_rent_car,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_rent_car,WhileLoopWithUpdate,WhileLoopWith*=
py_rent_car,WhileLoopWithUpdate,WhileLoopWith+=
py_rent_car,ForLoopWithUpdate,ForLoopWith+=
py_rent_car,ForLoopWithUpdate,ForLoopWith*=
py_rent_car,ForLoopWithUpdate,ForLoopWithListIndexing
py_rent_car,NestedLoopIteration,MixedNestedLoopIteration
py_rent_car,NestedLoopIteration,NestedForLoopIteration
py_rent_car,NestedLoopIteration,NestedWhileLoopIteration
py_rent_car,ArithmeticOperation,FindAbsolute
py_rent_car,ArithmeticOperation,FindRemainder
py_rent_car,ArithmeticOperation,FindMaximum
py_rent_car,ArithmeticOperation,Addition
py_rent_car,ArithmeticOperation,Round
py_rent_car,ArithmeticOperation,Power
py_rent_car,ArithmeticOperation,FindMinimum
py_rent_car,ArithmeticOperation,Substraction
py_rent_car,ArithmeticOperation,Division
py_rent_car,ArithmeticOperation,Multiplication
py_rent_car,HandlingInteger,TransformingToIntType
py_rent_car,HandlingTuple,CreatingTuple
py_rent_car,HandlingList,SlicingList
py_rent_car,HandlingString,ReplacingStringContent
py_rent_car2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_rent_car2,NonNestedIteration,SingleWhileLoopIteration
