exercise_name,parent,leaf_class
py_fail_course,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course,ArithmeticOperation,FindAbsolute
py_fail_course2,ManagingVariable,AssigningVariable
py_fail_course2,ManagingVariable,UpdatingVariable
py_fail_course2,HandlingAdvancedDataStructure,BinaryTreeTask
py_fail_course2,HandlingAdvancedDataStructure,LinkedListTask
py_fail_course2,HandlingAdvancedDataStructure,QueueTask
py_fail_course2,HandlingAdvancedDataStructure,StackTask
py_fail_course2,TwoDimensionalArrayTask,ReplacingElement2DArray
py_fail_course2,TwoDimensionalArrayTask,Indexing2DArray
py_fail_course2,TwoDimensionalArrayTask,Create2DArray
py_fail_course2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_fail_course2,HandlingObjectOrientedProgramming,CreatingObject
py_fail_course2,HandlingObjectOrientedProgramming,DefiningClass
py_fail_course2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course2,HandlingFunction,CallingFunctionLibrary
py_fail_course2,HandlingFunction,NestedFunctionCall
py_fail_course2,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_fail_course2,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_fail_course2,HandlingRecursiveFunction,CallingRecursiveFunction
py_fail_course2,HandlingRecursiveFunction,DefiningRecursiveFunction
py_fail_course2,HandlingNestedFunction,CallingNestedFunction
py_fail_course2,HandlingNestedFunction,DefiningNestedFunction
py_fail_course2,HandlingStandardFunction,CallingStandardFunction
py_fail_course2,HandlingStandardFunction,DefiningStandardFunction
py_fail_course2,NonNestedIteration,SingleForLoopIteration
py_fail_course3,ArithmeticOperation,FindAbsolute
py_fail_course3,HandlingTuple,SlicingTuple
py_fail_course3,HandlingTuple,IndexingTuple
py_fail_course3,HandlingFloat,TransformingToFloatType
py_fail_course3,HandlingDictionary,ReplacingDictionaryElement
py_fail_course3,HandlingDictionary,IndexingDictionary
py_fail_course3,HandlingDictionary,AddingItemToDictionary
py_fail_course3,HandlingDictionary,AccessingDictionary
py_fail_course3,HandlingDictionary,CreatingDictionary
py_fail_course3,HandlingList,DeletingListElement
py_fail_course3,HandlingList,IndexingList
py_fail_course3,HandlingList,CreatingList
py_fail_course3,HandlingList,SlicingList
py_fail_course3,HandlingList,ReplacingListElement
py_fail_course3,HandlingList,ListReferencing
py_fail_course3,HandlingList,ReversingList
py_fail_course3,AddingListElement,AddingListElementWithInsert
py_fail_course3,AddingListElement,AddingListElementWithAppend
py_fail_course3,HandlingFile,ClosingFile
py_fail_course3,HandlingFile,ReadingLine
py_fail_course3,HandlingFile,OpeningFile
py_fail_course3,HandlingString,CreatingString
py_fail_course3,HandlingString,ReplacingStringContent
py_fail_course3,HandlingString,FormattingString
py_fail_course3,HandlingString,TransformingToStringType
py_fail_course3,HandlingString,SplittingString
py_phone_age,ManagingVariable,AssigningVariable
py_phone_age,ManagingVariable,UpdatingVariable
py_phone_age,HandlingAdvancedDataStructure,BinaryTreeTask
py_phone_age,HandlingAdvancedDataStructure,LinkedListTask
py_phone_age,HandlingAdvancedDataStructure,QueueTask
py_phone_age,HandlingAdvancedDataStructure,StackTask
py_phone_age,TwoDimensionalArrayTask,ReplacingElement2DArray
py_phone_age,TwoDimensionalArrayTask,Indexing2DArray
py_phone_age,TwoDimensionalArrayTask,Create2DArray
py_phone_age,HandlingObjectOrientedProgramming,CallingOOPMethod
