exercise_name,parent,leaf_class
py_fail_course,Python,Concatenation
py_fail_course,Python,Importing
py_fail_course,Python,FindingLength
py_fail_course,Python,Printing
py_fail_course,Python,CheckingForItem
py_fail_course,Python,HandlingInput
py_fail_course,CheckingCondition,IfElseChecking
py_fail_course,CheckingCondition,AssertChecking
py_fail_course,CheckingCondition,IfElifElseChecking
py_fail_course,CheckingCondition,NestedIfChecking
py_fail_course,CheckingCondition,IfChecking
py_fail_course,CheckingCondition,IfElifChecking
py_fail_course,CheckingCondition,BooleanEvaluating
py_fail_course,CheckingInForLoop,IfElseCheckingInForLoop
py_fail_course,CheckingInForLoop,IfElifCheckingInForLoop
py_fail_course,CheckingInForLoop,IfCheckingInForLoop
py_fail_course,CheckingInForLoop,IfElifElseCheckingInForLoop
py_fail_course,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
py_fail_course,CheckingInWhileLoop,IfCheckingInWhileLoop
py_fail_course,CheckingInWhileLoop,IfElseCheckingInWhileLoop
py_fail_course,CheckingInWhileLoop,IfElifCheckingInWhileLoop
py_fail_course,ManagingVariable,SwappingVariablesValue
py_fail_course,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course3,ManagingVariable,AssigningVariable
py_fail_course3,ManagingVariable,UpdatingVariable
py_fail_course3,HandlingAdvancedDataStructure,BinaryTreeTask
py_fail_course3,HandlingAdvancedDataStructure,LinkedListTask
py_fail_course3,HandlingAdvancedDataStructure,QueueTask
py_fail_course3,HandlingAdvancedDataStructure,StackTask
py_fail_course3,TwoDimensionalArrayTask,ReplacingElement2DArray
py_fail_course3,TwoDimensionalArrayTask,Indexing2DArray
py_fail_course3,TwoDimensionalArrayTask,Create2DArray
py_fail_course3,HandlingObjectOrientedProgramming,CallingOOPMethod
py_fail_course3,HandlingObjectOrientedProgramming,CreatingObject
py_fail_course3,HandlingObjectOrientedProgramming,DefiningClass
py_fail_course3,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course3,HandlingFunction,CallingFunctionLibrary
py_fail_course3,HandlingFunction,NestedFunctionCall
py_fail_course3,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_fail_course3,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_fail_course3,HandlingRecursiveFunction,CallingRecursiveFunction
py_fail_course3,HandlingRecursiveFunction,DefiningRecursiveFunction
py_fail_course3,HandlingNestedFunction,CallingNestedFunction
py_fail_course3,HandlingNestedFunction,DefiningNestedFunction
py_fail_course3,HandlingStandardFunction,CallingStandardFunction
py_fail_course3,HandlingStandardFunction,DefiningStandardFunction
py_fail_course3,NonNestedIteration,SingleForLoopIteration
