exercise_name,parent,leaf_class
py_fail_course,Python,Concatenation
py_fail_course,Python,Importing
py_fail_course,Python,FindingLength
py_fail_course,Python,Printing
py_fail_course,Python,CheckingForItem
py_fail_course,Python,HandlingInput
py_fail_course,CheckingCondition,IfElseChecking
py_fail_course,CheckingCondition,AssertChecking
py_fail_course,CheckingCondition,IfElifElseChecking
py_fail_course,CheckingCondition,NestedIfChecking
py_fail_course,CheckingCondition,IfChecking
py_fail_course,CheckingCondition,IfElifChecking
py_fail_course,CheckingCondition,BooleanEvaluating
py_fail_course,CheckingInForLoop,IfElseCheckingInForLoop
py_fail_course,CheckingInForLoop,IfElifCheckingInForLoop
py_fail_course,CheckingInForLoop,IfCheckingInForLoop
py_fail_course,CheckingInForLoop,IfElifElseCheckingInForLoop
py_fail_course,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
py_fail_course,CheckingInWhileLoop,IfCheckingInWhileLoop
py_fail_course,CheckingInWhileLoop,IfElseCheckingInWhileLoop
py_fail_course,CheckingInWhileLoop,IfElifCheckingInWhileLoop
py_fail_course,ManagingVariable,SwappingVariablesValue
py_fail_course,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course2,HandlingTuple,SlicingTuple
py_fail_course2,HandlingTuple,IndexingTuple
py_fail_course2,HandlingFloat,TransformingToFloatType
py_fail_course2,HandlingDictionary,ReplacingDictionaryElement
py_fail_course2,HandlingDictionary,IndexingDictionary
py_fail_course2,HandlingDictionary,AddingItemToDictionary
py_fail_course2,HandlingDictionary,AccessingDictionary
py_fail_course2,HandlingDictionary,CreatingDictionary
py_fail_course2,HandlingList,DeletingListElement
py_fail_course2,HandlingList,IndexingList
py_fail_course2,HandlingList,CreatingList
py_fail_course2,HandlingList,SlicingList
py_fail_course2,HandlingList,ReplacingListElement
py_fail_course2,HandlingList,ListReferencing
py_fail_course2,HandlingList,ReversingList
py_fail_course2,AddingListElement,AddingListElementWithInsert
py_fail_course2,AddingListElement,AddingListElementWithAppend
py_fail_course2,HandlingFile,ClosingFile
py_fail_course2,HandlingFile,ReadingLine
py_fail_course2,HandlingFile,OpeningFile
py_fail_course2,HandlingString,CreatingString
py_fail_course2,HandlingString,ReplacingStringContent
py_fail_course2,HandlingString,FormattingString
py_fail_course2,HandlingString,TransformingToStringType
py_fail_course2,HandlingString,SplittingString
py_fail_course3,ManagingVariable,AssigningVariable
py_fail_course3,ManagingVariable,UpdatingVariable
py_fail_course3,HandlingAdvancedDataStructure,BinaryTreeTask
py_fail_course3,HandlingAdvancedDataStructure,LinkedListTask
py_fail_course3,HandlingAdvancedDataStructure,QueueTask
py_fail_course3,HandlingAdvancedDataStructure,StackTask
