exercise_name,parent,leaf_class
py_fail_course,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_fail_course,HandlingTuple,SlicingTuple
py_fail_course,HandlingTuple,IndexingTuple
py_fail_course,HandlingFloat,TransformingToFloatType
py_fail_course,HandlingDictionary,ReplacingDictionaryElement
py_fail_course,HandlingDictionary,IndexingDictionary
py_fail_course,HandlingDictionary,AddingItemToDictionary
py_fail_course,HandlingDictionary,AccessingDictionary
py_fail_course,HandlingDictionary,CreatingDictionary
py_fail_course,HandlingList,DeletingListElement
py_fail_course,HandlingList,IndexingList
py_fail_course,HandlingList,CreatingList
py_fail_course,HandlingList,SlicingList
py_fail_course,HandlingList,ReplacingListElement
py_fail_course,HandlingList,ListReferencing
py_fail_course,HandlingList,ReversingList
py_fail_course,AddingListElement,AddingListElementWithInsert
py_fail_course,AddingListElement,AddingListElementWithAppend
py_fail_course,HandlingFile,ClosingFile
py_fail_course,HandlingFile,ReadingLine
py_fail_course,HandlingFile,OpeningFile
py_fail_course,HandlingString,CreatingString
py_fail_course,HandlingString,ReplacingStringContent
py_fail_course,HandlingString,FormattingString
py_fail_course,HandlingString,TransformingToStringType
py_fail_course,HandlingString,SplittingString
py_fail_course3,ArithmeticOperation,FindAbsolute
py_fail_course3,HandlingTuple,SlicingTuple
py_fail_course3,HandlingTuple,IndexingTuple
py_fail_course3,HandlingFloat,TransformingToFloatType
py_fail_course3,HandlingDictionary,ReplacingDictionaryElement
py_fail_course3,HandlingDictionary,IndexingDictionary
py_fail_course3,HandlingDictionary,AddingItemToDictionary
py_fail_course3,HandlingDictionary,AccessingDictionary
py_fail_course3,HandlingDictionary,CreatingDictionary
py_fail_course3,HandlingList,DeletingListElement
py_fail_course3,HandlingList,IndexingList
py_fail_course3,HandlingList,CreatingList
py_fail_course3,HandlingList,SlicingList
py_fail_course3,HandlingList,ReplacingListElement
py_fail_course3,HandlingList,ListReferencing
py_fail_course3,HandlingList,ReversingList
py_fail_course3,AddingListElement,AddingListElementWithInsert
py_fail_course3,AddingListElement,AddingListElementWithAppend
py_fail_course3,HandlingFile,ClosingFile
py_fail_course3,HandlingFile,ReadingLine
py_fail_course3,HandlingFile,OpeningFile
py_fail_course3,HandlingString,CreatingString
py_fail_course3,HandlingString,ReplacingStringContent
py_fail_course3,HandlingString,FormattingString
py_fail_course3,HandlingString,TransformingToStringType
py_fail_course3,HandlingString,SplittingString
py_phone_age,NonNestedIteration,SingleWhileLoopIteration
py_phone_age,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_phone_age,WhileLoopWithUpdate,WhileLoopWith*=
py_phone_age,WhileLoopWithUpdate,WhileLoopWith+=
py_phone_age,ForLoopWithUpdate,ForLoopWith+=
py_phone_age,ForLoopWithUpdate,ForLoopWith*=
py_phone_age,ForLoopWithUpdate,ForLoopWithListIndexing
py_phone_age,NestedLoopIteration,MixedNestedLoopIteration
py_phone_age,NestedLoopIteration,NestedForLoopIteration
py_phone_age,NestedLoopIteration,NestedWhileLoopIteration
py_phone_age,ArithmeticOperation,FindAbsolute
py_phone_age,ArithmeticOperation,FindRemainder
py_phone_age,ArithmeticOperation,FindMaximum
py_phone_age,ArithmeticOperation,Addition
py_phone_age,ArithmeticOperation,Round
py_phone_age,ArithmeticOperation,Power
py_phone_age,ArithmeticOperation,FindMinimum
py_phone_age,ArithmeticOperation,Substraction
py_phone_age,ArithmeticOperation,Division
py_phone_age,ArithmeticOperation,Multiplication
py_phone_age,HandlingInteger,TransformingToIntType
py_phone_age,HandlingTuple,CreatingTuple
py_phone_age,HandlingString,TrimmingString
py_phone_age,HandlingString,IndexingString
py_phone_age,HandlingString,SlicingString
py_phone_age,ModifyingStringCase,ConvertStringToUpperCase
py_phone_age,ModifyingStringCase,ConvertStringToLowerCase
py_phone_age,ModifyingStringCase,CapitalizeString
py_phone_age,HandlingError,HandlingSpecificError
py_phone_age,HandlingError,HandlingGeneralError
py_phone_age2,HandlingAdvancedDataStructure,BinaryTreeTask
py_phone_age2,HandlingAdvancedDataStructure,LinkedListTask
py_phone_age2,HandlingAdvancedDataStructure,QueueTask
py_phone_age2,HandlingAdvancedDataStructure,StackTask
py_phone_age2,TwoDimensionalArrayTask,ReplacingElement2DArray
py_phone_age2,TwoDimensionalArrayTask,Indexing2DArray
py_phone_age2,TwoDimensionalArrayTask,Create2DArray
py_phone_age2,HandlingObjectOrientedProgramming,CallingOOPMethod
py_phone_age2,HandlingObjectOrientedProgramming,CreatingObject
py_phone_age2,HandlingObjectOrientedProgramming,DefiningClass
py_phone_age2,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_phone_age2,NonNestedIteration,SingleWhileLoopIteration
py_phone_age2,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith*=
py_phone_age2,WhileLoopWithUpdate,WhileLoopWith+=
py_phone_age2,ForLoopWithUpdate,ForLoopWith+=
py_phone_age2,ForLoopWithUpdate,ForLoopWith*=
py_phone_age2,ForLoopWithUpdate,ForLoopWithListIndexing
py_phone_age2,NestedLoopIteration,MixedNestedLoopIteration
py_phone_age2,NestedLoopIteration,NestedForLoopIteration
py_phone_age2,NestedLoopIteration,NestedWhileLoopIteration
py_phone_age2,ArithmeticOperation,FindAbsolute
py_phone_age2,ArithmeticOperation,FindRemainder
py_phone_age2,ArithmeticOperation,FindMaximum
py_phone_age2,ArithmeticOperation,Addition
py_phone_age2,ArithmeticOperation,Round
py_phone_age2,ArithmeticOperation,Power
py_phone_age2,ArithmeticOperation,FindMinimum
py_phone_age2,ArithmeticOperation,Substraction
py_phone_age2,ArithmeticOperation,Division
py_phone_age2,ArithmeticOperation,Multiplication
py_phone_age2,HandlingInteger,TransformingToIntType
py_phone_age2,HandlingTuple,CreatingTuple
py_phone_age2,HandlingTuple,SlicingTuple
py_phone_age2,HandlingTuple,IndexingTuple
py_phone_age2,HandlingFloat,TransformingToFloatType
py_phone_age2,HandlingDictionary,ReplacingDictionaryElement
py_phone_age2,HandlingDictionary,IndexingDictionary
py_phone_age2,HandlingDictionary,AddingItemToDictionary
py_phone_age2,HandlingDictionary,AccessingDictionary
py_phone_age2,HandlingDictionary,CreatingDictionary
py_phone_age2,HandlingList,DeletingListElement
py_phone_age2,HandlingList,IndexingList
py_phone_age2,HandlingList,CreatingList
py_phone_age2,HandlingList,SlicingList
py_phone_age2,HandlingList,ReplacingListElement
py_phone_age2,HandlingList,ListReferencing
py_phone_age2,HandlingList,ReversingList
py_phone_age2,AddingListElement,AddingListElementWithInsert
py_phone_age2,AddingListElement,AddingListElementWithAppend
py_phone_age2,HandlingFile,ClosingFile
py_phone_age2,HandlingFile,ReadingLine
py_phone_age2,HandlingFile,OpeningFile
py_phone_age2,HandlingString,CreatingString
py_phone_age2,HandlingString,ReplacingStringContent
py_phone_age2,HandlingString,FormattingString
py_phone_age2,HandlingString,TransformingToStringType
py_phone_age2,HandlingString,SplittingString
py_rent_car,ManagingVariable,AssigningVariable
py_rent_car,ManagingVariable,UpdatingVariable
py_rent_car,HandlingAdvancedDataStructure,BinaryTreeTask
py_rent_car,HandlingAdvancedDataStructure,LinkedListTask
py_rent_car,HandlingAdvancedDataStructure,QueueTask
py_rent_car,HandlingAdvancedDataStructure,StackTask
py_rent_car,TwoDimensionalArrayTask,ReplacingElement2DArray
py_rent_car,TwoDimensionalArrayTask,Indexing2DArray
py_rent_car,TwoDimensionalArrayTask,Create2DArray
py_rent_car,HandlingObjectOrientedProgramming,CallingOOPMethod
py_rent_car,HandlingObjectOrientedProgramming,CreatingObject
py_rent_car,HandlingObjectOrientedProgramming,DefiningClass
py_rent_car,HandlingObjectOrientedProgramming,DefiningOOPMethod
py_rent_car,HandlingFunction,CallingFunctionLibrary
py_rent_car,HandlingFunction,NestedFunctionCall
py_rent_car,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
py_rent_car,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction
py_rent_car,HandlingRecursiveFunction,CallingRecursiveFunction
py_rent_car,HandlingRecursiveFunction,DefiningRecursiveFunction
py_rent_car,HandlingNestedFunction,CallingNestedFunction
py_rent_car,HandlingNestedFunction,DefiningNestedFunction
py_rent_car,HandlingStandardFunction,CallingStandardFunction
py_rent_car,HandlingStandardFunction,DefiningStandardFunction
py_rent_car,NonNestedIteration,SingleForLoopIteration
