exercise_name,parent,leaf_class
py_fail_course,ExceptionHandlingStatement,RaiseStatement
py_fail_course,ExceptionHandlingStatement,AssertStatement
py_fail_course,AssignmentStatement,SimpleAssignmentStatement
py_fail_course,AssignmentStatement,AugmentedAssignmentStatement
py_fail_course,DefinitionStatement,FunctionDefinition
py_fail_course,DefinitionStatement,ClassDefinition
py_fail_course,BuiltInFunction,dict()
py_fail_course,BuiltInFunction,str()
py_fail_course,BuiltInFunction,next()
py_fail_course,BuiltInFunction,input()
py_fail_course,BuiltInFunction,int()
py_fail_course,BuiltInFunction,max()
py_fail_course,BuiltInFunction,float()
py_fail_course,BuiltInFunction,set()
py_fail_course,BuiltInFunction,open()
py_fail_course,BuiltInFunction,range()
py_fail_course,BuiltInFunction,tuple()
py_fail_course,BuiltInFunction,abs()
py_fail_course,BuiltInFunction,round()
py_fail_course,BuiltInFunction,len()
py_fail_course,BuiltInFunction,min()
py_fail_course,BuiltInFunction,print()
py_fail_course,BuiltInFunction,list()
py_fail_course2,SubscriptExpression,IndexingExpression
py_fail_course2,SubscriptExpression,SlicingExpression
py_fail_course2,Call,FunctionCall
py_fail_course2,ArithmeticExpression,BinaryOperation
py_fail_course2,ArithmeticExpression,UnaryOperation
py_fail_course2,LogicalExpression,ComparisonExpression
py_fail_course2,LogicalExpression,BooleanExpression
py_fail_course2,Literal,StringLiteral
py_fail_course2,Literal,BooleanLiteral
py_fail_course2,Literal,NoneLiteral
py_fail_course2,NumericLiteral,FloatLiteral
py_fail_course2,NumericLiteral,IntegerLiteral
py_fail_course2,LiteralCollection,TupleLiteral
py_fail_course2,LiteralCollection,SetLiteral
py_fail_course2,LiteralCollection,ListLiteral
py_fail_course2,LiteralCollection,DictLiteral
py_fail_course2,Error,TypeError
py_fail_course2,Error,OSError
py_fail_course2,Error,IndexError
py_fail_course2,Error,IOError
py_fail_course2,Error,FileNotFoundError
py_fail_course2,Error,ValueError
py_fail_course2,Error,AssertionError
py_fail_course2,StringMethod,split()
py_fail_course2,StringMethod,lower()
py_fail_course2,ExceptionHandlingStatement,RaiseStatement
py_fail_course2,ExceptionHandlingStatement,AssertStatement
py_fail_course2,AssignmentStatement,SimpleAssignmentStatement
py_fail_course2,AssignmentStatement,AugmentedAssignmentStatement
py_fail_course2,DefinitionStatement,FunctionDefinition
