exercise_name,parent,leaf_class
py_fail_course2,MembershipOperator,in
py_fail_course2,LogicalOperator,and
py_fail_course2,LogicalOperator,or
py_fail_course2,LogicalOperator,not
py_fail_course2,ArtithmeticOperator,//
py_fail_course2,ArtithmeticOperator,-
py_fail_course2,ArtithmeticOperator,+
py_fail_course2,ArtithmeticOperator,/
py_fail_course2,ArtithmeticOperator,**
py_fail_course2,ArtithmeticOperator,Modulus
py_fail_course2,ArtithmeticOperator,*
py_fail_course2,Statement,ExpressionStatement
py_fail_course2,ConditionalStatement,IfElifElseStatement
py_fail_course2,ConditionalStatement,IfStatement
py_fail_course2,ConditionalStatement,IfElseStatement
py_fail_course2,ConditionalStatement,IfElifStatement
py_fail_course2,ImportStatement,Import
py_fail_course2,ImportStatement,ImportFrom
py_fail_course2,JumpStatement,PassStatement
py_fail_course2,JumpStatement,BreakStatement
py_fail_course2,JumpStatement,ContinueStatement
py_fail_course2,JumpStatement,ReturnStatement
py_fail_course2,IterationStatement,ForStatement
py_fail_course2,IterationStatement,WhileStatement
py_fail_course2,ExceptionHandlingStatement,TryStatement
py_phone_age,SubscriptExpression,IndexingExpression
py_phone_age,SubscriptExpression,SlicingExpression
py_phone_age,Call,FunctionCall
py_phone_age,ArithmeticExpression,BinaryOperation
py_phone_age,ArithmeticExpression,UnaryOperation
py_phone_age,LogicalExpression,ComparisonExpression
py_phone_age,LogicalExpression,BooleanExpression
py_phone_age,Literal,StringLiteral
py_phone_age,Literal,BooleanLiteral
py_phone_age,Literal,NoneLiteral
py_phone_age,NumericLiteral,FloatLiteral
py_phone_age,NumericLiteral,IntegerLiteral
py_phone_age,LiteralCollection,TupleLiteral
py_phone_age,LiteralCollection,SetLiteral
py_phone_age,LiteralCollection,ListLiteral
py_phone_age,LiteralCollection,DictLiteral
py_phone_age,Error,TypeError
py_phone_age,Error,OSError
py_phone_age,Error,IndexError
py_phone_age,Error,IOError
py_phone_age,Error,FileNotFoundError
py_phone_age,Error,ValueError
py_phone_age,Error,AssertionError
py_phone_age,StringMethod,split()
py_phone_age,StringMethod,lower()
py_phone_age,StringMethod,join()
py_phone_age,StringMethod,format()
py_phone_age,StringMethod,capitalize()
py_phone_age,StringMethod,rstrip()
py_phone_age,StringMethod,replace()
py_phone_age,DictionaryMethod,values()
py_phone_age,DictionaryMethod,keys()
py_phone_age,DictionaryMethod,items()
py_phone_age,DictionaryMethod,get()
py_phone_age,ClassMethod,__init()__
py_phone_age,ListMethod,reverse()
py_phone_age,ListMethod,insert()
py_phone_age,ListMethod,remove()
py_phone_age,ListMethod,append()
py_phone_age,ListMethod,pop()
py_phone_age,FileMethod,readline()
py_phone_age,FileMethod,close()
py_phone_age,FileMethod,read()
py_phone_age,Operator,=
py_phone_age,ComparisonOperator,LessOrEqual
py_phone_age,ComparisonOperator,Less
py_phone_age,ComparisonOperator,Larger
py_phone_age,ComparisonOperator,LargerOrEqual
py_phone_age,ComparisonOperator,==
py_phone_age,ComparisonOperator,NotEqual
py_phone_age2,SubscriptExpression,IndexingExpression
py_phone_age2,SubscriptExpression,SlicingExpression
py_phone_age2,Call,FunctionCall
py_phone_age2,ArithmeticExpression,BinaryOperation
py_phone_age2,ArithmeticExpression,UnaryOperation
py_phone_age2,LogicalExpression,ComparisonExpression
py_phone_age2,LogicalExpression,BooleanExpression
py_phone_age2,Literal,StringLiteral
py_phone_age2,Literal,BooleanLiteral
py_phone_age2,Literal,NoneLiteral
py_phone_age2,NumericLiteral,FloatLiteral
py_phone_age2,NumericLiteral,IntegerLiteral
py_phone_age2,LiteralCollection,TupleLiteral
