exercise_name,parent,leaf_class
py_fail_course,MembershipOperator,in
py_fail_course,LogicalOperator,and
py_fail_course,LogicalOperator,or
py_fail_course,LogicalOperator,not
py_fail_course,ArtithmeticOperator,//
py_fail_course,ArtithmeticOperator,-
py_fail_course,ArtithmeticOperator,+
py_fail_course,ArtithmeticOperator,/
py_fail_course,ArtithmeticOperator,**
py_fail_course,ArtithmeticOperator,Modulus
py_fail_course,ArtithmeticOperator,*
py_fail_course,Statement,ExpressionStatement
py_fail_course,ConditionalStatement,IfElifElseStatement
py_fail_course,ConditionalStatement,IfStatement
py_fail_course,ConditionalStatement,IfElseStatement
py_fail_course,ConditionalStatement,IfElifStatement
py_fail_course,ImportStatement,Import
py_fail_course,ImportStatement,ImportFrom
py_fail_course,JumpStatement,PassStatement
py_fail_course,JumpStatement,BreakStatement
py_fail_course,JumpStatement,ContinueStatement
py_fail_course,JumpStatement,ReturnStatement
py_fail_course,IterationStatement,ForStatement
py_fail_course,IterationStatement,WhileStatement
py_fail_course,ExceptionHandlingStatement,TryStatement
py_fail_course,ExceptionHandlingStatement,RaiseStatement
py_fail_course,ExceptionHandlingStatement,AssertStatement
py_fail_course,AssignmentStatement,SimpleAssignmentStatement
py_fail_course,AssignmentStatement,AugmentedAssignmentStatement
py_fail_course,DefinitionStatement,FunctionDefinition
py_fail_course,DefinitionStatement,ClassDefinition
py_fail_course,BuiltInFunction,dict()
py_fail_course,BuiltInFunction,str()
py_fail_course,BuiltInFunction,next()
py_fail_course,BuiltInFunction,input()
py_fail_course,BuiltInFunction,int()
py_fail_course,BuiltInFunction,max()
py_fail_course,BuiltInFunction,float()
py_fail_course,BuiltInFunction,set()
py_fail_course,BuiltInFunction,open()
py_fail_course,BuiltInFunction,range()
py_fail_course,BuiltInFunction,tuple()
py_fail_course,BuiltInFunction,abs()
py_fail_course,BuiltInFunction,round()
py_fail_course,BuiltInFunction,len()
py_fail_course,BuiltInFunction,min()
py_fail_course,BuiltInFunction,print()
py_fail_course,BuiltInFunction,list()
py_fail_course2,SubscriptExpression,IndexingExpression
py_fail_course2,SubscriptExpression,SlicingExpression
py_fail_course2,Call,FunctionCall
py_fail_course2,ArithmeticExpression,BinaryOperation
py_fail_course2,ArithmeticExpression,UnaryOperation
py_fail_course2,LogicalExpression,ComparisonExpression
py_fail_course2,LogicalExpression,BooleanExpression
py_fail_course2,Literal,StringLiteral
py_fail_course2,Literal,BooleanLiteral
py_fail_course2,Literal,NoneLiteral
py_fail_course2,NumericLiteral,FloatLiteral
py_fail_course2,NumericLiteral,IntegerLiteral
py_fail_course2,LiteralCollection,TupleLiteral
py_fail_course2,LiteralCollection,SetLiteral
py_fail_course2,LiteralCollection,ListLiteral
py_fail_course2,LiteralCollection,DictLiteral
py_fail_course2,Error,TypeError
py_fail_course2,Error,OSError
py_fail_course2,Error,IndexError
py_fail_course2,Error,IOError
py_fail_course2,Error,FileNotFoundError
py_fail_course2,Error,ValueError
py_fail_course2,Error,AssertionError
py_fail_course2,StringMethod,split()
py_fail_course2,StringMethod,lower()
py_fail_course2,MembershipOperator,in
py_fail_course2,LogicalOperator,and
py_fail_course2,LogicalOperator,or
py_fail_course2,LogicalOperator,not
py_fail_course2,ArtithmeticOperator,//
py_fail_course2,ArtithmeticOperator,-
py_fail_course2,ArtithmeticOperator,+
py_fail_course2,ArtithmeticOperator,/
py_fail_course2,ArtithmeticOperator,**
py_fail_course2,ArtithmeticOperator,Modulus
py_fail_course2,ArtithmeticOperator,*
py_fail_course2,Statement,ExpressionStatement
py_fail_course2,ConditionalStatement,IfElifElseStatement
py_fail_course2,ConditionalStatement,IfStatement
py_fail_course2,ConditionalStatement,IfElseStatement
py_fail_course2,ConditionalStatement,IfElifStatement
py_fail_course2,ImportStatement,Import
py_fail_course2,ImportStatement,ImportFrom
py_fail_course2,JumpStatement,PassStatement
py_fail_course2,JumpStatement,BreakStatement
py_fail_course2,JumpStatement,ContinueStatement
py_fail_course2,JumpStatement,ReturnStatement
py_fail_course2,IterationStatement,ForStatement
py_fail_course2,IterationStatement,WhileStatement
py_fail_course2,ExceptionHandlingStatement,TryStatement
