exercise_name,parent,leaf_class
py_fail_course,SubscriptExpression,IndexingExpression
py_fail_course,SubscriptExpression,SlicingExpression
py_fail_course,Call,FunctionCall
py_fail_course,ArithmeticExpression,BinaryOperation
py_fail_course,ArithmeticExpression,UnaryOperation
py_fail_course,LogicalExpression,ComparisonExpression
py_fail_course,LogicalExpression,BooleanExpression
py_fail_course,Literal,StringLiteral
py_fail_course,Literal,BooleanLiteral
py_fail_course,Literal,NoneLiteral
py_fail_course,NumericLiteral,FloatLiteral
py_fail_course,NumericLiteral,IntegerLiteral
py_fail_course,LiteralCollection,TupleLiteral
py_fail_course,LiteralCollection,SetLiteral
py_fail_course,LiteralCollection,ListLiteral
py_fail_course,LiteralCollection,DictLiteral
py_fail_course,Error,TypeError
py_fail_course,Error,OSError
py_fail_course,Error,IndexError
py_fail_course,Error,IOError
py_fail_course,Error,FileNotFoundError
py_fail_course,Error,ValueError
py_fail_course,Error,AssertionError
py_fail_course,StringMethod,split()
py_fail_course,StringMethod,lower()
py_fail_course3,StringMethod,join()
py_fail_course3,StringMethod,format()
py_fail_course3,StringMethod,capitalize()
py_fail_course3,StringMethod,rstrip()
py_fail_course3,StringMethod,replace()
py_fail_course3,DictionaryMethod,values()
py_fail_course3,DictionaryMethod,keys()
py_fail_course3,DictionaryMethod,items()
py_fail_course3,DictionaryMethod,get()
py_fail_course3,ClassMethod,__init()__
py_fail_course3,ListMethod,reverse()
py_fail_course3,ListMethod,insert()
py_fail_course3,ListMethod,remove()
py_fail_course3,ListMethod,append()
py_fail_course3,ListMethod,pop()
py_fail_course3,FileMethod,readline()
py_fail_course3,FileMethod,close()
py_fail_course3,FileMethod,read()
py_fail_course3,Operator,=
py_fail_course3,ComparisonOperator,LessOrEqual
py_fail_course3,ComparisonOperator,Less
py_fail_course3,ComparisonOperator,Larger
py_fail_course3,ComparisonOperator,LargerOrEqual
py_fail_course3,ComparisonOperator,==
py_fail_course3,ComparisonOperator,NotEqual
py_phone_age2,ExceptionHandlingStatement,RaiseStatement
py_phone_age2,ExceptionHandlingStatement,AssertStatement
py_phone_age2,AssignmentStatement,SimpleAssignmentStatement
py_phone_age2,AssignmentStatement,AugmentedAssignmentStatement
py_phone_age2,DefinitionStatement,FunctionDefinition
py_phone_age2,DefinitionStatement,ClassDefinition
py_phone_age2,BuiltInFunction,dict()
py_phone_age2,BuiltInFunction,str()
py_phone_age2,BuiltInFunction,next()
