exercise_name,parent,leaf_class
py_fail_course2,MembershipOperator,in
py_fail_course2,LogicalOperator,and
py_fail_course2,LogicalOperator,or
py_fail_course2,LogicalOperator,not
py_fail_course2,ArtithmeticOperator,//
py_fail_course2,ArtithmeticOperator,-
py_fail_course2,ArtithmeticOperator,+
py_fail_course2,ArtithmeticOperator,/
py_fail_course2,ArtithmeticOperator,**
py_fail_course2,ArtithmeticOperator,Modulus
py_fail_course2,ArtithmeticOperator,*
py_fail_course2,Statement,ExpressionStatement
py_fail_course2,ConditionalStatement,IfElifElseStatement
py_fail_course2,ConditionalStatement,IfStatement
py_fail_course2,ConditionalStatement,IfElseStatement
py_fail_course2,ConditionalStatement,IfElifStatement
py_fail_course2,ImportStatement,Import
py_fail_course2,ImportStatement,ImportFrom
py_fail_course2,JumpStatement,PassStatement
py_fail_course2,JumpStatement,BreakStatement
py_fail_course2,JumpStatement,ContinueStatement
py_fail_course2,JumpStatement,ReturnStatement
py_fail_course2,IterationStatement,ForStatement
py_fail_course2,IterationStatement,WhileStatement
py_fail_course2,ExceptionHandlingStatement,TryStatement
py_phone_age,ExceptionHandlingStatement,RaiseStatement
py_phone_age,ExceptionHandlingStatement,AssertStatement
py_phone_age,AssignmentStatement,SimpleAssignmentStatement
py_phone_age,AssignmentStatement,AugmentedAssignmentStatement
py_phone_age,DefinitionStatement,FunctionDefinition
py_phone_age,DefinitionStatement,ClassDefinition
py_phone_age,BuiltInFunction,dict()
py_phone_age,BuiltInFunction,str()
py_phone_age,BuiltInFunction,next()
py_phone_age,BuiltInFunction,input()
py_phone_age,BuiltInFunction,int()
py_phone_age,BuiltInFunction,max()
py_phone_age,BuiltInFunction,float()
py_phone_age,BuiltInFunction,set()
py_phone_age,BuiltInFunction,open()
py_phone_age,BuiltInFunction,range()
py_phone_age,BuiltInFunction,tuple()
py_phone_age,BuiltInFunction,abs()
py_phone_age,BuiltInFunction,round()
py_phone_age,BuiltInFunction,len()
py_phone_age,BuiltInFunction,min()
py_phone_age,BuiltInFunction,print()
py_phone_age,BuiltInFunction,list()
py_phone_age2,StringMethod,join()
py_phone_age2,StringMethod,format()
py_phone_age2,StringMethod,capitalize()
py_phone_age2,StringMethod,rstrip()
py_phone_age2,StringMethod,replace()
py_phone_age2,DictionaryMethod,values()
py_phone_age2,DictionaryMethod,keys()
py_phone_age2,DictionaryMethod,items()
py_phone_age2,DictionaryMethod,get()
py_phone_age2,ClassMethod,__init()__
py_phone_age2,ListMethod,reverse()
py_phone_age2,ListMethod,insert()
py_phone_age2,ListMethod,remove()
py_phone_age2,ListMethod,append()
py_phone_age2,ListMethod,pop()
py_phone_age2,FileMethod,readline()
py_phone_age2,FileMethod,close()
py_phone_age2,FileMethod,read()
py_phone_age2,Operator,=
py_phone_age2,ComparisonOperator,LessOrEqual
py_phone_age2,ComparisonOperator,Less
py_phone_age2,ComparisonOperator,Larger
py_phone_age2,ComparisonOperator,LargerOrEqual
py_phone_age2,ComparisonOperator,==
py_phone_age2,ComparisonOperator,NotEqual
py_rent_car,SubscriptExpression,IndexingExpression
py_rent_car,SubscriptExpression,SlicingExpression
py_rent_car,Call,FunctionCall
py_rent_car,ArithmeticExpression,BinaryOperation
py_rent_car,ArithmeticExpression,UnaryOperation
py_rent_car,LogicalExpression,ComparisonExpression
py_rent_car,LogicalExpression,BooleanExpression
py_rent_car,Literal,StringLiteral
py_rent_car,Literal,BooleanLiteral
py_rent_car,Literal,NoneLiteral
py_rent_car,NumericLiteral,FloatLiteral
py_rent_car,NumericLiteral,IntegerLiteral
py_rent_car,LiteralCollection,TupleLiteral
