batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_window_25_code_with_problems/chars_bin=0,parser,5,0.9472,0.9234,0.9302,0.8786,0.3182,0.9442,0.9205,0.9322,0.8730
splits_window_25_code_with_problems/chars_bin=1,parser,5,0.9087,0.8914,0.8980,0.8428,0.0992,0.9127,0.9114,0.9120,0.8383
splits_window_25_code_with_problems/comments_bin=0,parser,5,0.9435,0.9080,0.9208,0.8631,0.2681,0.9371,0.9054,0.9210,0.8535
splits_window_25_code_with_problems/comments_bin=1,parser,5,0.9109,0.9069,0.9068,0.8582,0.1440,0.9148,0.9231,0.9189,0.8500
splits_window_25_code_with_problems/length_lines_bin=0,parser,5,0.9459,0.9202,0.9278,0.8743,0.2937,0.9430,0.9159,0.9292,0.8678
splits_window_25_code_with_problems/length_lines_bin=1,parser,5,0.9067,0.8923,0.8979,0.8448,0.1083,0.9115,0.9143,0.9129,0.8397
splits_window_25_code_with_problems/chars_bin=0,parser,4,0.9254,0.9665,0.9415,0.8982,0.3939,0.9193,0.9639,0.9411,0.8887
splits_window_25_code_with_problems/chars_bin=1,parser,4,0.8923,0.9215,0.9051,0.8548,0.1145,0.8966,0.9412,0.9184,0.8491
splits_window_25_code_with_problems/comments_bin=0,parser,4,0.9211,0.9531,0.9330,0.8844,0.3696,0.9125,0.9480,0.9299,0.8690
splits_window_25_code_with_problems/comments_bin=1,parser,4,0.8954,0.9340,0.9128,0.8680,0.1280,0.8996,0.9519,0.9250,0.8605
splits_window_25_code_with_problems/length_lines_bin=0,parser,4,0.9261,0.9627,0.9402,0.8956,0.3846,0.9212,0.9593,0.9398,0.8865
splits_window_25_code_with_problems/length_lines_bin=1,parser,4,0.8884,0.9219,0.9034,0.8540,0.1000,0.8938,0.9432,0.9178,0.8481
splits_window_25_code_with_problems/chars_bin=0,parser,3,0.9070,0.9690,0.9327,0.8837,0.3561,0.8994,0.9669,0.9319,0.8725
splits_window_25_code_with_problems/chars_bin=1,parser,3,0.8845,0.9282,0.9042,0.8529,0.0992,0.8880,0.9474,0.9168,0.8463
splits_window_25_code_with_problems/comments_bin=0,parser,3,0.9052,0.9565,0.9261,0.8729,0.3188,0.8951,0.9518,0.9226,0.8563
splits_window_25_code_with_problems/comments_bin=1,parser,3,0.8855,0.9400,0.9101,0.8633,0.1280,0.8903,0.9578,0.9228,0.8567
splits_window_25_code_with_problems/length_lines_bin=0,parser,3,0.9080,0.9668,0.9324,0.8826,0.3427,0.9014,0.9640,0.9316,0.8720
splits_window_25_code_with_problems/length_lines_bin=1,parser,3,0.8813,0.9270,0.9020,0.8514,0.0917,0.8858,0.9482,0.9160,0.8449


splits_window_25_code_with_problems/chars_bin=0,parser,3,0.9084,0.9752,0.9367,0.8896,0.3561,0.9005,0.9728,0.9353,0.8784
splits_window_25_code_with_problems/chars_bin=1,parser,3,0.8847,0.9282,0.9042,0.8531,0.0992,0.8880,0.9474,0.9168,0.8463
splits_window_25_code_with_problems/comments_bin=0,parser,3,0.9065,0.9624,0.9299,0.8785,0.3188,0.8961,0.9568,0.9255,0.8613
splits_window_25_code_with_problems/comments_bin=1,parser,3,0.8857,0.9400,0.9101,0.8636,0.1280,0.8903,0.9578,0.9228,0.8567
splits_window_25_code_with_problems/length_lines_bin=0,parser,3,0.9092,0.9725,0.9360,0.8881,0.3427,0.9024,0.9693,0.9347,0.8773
splits_window_25_code_with_problems/length_lines_bin=1,parser,3,0.8816,0.9270,0.9020,0.8516,0.0917,0.8858,0.9482,0.9160,0.8449
splits_window_25_code_with_problems/chars_bin=0,parser,4,0.9267,0.9727,0.9455,0.9042,0.3939,0.9204,0.9698,0.9445,0.8948
splits_window_25_code_with_problems/chars_bin=1,parser,4,0.8927,0.9215,0.9054,0.8553,0.1145,0.8970,0.9412,0.9186,0.8494
splits_window_25_code_with_problems/comments_bin=0,parser,4,0.9224,0.9591,0.9368,0.8902,0.3696,0.9135,0.9530,0.9328,0.8741
splits_window_25_code_with_problems/comments_bin=1,parser,4,0.8959,0.9340,0.9131,0.8685,0.1280,0.9001,0.9519,0.9253,0.8609
splits_window_25_code_with_problems/length_lines_bin=0,parser,4,0.9269,0.9684,0.9436,0.9007,0.3846,0.9216,0.9646,0.9426,0.8914
splits_window_25_code_with_problems/length_lines_bin=1,parser,4,0.8894,0.9219,0.9039,0.8550,0.1000,0.8946,0.9432,0.9183,0.8489
splits_window_25_code_with_problems/chars_bin=0,parser,5,0.9481,0.9294,0.9341,0.8840,0.3258,0.9444,0.9257,0.9350,0.8779
splits_window_25_code_with_problems/chars_bin=1,parser,5,0.9080,0.8925,0.8983,0.8435,0.1069,0.9123,0.9123,0.9123,0.8388
splits_window_25_code_with_problems/comments_bin=0,parser,5,0.9437,0.9132,0.9239,0.8675,0.2754,0.9367,0.9091,0.9227,0.8566
splits_window_25_code_with_problems/comments_bin=1,parser,5,0.9110,0.9086,0.9077,0.8598,0.1520,0.9149,0.9247,0.9198,0.8515
splits_window_25_code_with_problems/length_lines_bin=0,parser,5,0.9462,0.9273,0.9320,0.8804,0.3077,0.9427,0.9226,0.9325,0.8736
splits_window_25_code_with_problems/length_lines_bin=1,parser,5,0.9066,0.8915,0.8974,0.8441,0.1083,0.9114,0.9137,0.9126,0.8392


splits_window_25_code_with_problems/chars_bin=0,parser,5,0.4777,0.4682,0.4706,0.4454,0.1641,0.9444,0.3580,0.5192,0.3506
splits_window_25_code_with_problems/chars_bin=1,parser,5,0.4506,0.4429,0.4457,0.4148,0.0492,0.9123,0.5478,0.6846,0.5204
splits_window_25_code_with_problems/comments_bin=0,parser,5,0.4971,0.4810,0.4867,0.4569,0.1450,0.9367,0.4129,0.5732,0.4017
splits_window_25_code_with_problems/comments_bin=1,parser,5,0.4313,0.4302,0.4298,0.4033,0.0682,0.9149,0.4929,0.6407,0.4713
splits_window_25_code_with_problems/length_lines_bin=0,parser,5,0.5164,0.5061,0.5087,0.4805,0.1679,0.9427,0.3933,0.5550,0.3841
splits_window_25_code_with_problems/length_lines_bin=1,parser,5,0.4121,0.4052,0.4079,0.3799,0.0455,0.9114,0.5125,0.6561,0.4882
