exercise_name,parent,leaf_class
py_rent_car3,WhileLoopWithUpdate,WhileLoopWith*=
py_rent_car3,WhileLoopWithUpdate,WhileLoopWith+=
py_file_input_stat,CheckingInWhileLoop,IfCheckingInWhileLoop
py_input_stat2,CheckingInWhileLoop,IfCheckingInWhileLoop
py_input_stat2,ForLoopWithUpdate,ForLoopWith*=
py_input_stat2,NestedLoopIteration,MixedNestedLoopIteration
py_input_stat2,NestedLoopIteration,NestedForLoopIteration
py_input_stat2,NestedLoopIteration,NestedWhileLoopIteration
objects_classes_account,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_simple_arithmetics,HandlingObjectOrientedProgramming,CallingOOPMethod
ae_adl_simple_arithmetics,HandlingObjectOrientedProgramming,CreatingObject
ae_adl_arithmetics2,HandlingNestedFunction,CallingNestedFunction
ae_adl_format1,HandlingAdvancedDataStructure,BinaryTreeTask
ae_adl_format1,HandlingAdvancedDataStructure,LinkedListTask
ae_adl_format1,HandlingAdvancedDataStructure,StackTask
ae_adl_format1,HandlingError,HandlingSpecificError
ae_adl_format1,HandlingError,HandlingGeneralError
py_nested_if_min_max,HandlingNestedFunction,CallingNestedFunction
q_py_topic_dictionary:q_py_dict_access1,HandlingAdvancedDataStructure,BinaryTreeTask
q_py_topic_dictionary:q_py_dict_access1,HandlingAdvancedDataStructure,LinkedListTask
q_py_topic_dictionary:q_py_dict_access1,HandlingAdvancedDataStructure,StackTask
q_py_topic_dictionary:q_py_dict_access2,CheckingInForLoop,IfElifCheckingInForLoop
q_py_topic_dictionary:q_py_dict_access2,HandlingObjectOrientedProgramming,CallingOOPMethod
q_py_topic_dictionary:q_py_dict_access2,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
q_py_topic_dictionary:q_py_dict_access2,HandlingNestedFunction,CallingNestedFunction
q_py_topic_if_statement:q_py_nested_if_elif1,HandlingDictionary,AccessingDictionary
q_py_topic_lists:q_py_list_access1,CheckingInWhileLoop,IfCheckingInWhileLoop
q_py_topic_lists:q_py_list_access1,HandlingTuple,CreatingTuple
q_py_topic_lists:q_py_list_access1,HandlingTuple,SlicingTuple
q_py_topic_lists:q_py_list_access1,HandlingFloat,TransformingToFloatType
q_py_topic_lists:q_py_list_remove1,HandlingAdvancedDataStructure,BinaryTreeTask
q_py_topic_lists:q_py_list_remove1,HandlingAdvancedDataStructure,LinkedListTask
q_py_topic_lists:q_py_list_remove1,HandlingAdvancedDataStructure,StackTask
q_py_topic_lists:q_py_list_remove1,HandlingObjectOrientedProgramming,CallingOOPMethod
q_py_topic_logical_operators:q_py_account_logic1,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
q_py_topic_logical_operators:q_py_comparison_logic1,HandlingTuple,CreatingTuple
