exercise_name,parent,leaf_class
py_file_input_stat,CheckingInWhileLoop,IfCheckingInWhileLoop
py_file_input_stat,WhileLoopWithUpdate,WhileLoopWith*=
py_input_stat2,CheckingInWhileLoop,IfCheckingInWhileLoop
py_first_char_words_dict,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_simple_arithmetics,HandlingObjectOrientedProgramming,CallingOOPMethod
ae_adl_simple_arithmetics,HandlingObjectOrientedProgramming,CreatingObject
ae_adl_nested_if,HandlingNestedFunction,CallingNestedFunction
ae_adl_format1,HandlingAdvancedDataStructure,BinaryTreeTask
ae_adl_format1,HandlingAdvancedDataStructure,LinkedListTask
ae_adl_format1,HandlingAdvancedDataStructure,StackTask
ae_adl_format1,HandlingError,HandlingSpecificError
ae_adl_format1,HandlingError,HandlingGeneralError
ae_adl_functions1,HandlingInteger,TransformingToIntType
ae_adl_functions1,ModifyingStringCase,ConvertStringToUpperCase
ae_adl_functions1,ModifyingStringCase,ConvertStringToLowerCase
ae_adl_functions1,ModifyingStringCase,CapitalizeString
q_py_topic_dictionary:q_py_dict_access1,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
q_py_topic_dictionary:q_py_dict_access1,WhileLoopWithUpdate,WhileLoopWith*=
q_py_topic_file_processing:q_py_file1,CheckingInWhileLoop,IfCheckingInWhileLoop
q_py_topic_if_statement:q_py_nested_if1,HandlingFloat,TransformingToFloatType
q_py_topic_if_statement:q_py_nested_if_elif1,HandlingInteger,TransformingToIntType
q_py_topic_if_statement:q_py_nested_if_elif2,HandlingString,SplittingString
q_py_topic_lists:q_py_list_access2,HandlingAdvancedDataStructure,LinkedListTask
q_py_topic_lists:q_py_list_append1,HandlingAdvancedDataStructure,StackTask
q_py_topic_lists:q_py_list_append1,WhileLoopWithUpdate,WhileLoopWith*=
q_py_topic_logical_operators:q_py_account_logic1,HandlingFloat,TransformingToFloatType
q_py_topic_logical_operators:q_py_comparison_logic1,HandlingTuple,CreatingTuple
q_py_topic_logical_operators:q_py_comparison_logic1,HandlingTuple,SlicingTuple
q_py_topic_loops:q_py_for_loop1,HandlingStandardFunction,CallingStandardFunction
q_py_topic_loops:q_py_for_loop1,HandlingStandardFunction,DefiningStandardFunction
q_py_topic_output_formatting:q_py_output1,CheckingInWhileLoop,IfCheckingInWhileLoop
q_py_topic_output_formatting:q_py_output2,CheckingCondition,IfElseChecking
q_py_topic_output_formatting:q_py_output3,CheckingInWhileLoop,IfElifElseCheckingInWhileLoop
