exercise_name,parent,leaf_class
py_str_repeat2,WhileLoopWithUpdate,WhileLoopWith*=
py_file_input_stat,CheckingInWhileLoop,IfCheckingInWhileLoop
py_input_stat2,CheckingInWhileLoop,IfCheckingInWhileLoop
py_char_dict,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_hello,CheckingInForLoop,IfElifElseCheckingInForLoop
ae_adl_format1,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_format1,HandlingAdvancedDataStructure,BinaryTreeTask
ae_adl_format1,HandlingAdvancedDataStructure,LinkedListTask
ae_adl_format1,HandlingAdvancedDataStructure,StackTask
ae_adl_format1,HandlingError,HandlingSpecificError
ae_adl_format1,HandlingError,HandlingGeneralError
ae_adl_functions1,HandlingInteger,TransformingToIntType
ae_adl_functions1,ModifyingStringCase,ConvertStringToUpperCase
ae_adl_functions1,ModifyingStringCase,ConvertStringToLowerCase
ae_adl_functions1,ModifyingStringCase,CapitalizeString
py_time_conversion,CheckingInForLoop,IfElifElseCheckingInForLoop
q_py_topic_dictionary:q_py_dict_access1,HandlingFunction,NestedFunctionCall
q_py_topic_dictionary:q_py_dict_access1,HandlingNestedFunction,CallingNestedFunction
q_py_topic_dictionary:q_py_dict_access1,HandlingDictionary,IndexingDictionary
q_py_topic_exceptions:q_py_list_except1,HandlingTuple,CreatingTuple
q_py_topic_exceptions:q_py_list_except1,HandlingTuple,SlicingTuple
q_py_topic_exceptions:q_py_list_except1,HandlingFloat,TransformingToFloatType
q_py_topic_if_statement:q_py_nested_if_elif1,WhileLoopWithUpdate,WhileLoopWith*=
q_py_topic_if_statement:q_py_nested_if_elif1,WhileLoopWithUpdate,WhileLoopWith+=
q_py_topic_if_statement:q_py_nested_if_elif2,CheckingInForLoop,IfElifElseCheckingInForLoop
q_py_topic_lists:q_py_list_access1,HandlingTuple,CreatingTuple
q_py_topic_lists:q_py_list_access1,HandlingTuple,SlicingTuple
q_py_topic_lists:q_py_list_access1,HandlingFloat,TransformingToFloatType
q_py_topic_lists:q_py_list_append1,HandlingTuple,CreatingTuple
q_py_topic_lists:q_py_list_append1,HandlingTuple,SlicingTuple
