exercise_name,parent,leaf_class
py_str_repeat2,WhileLoopWithUpdate,WhileLoopWith*=
py_file_input_stat,CheckingInWhileLoop,IfCheckingInWhileLoop
py_input_stat2,CheckingInWhileLoop,IfCheckingInWhileLoop
py_student_score,CheckingInForLoop,IfElifCheckingInForLoop
py_student_score,CheckingInForLoop,IfElifElseCheckingInForLoop
py_score_dict2,CheckingInWhileLoop,IfCheckingInWhileLoop
objects_classes_point,HandlingFunction,CallingFunctionLibrary
objects_classes_point,HandlingFunction,NestedFunctionCall
objects_classes_point,HandlingNestedFunction,CallingNestedFunction
py_char_dict,CheckingInWhileLoop,IfCheckingInWhileLoop
py_first_char_words_dict,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_hello,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_simple_arithmetics,HandlingAdvancedDataStructure,StackTask
ae_adl_strings,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_format1,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_format1,HandlingAdvancedDataStructure,BinaryTreeTask
ae_adl_format1,HandlingAdvancedDataStructure,LinkedListTask
ae_adl_format1,HandlingAdvancedDataStructure,StackTask
ae_adl_format1,HandlingError,HandlingSpecificError
ae_adl_format1,HandlingError,HandlingGeneralError
q_py_topic_dictionary:q_py_dict_access1,HandlingFunction,NestedFunctionCall
q_py_topic_dictionary:q_py_dict_access1,HandlingNestedFunction,CallingNestedFunction
q_py_topic_dictionary:q_py_dict_access1,HandlingTuple,CreatingTuple
q_py_topic_dictionary:q_py_dict_access1,HandlingTuple,SlicingTuple
q_py_topic_dictionary:q_py_dict_access1,HandlingFloat,TransformingToFloatType
q_py_topic_dictionary:q_py_dict_access2,HandlingTuple,SlicingTuple
q_py_topic_exceptions:q_py_list_except1,ForLoopWithUpdate,ForLoopWith+=
q_py_topic_exceptions:q_py_list_except1,HandlingTuple,CreatingTuple
q_py_topic_exceptions:q_py_list_except1,HandlingTuple,SlicingTuple
q_py_topic_exceptions:q_py_list_except1,HandlingFloat,TransformingToFloatType
q_py_topic_file_processing:q_py_file1,CheckingInWhileLoop,IfCheckingInWhileLoop
