exercise_name,parent,leaf_class
py_str_repeat2,WhileLoopWithUpdate,WhileLoopWith*=
py_file_input_stat,CheckingInWhileLoop,IfCheckingInWhileLoop
py_input_stat2,CheckingInWhileLoop,IfCheckingInWhileLoop
objects_classes_point,HandlingFunction,CallingFunctionLibrary
objects_classes_point,HandlingFunction,NestedFunctionCall
objects_classes_point,HandlingNestedFunction,CallingNestedFunction
ae_adl_arithmetics2,HandlingNestedFunction,CallingNestedFunction
ae_adl_format1,CheckingInWhileLoop,IfCheckingInWhileLoop
ae_adl_format1,HandlingAdvancedDataStructure,BinaryTreeTask
ae_adl_format1,HandlingAdvancedDataStructure,LinkedListTask
ae_adl_format1,HandlingAdvancedDataStructure,StackTask
ae_adl_format1,HandlingError,HandlingSpecificError
ae_adl_format1,HandlingError,HandlingGeneralError
ae_adl_functions1,HandlingInteger,TransformingToIntType
ae_adl_functions1,ModifyingStringCase,ConvertStringToUpperCase
ae_adl_functions1,ModifyingStringCase,ConvertStringToLowerCase
ae_adl_functions1,ModifyingStringCase,CapitalizeString
q_py_topic_dictionary:q_py_dict_access1,CheckingInForLoop,IfElifCheckingInForLoop
q_py_topic_dictionary:q_py_dict_access1,CheckingInForLoop,IfElifElseCheckingInForLoop
q_py_topic_dictionary:q_py_dict_access1,CheckingInWhileLoop,IfElseCheckingInWhileLoop
q_py_topic_dictionary:q_py_dict_access1,HandlingFunctionCallingFunction,CallingFunctionCallingFunction
q_py_topic_dictionary:q_py_dict_access1,HandlingTuple,CreatingTuple
q_py_topic_dictionary:q_py_dict_access1,HandlingTuple,SlicingTuple
q_py_topic_dictionary:q_py_dict_access1,HandlingFloat,TransformingToFloatType
q_py_topic_dictionary:q_py_dict_access2,CheckingInForLoop,IfElifCheckingInForLoop
q_py_topic_file_processing:q_py_file1,CheckingInWhileLoop,IfCheckingInWhileLoop
q_py_topic_functions:q_py_fun_car1,WhileLoopWithUpdate,WhileLoopWith*=
q_py_topic_functions:q_py_fun_car1,WhileLoopWithUpdate,WhileLoopWith+=
q_py_topic_if_statement:q_py_if_elif1,HandlingObjectOrientedProgramming,CallingOOPMethod
