exercise_name,parent,leaf_class
py_fail_course,ClassMethod,__init()__
py_fail_course,ComparisonOperator,LessOrEqual
py_fail_course3,ClassMethod,__init()__
py_fail_course3,ComparisonOperator,LessOrEqual
py_phone_age,ClassMethod,__init()__
py_phone_age,ComparisonOperator,LessOrEqual
py_rent_car,ClassMethod,__init()__
py_check_age,ArtithmeticOperator,*
py_check_age2,ClassMethod,__init()__
py_check_age2,ArtithmeticOperator,*
py_three_boolean,ImportStatement,ImportFrom
py_boolean_dry_hot,ClassMethod,__init()__
py_boolean_dry_hot3,ClassMethod,__init()__
py_boolean_dry_hot3,ComparisonOperator,LessOrEqual
py_boolean_dry_hot4,ComparisonOperator,LessOrEqual
py_file_input_stat,ClassMethod,__init()__
py_file_input_stat,ArtithmeticOperator,*
py_input_stat2,ClassMethod,__init()__
py_input_stat2,ArtithmeticOperator,*
py_student_score,ArtithmeticOperator,*
bjects_classes_loan,ClassMethod,__init()__
bjects_classes_loan,ComparisonOperator,LessOrEqual
py_loan2,ClassMethod,__init()__
py_loan2,ComparisonOperator,LessOrEqual
py_tv2,ClassMethod,__init()__
py_tv2,ArtithmeticOperator,*
objects_classes_point,ClassMethod,__init()__
objects_classes_point,ArtithmeticOperator,*
py_point2,ClassMethod,__init()__
py_point2,ComparisonOperator,LessOrEqual
py_char_dict,ArtithmeticOperator,*
ae_adl_hello,ClassMethod,__init()__
ae_adl_variables,ComparisonOperator,LessOrEqual
ae_adl_simple_arithmetics,ComparisonOperator,LessOrEqual
ae_adl_logic,ComparisonOperator,LessOrEqual
ae_adl_greet,ClassMethod,__init()__
ae_adl_hiscore1,ComparisonOperator,LessOrEqual
ae_adl_ifelifelse,ClassMethod,__init()__
ae_adl_nested_if,ClassMethod,__init()__
ae_adl_strings,ArtithmeticOperator,*
ae_adl_lists1,ComparisonOperator,LessOrEqual
ae_adl_format1,ComparisonOperator,LessOrEqual
ae_adl_format2,ClassMethod,__init()__
ae_adl_findmax,ClassMethod,__init()__
ae_adl_functions1,ClassMethod,__init()__
ae_adl_returnvalue,ClassMethod,__init()__
ae_adl_functions2,ComparisonOperator,LessOrEqual
ae_adl_functions3,ClassMethod,__init()__
ae_adl_dict2,ArtithmeticOperator,*
ae_adl_dict3,ComparisonOperator,LessOrEqual
ae_adl_objects1,ComparisonOperator,LessOrEqual
ae_adl_objects2,ClassMethod,__init()__
py_concat_str_num,ClassMethod,__init()__
py_concat_str_num,ArtithmeticOperator,*
py_concat_str_num2,ClassMethod,__init()__
py_concat_string_num3,ClassMethod,__init()__
py_time_conversion,ClassMethod,__init()__
py_display_time2,ClassMethod,__init()__
py_bmi_calculator,ComparisonOperator,Less
py_bmi_calculator,ComparisonOperator,LargerOrEqual
py_bmi_calculator,ComparisonOperator,NotEqual
py_bmi_calculator,MembershipOperator,in
py_bmi_calculator2,ComparisonOperator,Less
py_bmi_calculator2,ComparisonOperator,NotEqual
py_bmi_calculator2,MembershipOperator,in
py_pythagorean_theorem2,ClassMethod,__init()__
py_pythagorean_theorem2,ComparisonOperator,LessOrEqual
py_f_to_c_conversion,ImportStatement,ImportFrom
py_vending_machine2,ArtithmeticOperator,*
py_nested_if_min_max,ClassMethod,__init()__
py_nested_if_min_max,ComparisonOperator,LessOrEqual
py_nested_if_max_of_three,ComparisonOperator,LessOrEqual
py_nested_if_temperature,ClassMethod,__init()__
py_nested_if_temperature,ComparisonOperator,LessOrEqual
py_if_else_grade,ArtithmeticOperator,*
q_py_topic_exceptions:q_py_exception_assertion,ClassMethod,__init()__
q_py_topic_exceptions:q_py_exceptions_addarr,ClassMethod,__init()__
q_py_topic_exceptions:q_py_list_except1,ClassMethod,__init()__
q_py_topic_exceptions:q_py_value_except1,ClassMethod,__init()__
q_py_topic_exceptions:q_py_value_except1,BuiltInFunction,min()
q_py_topic_file_processing:q_py_file1,ClassMethod,__init()__
q_py_topic_functions:q_py_fun_car1,ArtithmeticOperator,*
q_py_topic_functions:q_py_fun_car2,ClassMethod,__init()__
q_py_topic_functions:q_py_fun_car2,ArtithmeticOperator,*
q_py_topic_if_statement:q_py_if_elif1,ClassMethod,__init()__
q_py_topic_if_statement:q_py_nested_if1,ComparisonOperator,LessOrEqual
q_py_topic_if_statement:q_py_nested_if_elif1,ClassMethod,__init()__
q_py_topic_if_statement:q_py_nested_if_elif2,ArtithmeticOperator,*
q_py_topic_lists:q_py_add_two_lists1,ClassMethod,__init()__
q_py_topic_lists:q_py_add_two_lists1,ArtithmeticOperator,*
q_py_topic_lists:q_py_list_append1,ClassMethod,__init()__
q_py_topic_lists:q_py_list_append1,ArtithmeticOperator,*
q_py_topic_logical_operators:q_py_account_logic1,LiteralCollection,SetLiteral
q_py_topic_logical_operators:q_py_account_logic1,ArtithmeticOperator,*
q_py_topic_logical_operators:q_py_comparison_logic1,ClassMethod,__init()__
q_py_topic_loops:q_py_nested_while1,ClassMethod,__init()__
q_py_topic_loops:q_py_while_loop1,ClassMethod,__init()__
