exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,12,13,12,0,1,1.0000,0.9231,0.9600,0.9231,0.0000
ae_adl_comparison,12,9,8,4,1,0.6667,0.8889,0.7619,0.6154,0.0000
ae_adl_dict1,15,14,12,3,2,0.8000,0.8571,0.8276,0.7059,0.0000
ae_adl_dict2,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
ae_adl_dict3,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
ae_adl_file1,17,15,15,2,0,0.8824,1.0000,0.9375,0.8824,0.0000
ae_adl_file2,18,16,15,3,1,0.8333,0.9375,0.8824,0.7895,0.0000
ae_adl_findmax,14,14,12,2,2,0.8571,0.8571,0.8571,0.7500,0.0000
ae_adl_for,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_format1,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_format2,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions1,4,5,4,0,1,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_functions2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions3,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,4,4,4,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hiscore1,10,11,9,1,2,0.9000,0.8182,0.8571,0.7500,0.0000
ae_adl_hiscore2,12,11,10,2,1,0.8333,0.9091,0.8696,0.7692,0.0000
ae_adl_ifelifelse,11,11,9,2,2,0.8182,0.8182,0.8182,0.6923,0.0000
ae_adl_ifelse,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
ae_adl_input1,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_input2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists1,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
ae_adl_lists2,10,10,9,1,1,0.9000,0.9000,0.9000,0.8182,0.0000
ae_adl_lists3,15,15,14,1,1,0.9333,0.9333,0.9333,0.8750,0.0000
ae_adl_logic,13,12,11,2,1,0.8462,0.9167,0.8800,0.7857,0.0000
ae_adl_nested_if,13,12,10,3,2,0.7692,0.8333,0.8000,0.6667,0.0000
ae_adl_objects1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_adl_objects2,19,18,17,2,1,0.8947,0.9444,0.9189,0.8500,0.0000
ae_adl_objects3,14,16,13,1,3,0.9286,0.8125,0.8667,0.7647,0.0000
ae_adl_recursion,15,13,13,2,0,0.8667,1.0000,0.9286,0.8667,0.0000
ae_adl_returnvalue,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_simple_arithmetics,8,10,8,0,2,1.0000,0.8000,0.8889,0.8000,0.0000
ae_adl_strings,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_adl_swap,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_tryexcept1,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_tryexcept2,15,15,15,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_vals_refs1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_vals_refs2,8,10,7,1,3,0.8750,0.7000,0.7778,0.6364,0.0000
ae_adl_vals_refs3,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_variables,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_adl_while,11,12,10,1,2,0.9091,0.8333,0.8696,0.7692,0.0000
ae_python_assignment,6,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_class1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_python_class2,17,19,15,2,4,0.8824,0.7895,0.8333,0.7143,0.0000
ae_python_file,23,19,18,5,1,0.7826,0.9474,0.8571,0.7500,0.0000
ae_python_float,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
ae_python_for,9,9,8,1,1,0.8889,0.8889,0.8889,0.8000,0.0000
ae_python_function,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
ae_python_if,14,9,7,7,2,0.5000,0.7778,0.6087,0.4375,0.0000
ae_python_input,6,7,6,0,1,1.0000,0.8571,0.9231,0.8571,0.0000
ae_python_intro,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_list,19,19,16,3,3,0.8421,0.8421,0.8421,0.7273,0.0000
