exercise_name,parent,leaf_class
py_fail_course,ComparisonOperator,LessOrEqual
py_fail_course,ImportStatement,ImportFrom
py_fail_course2,ComparisonOperator,LessOrEqual
py_fail_course3,ComparisonOperator,LessOrEqual
py_phone_age,ClassMethod,__init()__
py_rent_car,ClassMethod,__init()__
py_rent_car2,ComparisonOperator,LessOrEqual
py_rent_car2,ImportStatement,ImportFrom
py_check_age,ClassMethod,__init()__
py_check_age,ArtithmeticOperator,*
py_check_age2,ClassMethod,__init()__
py_check_age2,ArtithmeticOperator,*
py_three_boolean,ImportStatement,ImportFrom
py_three_boolean3,ClassMethod,__init()__
py_boolean_dry_hot,ClassMethod,__init()__
py_boolean_dry_hot4,ClassMethod,__init()__
py_boolean_dry_hot4,ComparisonOperator,LessOrEqual
py_file_input_stat,ClassMethod,__init()__
py_input_stat2,ArtithmeticOperator,*
py_student_score,ArtithmeticOperator,*
py_score_dict2,ComparisonOperator,LessOrEqual
py_loan2,ClassMethod,__init()__
py_tv2,ClassMethod,__init()__
py_tv2,ArtithmeticOperator,*
objects_classes_point,ClassMethod,__init()__
py_point2,ComparisonOperator,LessOrEqual
objects_classes_account,ClassMethod,__init()__
py_account2,ClassMethod,__init()__
py_first_char_words_dict,ClassMethod,__init()__
ae_adl_comparison,ClassMethod,__init()__
ae_adl_logic,ComparisonOperator,LessOrEqual
ae_adl_returnvalue,ClassMethod,__init()__
ae_adl_functions2,ComparisonOperator,LessOrEqual
ae_adl_recursion,ClassMethod,__init()__
ae_adl_dict1,ClassMethod,__init()__
ae_adl_dict2,ComparisonOperator,LessOrEqual
ae_adl_dict3,ComparisonOperator,LessOrEqual
py_concat_str_num,ClassMethod,__init()__
py_concat_str_num2,ClassMethod,__init()__
py_concat_string_num3,ClassMethod,__init()__
py_bmi_calculator,ComparisonOperator,Less
py_bmi_calculator,ComparisonOperator,NotEqual
py_bmi_calculator,MembershipOperator,in
py_bmi_calculator2,ComparisonOperator,Less
py_bmi_calculator2,ComparisonOperator,NotEqual
py_bmi_calculator2,MembershipOperator,in
py_vending_machine2,ComparisonOperator,LessOrEqual
