exercise_name,parent,leaf_class,reason,score
py_fail_course,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course,Call,FunctionCall,Multiple function calls are used such as input(), int(), and print() to read inputs, convert types, and output results.,5
py_fail_course,ArithmeticExpression,BinaryOperation,Binary operations are used in comparisons (exam_score < 55, number_of_missing_hw > 2) and in the boolean expression combining them with 'or'.,5
py_fail_course,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course,LogicalExpression,ComparisonExpression,Comparison expressions are used to compare exam_score and number_of_missing_hw against thresholds.,5
py_fail_course,LogicalExpression,BooleanExpression,Boolean expressions are used to combine comparison results with 'or' and in the if condition.,5
py_fail_course,Literal,StringLiteral,String literals are used in input prompts and print statements.,5
py_fail_course,Literal,BooleanLiteral,Boolean literals are implicitly used in the if condition (is_failing == True), though True is explicitly used.,4
py_fail_course,Literal,NoneLiteral,None literal is not used anywhere in the snippet.,0
py_fail_course,NumericLiteral,FloatLiteral,No float literals are used; only integers are involved.,0
py_fail_course,NumericLiteral,IntegerLiteral,Integer literals are used in comparisons (55, 2) and in int() conversions.,5
py_fail_course,LiteralCollection,TupleLiteral,No tuple literals are used.,0
py_fail_course,LiteralCollection,SetLiteral,No set literals are used.,0
py_fail_course,LiteralCollection,ListLiteral,No list literals are used.,0
py_fail_course,LiteralCollection,DictLiteral,No dictionary literals are used.,0
py_fail_course,Error,TypeError,No explicit error handling or raising of TypeError is present.,0
py_fail_course,Error,OSError,No OSError handling or raising.,0
py_fail_course,Error,IndexError,No indexing or slicing that could cause IndexError.,0
py_fail_course,Error,IOError,No IOError handling or raising.,0
py_fail_course,Error,FileNotFoundError,No file operations are performed.,0
py_fail_course,Error,ValueError,No explicit error handling for ValueError, though int() conversion could raise it implicitly.,1
py_fail_course,Error,AssertionError,No assertions are used.,0
py_fail_course,StringMethod,split(),No use of split() method on strings.,0
py_fail_course,StringMethod,lower(),No use of lower() method.,0
py_fail_course,StringMethod,join(),No use of join() method.,0
py_fail_course,StringMethod,format(),No use of format() method.,0
py_fail_course,StringMethod,capitalize(),No use of capitalize() method.,0
py_fail_course,StringMethod,rstrip(),No use of rstrip() method.,0
py_fail_course,StringMethod,replace(),No use of replace() method.,0
py_fail_course,DictionaryMethod,values(),No dictionaries used, so no values() method.,0
py_fail_course,DictionaryMethod,keys(),No dictionaries used, so no keys() method.,0
py_fail_course,DictionaryMethod,items(),No dictionaries used, so no items() method.,0
py_fail_course,DictionaryMethod,get(),No dictionaries used, so no get() method.,0
py_fail_course,ClassMethod,__init()__,No classes or __init__ methods used.,0
py_fail_course,ListMethod,reverse(),No lists or reverse() method used.,0
py_fail_course,ListMethod,insert(),No lists or insert() method used.,0
py_fail_course,ListMethod,remove(),No lists or remove() method used.,0
py_fail_course,ListMethod,append(),No lists or append() method used.,0
py_fail_course,ListMethod,pop(),No lists or pop() method used.,0
py_fail_course,FileMethod,readline(),No file operations or readline() method used.,0
py_fail_course,FileMethod,close(),No file operations or close() method used.,0
py_fail_course,FileMethod,read(),No file operations or read() method used.,0
py_fail_course,Operator,=,=,Assignment operator '=' is used multiple times to assign variables.,5
py_fail_course,ComparisonOperator,LessOrEqual,<=,Less or equal operator is not used.,0
py_fail_course,ComparisonOperator,Less,<,Less than operator is used in exam_score < 55.,5
py_fail_course,ComparisonOperator,Larger,>,Greater than operator is used in number_of_missing_hw > 2.,5
py_fail_course,ComparisonOperator,LargerOrEqual,>=,Greater or equal operator is not used.,0
py_fail_course,ComparisonOperator,==,==,Equality operator is used in if condition (is_failing == True).,5
