exercise_name,parent,leaf_class
py_fail_course,ArithmeticOperation,FindAbsolute
py_fail_course,HandlingFloat,TransformingToFloatType
py_fail_course,HandlingDictionary,IndexingDictionary
py_fail_course,HandlingList,SlicingList
py_fail_course,AddingListElement,AddingListElementWithInsert
py_fail_course,AddingListElement,AddingListElementWithAppend
py_fail_course,HandlingString,SplittingString
py_fail_course2,HandlingTuple,CreatingTuple
py_fail_course2,HandlingTuple,SlicingTuple
py_fail_course2,HandlingTuple,IndexingTuple
py_fail_course2,HandlingFloat,TransformingToFloatType
py_fail_course2,HandlingDictionary,IndexingDictionary
py_fail_course2,HandlingList,SlicingList
py_fail_course2,AddingListElement,AddingListElementWithInsert
py_fail_course2,AddingListElement,AddingListElementWithAppend
py_fail_course2,HandlingFile,ClosingFile
py_fail_course2,HandlingFile,ReadingLine
py_fail_course2,HandlingFile,OpeningFile
py_fail_course2,HandlingString,ReplacingStringContent
py_fail_course3,NonNestedIteration,SingleWhileLoopIteration
py_fail_course3,ArithmeticOperation,FindAbsolute
py_fail_course3,HandlingTuple,CreatingTuple
py_fail_course3,HandlingTuple,SlicingTuple
py_fail_course3,HandlingTuple,IndexingTuple
py_fail_course3,HandlingFloat,TransformingToFloatType
py_fail_course3,HandlingDictionary,IndexingDictionary
py_fail_course3,HandlingList,SlicingList
py_fail_course3,AddingListElement,AddingListElementWithInsert
py_fail_course3,AddingListElement,AddingListElementWithAppend
py_fail_course3,HandlingFile,ClosingFile
py_fail_course3,HandlingFile,ReadingLine
py_fail_course3,HandlingFile,OpeningFile
py_fail_course3,HandlingString,TransformingToStringType
py_phone_age,NonNestedIteration,SingleWhileLoopIteration
py_phone_age,ArithmeticOperation,FindAbsolute
py_phone_age,ArithmeticOperation,FindRemainder
py_phone_age,ArithmeticOperation,Round
py_phone_age,ArithmeticOperation,Power
py_phone_age,ArithmeticOperation,FindMinimum
py_phone_age,HandlingDictionary,IndexingDictionary
py_phone_age,HandlingList,SlicingList
py_phone_age,AddingListElement,AddingListElementWithInsert
py_phone_age,AddingListElement,AddingListElementWithAppend
py_phone_age,HandlingFile,ClosingFile
py_phone_age,HandlingFile,ReadingLine
py_phone_age,HandlingFile,OpeningFile
py_phone_age2,NonNestedIteration,SingleWhileLoopIteration
py_phone_age2,NestedLoopIteration,MixedNestedLoopIteration
py_phone_age2,NestedLoopIteration,NestedForLoopIteration
py_phone_age2,NestedLoopIteration,NestedWhileLoopIteration
py_phone_age2,ArithmeticOperation,FindAbsolute
py_phone_age2,HandlingFloat,TransformingToFloatType
py_phone_age2,HandlingDictionary,IndexingDictionary
py_phone_age2,HandlingList,SlicingList
py_phone_age2,AddingListElement,AddingListElementWithInsert
py_phone_age2,AddingListElement,AddingListElementWithAppend
py_phone_age2,HandlingString,SplittingString
py_rent_car,HandlingTuple,CreatingTuple
py_rent_car,HandlingTuple,SlicingTuple
py_rent_car,HandlingTuple,IndexingTuple
py_rent_car,HandlingFloat,TransformingToFloatType
py_rent_car,HandlingDictionary,ReplacingDictionaryElement
py_rent_car,HandlingDictionary,IndexingDictionary
py_rent_car,HandlingDictionary,AddingItemToDictionary
py_rent_car,HandlingList,SlicingList
py_rent_car,HandlingList,ReversingList
py_rent_car,AddingListElement,AddingListElementWithInsert
py_rent_car,AddingListElement,AddingListElementWithAppend
py_rent_car,HandlingFile,ClosingFile
py_rent_car,HandlingFile,ReadingLine
py_rent_car,HandlingFile,OpeningFile
py_rent_car,HandlingString,ReplacingStringContent
py_rent_car2,ArithmeticOperation,FindAbsolute
py_rent_car2,HandlingDictionary,IndexingDictionary
py_rent_car2,HandlingList,ReversingList
py_rent_car2,HandlingString,TransformingToStringType
py_rent_car3,CheckingCondition,AssertChecking
py_rent_car3,HandlingFloat,TransformingToFloatType
py_rent_car3,HandlingList,SlicingList
py_rent_car3,HandlingList,ReversingList
py_rent_car3,HandlingFile,ClosingFile
py_rent_car3,HandlingFile,ReadingLine
py_rent_car3,HandlingFile,OpeningFile
py_rent_car3,HandlingString,ReplacingStringContent
py_check_age,WhileLoopWithUpdate,WhileLoopWith*=
py_check_age,WhileLoopWithUpdate,WhileLoopWith+=
py_check_age,ForLoopWithUpdate,ForLoopWith+=
py_check_age,ForLoopWithUpdate,ForLoopWith*=
py_check_age,ArithmeticOperation,FindAbsolute
py_check_age,HandlingFloat,TransformingToFloatType
py_check_age,HandlingDictionary,ReplacingDictionaryElement
py_check_age,HandlingDictionary,IndexingDictionary
py_check_age,HandlingDictionary,AddingItemToDictionary
py_check_age,HandlingList,DeletingListElement
py_check_age,HandlingList,ListReferencing
py_check_age,HandlingList,ReversingList
