exercise_name,parent,leaf_class
py_fail_course,HandlingTuple,CreatingTuple
py_fail_course,HandlingTuple,SlicingTuple
py_fail_course,HandlingTuple,IndexingTuple
py_fail_course,HandlingFloat,TransformingToFloatType
py_fail_course,HandlingDictionary,IndexingDictionary
py_fail_course,HandlingList,SlicingList
py_fail_course2,HandlingFloat,TransformingToFloatType
py_fail_course2,HandlingDictionary,IndexingDictionary
py_fail_course2,HandlingList,SlicingList
py_fail_course2,HandlingString,ReplacingStringContent
py_fail_course3,NonNestedIteration,SingleWhileLoopIteration
py_fail_course3,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_fail_course3,WhileLoopWithUpdate,WhileLoopWith*=
py_fail_course3,WhileLoopWithUpdate,WhileLoopWith+=
py_fail_course3,ForLoopWithUpdate,ForLoopWith+=
py_fail_course3,ForLoopWithUpdate,ForLoopWith*=
py_fail_course3,ForLoopWithUpdate,ForLoopWithListIndexing
py_fail_course3,HandlingDictionary,IndexingDictionary
py_fail_course3,HandlingList,ReversingList
py_fail_course3,HandlingFile,ClosingFile
py_fail_course3,HandlingFile,ReadingLine
py_fail_course3,HandlingFile,OpeningFile
py_phone_age,ArithmeticOperation,FindAbsolute
py_phone_age,HandlingFloat,TransformingToFloatType
py_phone_age,HandlingDictionary,IndexingDictionary
py_phone_age,HandlingList,ReversingList
py_phone_age2,HandlingTuple,CreatingTuple
py_phone_age2,HandlingTuple,SlicingTuple
py_phone_age2,HandlingTuple,IndexingTuple
py_phone_age2,HandlingFloat,TransformingToFloatType
py_phone_age2,HandlingDictionary,IndexingDictionary
py_phone_age2,HandlingList,SlicingList
py_phone_age2,AddingListElement,AddingListElementWithInsert
py_phone_age2,AddingListElement,AddingListElementWithAppend
py_phone_age2,HandlingFile,ClosingFile
py_phone_age2,HandlingFile,ReadingLine
py_phone_age2,HandlingFile,OpeningFile
py_phone_age2,HandlingString,ReplacingStringContent
py_phone_age2,HandlingString,TransformingToStringType
py_rent_car,HandlingTuple,CreatingTuple
py_rent_car,HandlingTuple,SlicingTuple
py_rent_car,HandlingTuple,IndexingTuple
py_rent_car,HandlingFloat,TransformingToFloatType
py_rent_car,HandlingDictionary,IndexingDictionary
py_rent_car,HandlingList,SlicingList
py_rent_car,HandlingList,ReversingList
py_rent_car,HandlingString,ReplacingStringContent
py_rent_car2,HandlingFloat,TransformingToFloatType
py_rent_car2,HandlingDictionary,IndexingDictionary
py_rent_car2,HandlingList,SlicingList
py_rent_car2,AddingListElement,AddingListElementWithInsert
py_rent_car2,AddingListElement,AddingListElementWithAppend
py_rent_car2,HandlingString,ReplacingStringContent
py_rent_car2,HandlingString,TransformingToStringType
py_rent_car3,ArithmeticOperation,FindAbsolute
py_rent_car3,HandlingFloat,TransformingToFloatType
py_rent_car3,HandlingDictionary,IndexingDictionary
py_rent_car3,HandlingList,ReversingList
py_rent_car3,HandlingString,SplittingString
py_check_age,WhileLoopWithUpdate,WhileLoopWithListIndexing
py_check_age,WhileLoopWithUpdate,WhileLoopWith*=
py_check_age,WhileLoopWithUpdate,WhileLoopWith+=
py_check_age,ForLoopWithUpdate,ForLoopWith+=
py_check_age,ForLoopWithUpdate,ForLoopWith*=
py_check_age,ForLoopWithUpdate,ForLoopWithListIndexing
py_check_age,NestedLoopIteration,NestedForLoopIteration
py_check_age,NestedLoopIteration,NestedWhileLoopIteration
py_check_age,ArithmeticOperation,FindAbsolute
py_check_age,ArithmeticOperation,FindRemainder
py_check_age,ArithmeticOperation,Round
py_check_age,ArithmeticOperation,Power
py_check_age,HandlingDictionary,IndexingDictionary
py_check_age,HandlingDictionary,CreatingDictionary
py_check_age,HandlingList,SlicingList
py_check_age,HandlingList,ListReferencing
py_check_age,HandlingString,ReplacingStringContent
py_check_age,HandlingString,TransformingToStringType
py_check_age2,ForLoopWithUpdate,ForLoopWith+=
py_check_age2,ForLoopWithUpdate,ForLoopWith*=
py_check_age2,ForLoopWithUpdate,ForLoopWithListIndexing
py_three_boolean,ArithmeticOperation,FindAbsolute
py_three_boolean,ArithmeticOperation,FindMinimum
py_three_boolean,HandlingDictionary,IndexingDictionary
py_three_boolean,HandlingList,SlicingList
py_three_boolean,AddingListElement,AddingListElementWithInsert
py_three_boolean,AddingListElement,AddingListElementWithAppend
py_three_boolean2,ArithmeticOperation,FindAbsolute
py_three_boolean2,ArithmeticOperation,FindMinimum
py_three_boolean2,HandlingDictionary,IndexingDictionary
py_three_boolean2,HandlingList,ReversingList
py_three_boolean3,Python,Concatenation
py_three_boolean3,CheckingCondition,AssertChecking
py_three_boolean3,ArithmeticOperation,FindAbsolute
py_three_boolean3,ArithmeticOperation,FindRemainder
py_three_boolean3,ArithmeticOperation,Round
py_three_boolean3,ArithmeticOperation,Power
py_three_boolean3,ArithmeticOperation,FindMinimum
py_three_boolean3,HandlingTuple,SlicingTuple
py_three_boolean3,HandlingFloat,TransformingToFloatType
py_three_boolean3,HandlingDictionary,ReplacingDictionaryElement
py_three_boolean3,HandlingDictionary,IndexingDictionary
py_three_boolean3,HandlingDictionary,AddingItemToDictionary
py_three_boolean3,HandlingList,DeletingListElement
py_three_boolean3,HandlingList,SlicingList
py_three_boolean3,HandlingList,ReplacingListElement
py_three_boolean3,HandlingList,ListReferencing
py_three_boolean3,HandlingList,ReversingList
py_three_boolean3,AddingListElement,AddingListElementWithInsert
py_three_boolean3,AddingListElement,AddingListElementWithAppend
py_boolean_dry_hot,ArithmeticOperation,FindAbsolute
py_boolean_dry_hot,HandlingFloat,TransformingToFloatType
py_boolean_dry_hot,HandlingDictionary,IndexingDictionary
py_boolean_dry_hot,HandlingList,SlicingList
py_boolean_dry_hot,AddingListElement,AddingListElementWithInsert
py_boolean_dry_hot,AddingListElement,AddingListElementWithAppend
py_boolean_dry_hot2,HandlingDictionary,IndexingDictionary
py_boolean_dry_hot2,HandlingList,ReversingList
py_boolean_dry_hot2,HandlingString,SplittingString
py_boolean_dry_hot3,HandlingDictionary,IndexingDictionary
py_boolean_dry_hot3,HandlingList,ReversingList
py_boolean_dry_hot3,HandlingFile,ClosingFile
py_boolean_dry_hot3,HandlingFile,ReadingLine
py_boolean_dry_hot3,HandlingFile,OpeningFile
py_boolean_dry_hot4,ArithmeticOperation,FindAbsolute
py_boolean_dry_hot4,HandlingFloat,TransformingToFloatType
py_boolean_dry_hot4,HandlingDictionary,IndexingDictionary
py_boolean_dry_hot4,HandlingList,SlicingList
py_boolean_dry_hot4,AddingListElement,AddingListElementWithInsert
py_boolean_dry_hot4,AddingListElement,AddingListElementWithAppend
py_str_repeat_chars,ArithmeticOperation,FindAbsolute
py_str_repeat_chars,ArithmeticOperation,FindRemainder
py_str_repeat_chars,ArithmeticOperation,FindMaximum
py_str_repeat_chars,ArithmeticOperation,Round
