exercise_name,parent,leaf_class
py_fail_course,ClassMethod,__init()__
py_fail_course2,ClassMethod,__init()__
py_phone_age,ClassMethod,__init()__
py_phone_age,ImportStatement,ImportFrom
py_phone_age2,ClassMethod,__init()__
py_rent_car,ClassMethod,__init()__
py_rent_car2,ClassMethod,__init()__
py_rent_car3,ClassMethod,__init()__
py_check_age,ClassMethod,__init()__
py_check_age2,ClassMethod,__init()__
py_three_boolean2,ClassMethod,__init()__
py_three_boolean3,ClassMethod,__init()__
py_boolean_dry_hot4,ClassMethod,__init()__
py_str_repeat2,ClassMethod,__init()__
py_str_repeat2,MembershipOperator,in
py_str_repeat2,LogicalOperator,and
py_str_repeat2,LogicalOperator,or
py_str_repeat2,LogicalOperator,not
py_str_repeat2,ArtithmeticOperator,//
py_str_repeat2,ArtithmeticOperator,-
py_str_repeat2,ArtithmeticOperator,/
py_str_repeat2,ArtithmeticOperator,**
py_str_repeat2,ArtithmeticOperator,Modulus
py_str_repeat2,ConditionalStatement,IfElifElseStatement
py_str_repeat2,ConditionalStatement,IfStatement
py_str_repeat2,ConditionalStatement,IfElseStatement
py_str_repeat2,ConditionalStatement,IfElifStatement
py_str_repeat2,ImportStatement,Import
py_str_repeat2,ImportStatement,ImportFrom
py_str_repeat2,JumpStatement,PassStatement
py_str_repeat2,JumpStatement,BreakStatement
py_str_repeat2,JumpStatement,ContinueStatement
py_str_repeat2,JumpStatement,ReturnStatement
py_str_repeat2,IterationStatement,WhileStatement
py_str_repeat2,ExceptionHandlingStatement,TryStatement
py_str_repeat2,ExceptionHandlingStatement,RaiseStatement
py_str_repeat2,ExceptionHandlingStatement,AssertStatement
py_str_repeat2,AssignmentStatement,AugmentedAssignmentStatement
py_str_repeat2,DefinitionStatement,ClassDefinition
py_str_repeat2,BuiltInFunction,dict()
py_str_repeat2,BuiltInFunction,str()
py_str_repeat2,BuiltInFunction,next()
py_str_repeat2,BuiltInFunction,input()
py_str_repeat2,BuiltInFunction,int()
py_str_repeat2,BuiltInFunction,max()
py_str_repeat2,BuiltInFunction,float()
py_str_repeat2,BuiltInFunction,set()
py_str_repeat2,BuiltInFunction,open()
py_str_repeat2,BuiltInFunction,tuple()
py_str_repeat2,BuiltInFunction,abs()
py_str_repeat2,BuiltInFunction,round()
py_str_repeat2,BuiltInFunction,min()
py_str_repeat2,BuiltInFunction,list()
py_file_input_stat,Statement,ExpressionStatement
py_file_input_stat,ConditionalStatement,IfElifElseStatement
py_file_input_stat,ConditionalStatement,IfElseStatement
py_file_input_stat,ConditionalStatement,IfElifStatement
py_file_input_stat,JumpStatement,PassStatement
py_file_input_stat,JumpStatement,BreakStatement
py_file_input_stat,JumpStatement,ContinueStatement
py_file_input_stat,JumpStatement,ReturnStatement
py_file_input_stat,IterationStatement,WhileStatement
py_file_input_stat,DefinitionStatement,ClassDefinition
py_file_input_stat,BuiltInFunction,dict()
py_file_input_stat,BuiltInFunction,next()
py_file_input_stat,BuiltInFunction,int()
py_file_input_stat,BuiltInFunction,max()
py_file_input_stat,BuiltInFunction,float()
py_file_input_stat,BuiltInFunction,set()
py_file_input_stat,BuiltInFunction,range()
py_file_input_stat,BuiltInFunction,tuple()
py_file_input_stat,BuiltInFunction,abs()
py_file_input_stat,BuiltInFunction,round()
py_file_input_stat,BuiltInFunction,min()
py_file_input_stat,BuiltInFunction,list()
py_student_score,ClassMethod,__init()__
py_score_dict2,ClassMethod,__init()__
bjects_classes_loan,ArtithmeticOperator,+
bjects_classes_loan,BuiltInFunction,dict()
bjects_classes_loan,BuiltInFunction,str()
bjects_classes_loan,BuiltInFunction,next()
bjects_classes_loan,BuiltInFunction,max()
bjects_classes_loan,BuiltInFunction,set()
bjects_classes_loan,BuiltInFunction,open()
bjects_classes_loan,BuiltInFunction,range()
bjects_classes_loan,BuiltInFunction,tuple()
bjects_classes_loan,BuiltInFunction,abs()
bjects_classes_loan,BuiltInFunction,round()
bjects_classes_loan,BuiltInFunction,len()
bjects_classes_loan,BuiltInFunction,min()
bjects_classes_loan,BuiltInFunction,list()
py_tv2,ArtithmeticOperator,/
py_tv2,ArtithmeticOperator,*
py_tv2,Statement,ExpressionStatement
py_tv2,ConditionalStatement,IfElifElseStatement
py_tv2,ConditionalStatement,IfElseStatement
py_tv2,ConditionalStatement,IfElifStatement
py_tv2,IterationStatement,ForStatement
py_tv2,IterationStatement,WhileStatement
py_tv2,ExceptionHandlingStatement,TryStatement
py_tv2,ExceptionHandlingStatement,RaiseStatement
py_tv2,ExceptionHandlingStatement,AssertStatement
py_tv2,AssignmentStatement,AugmentedAssignmentStatement
py_tv2,BuiltInFunction,dict()
py_tv2,BuiltInFunction,next()
py_tv2,BuiltInFunction,input()
py_tv2,BuiltInFunction,int()
py_tv2,BuiltInFunction,max()
py_tv2,BuiltInFunction,float()
py_tv2,BuiltInFunction,set()
py_tv2,BuiltInFunction,open()
py_tv2,BuiltInFunction,range()
py_tv2,BuiltInFunction,tuple()
