exercise_name,parent,leaf_class
py_fail_course3,ClassMethod,__init()__
py_phone_age,ClassMethod,__init()__
py_phone_age,ImportStatement,ImportFrom
py_rent_car2,ClassMethod,__init()__
py_rent_car3,ClassMethod,__init()__
py_check_age,ClassMethod,__init()__
py_check_age2,ClassMethod,__init()__
py_three_boolean,ClassMethod,__init()__
py_three_boolean3,ClassMethod,__init()__
py_boolean_dry_hot,ClassMethod,__init()__
py_boolean_dry_hot2,ClassMethod,__init()__
py_boolean_dry_hot4,ClassMethod,__init()__
py_str_repeat_chars,LogicalOperator,and
py_str_repeat_chars,LogicalOperator,or
py_str_repeat_chars,LogicalOperator,not
py_str_repeat_chars,ArtithmeticOperator,//
py_str_repeat_chars,ArtithmeticOperator,-
py_str_repeat_chars,ArtithmeticOperator,+
py_str_repeat_chars,ArtithmeticOperator,/
py_str_repeat_chars,ArtithmeticOperator,**
py_str_repeat_chars,ArtithmeticOperator,Modulus
py_str_repeat_chars,ConditionalStatement,IfElifElseStatement
py_str_repeat_chars,ConditionalStatement,IfStatement
py_str_repeat_chars,ConditionalStatement,IfElseStatement
py_str_repeat_chars,ConditionalStatement,IfElifStatement
py_str_repeat_chars,ImportStatement,Import
py_str_repeat_chars,ImportStatement,ImportFrom
py_str_repeat_chars,JumpStatement,PassStatement
py_str_repeat_chars,JumpStatement,BreakStatement
py_str_repeat_chars,JumpStatement,ContinueStatement
py_str_repeat_chars,JumpStatement,ReturnStatement
py_str_repeat_chars,IterationStatement,WhileStatement
py_str_repeat_chars,ExceptionHandlingStatement,TryStatement
py_str_repeat_chars,ExceptionHandlingStatement,RaiseStatement
py_str_repeat_chars,ExceptionHandlingStatement,AssertStatement
py_str_repeat_chars,DefinitionStatement,ClassDefinition
py_str_repeat_chars,BuiltInFunction,dict()
py_str_repeat_chars,BuiltInFunction,next()
py_str_repeat_chars,BuiltInFunction,input()
py_str_repeat_chars,BuiltInFunction,int()
py_str_repeat_chars,BuiltInFunction,max()
py_str_repeat_chars,BuiltInFunction,float()
py_str_repeat_chars,BuiltInFunction,set()
py_str_repeat_chars,BuiltInFunction,open()
py_str_repeat_chars,BuiltInFunction,range()
py_str_repeat_chars,BuiltInFunction,tuple()
py_str_repeat_chars,BuiltInFunction,abs()
py_str_repeat_chars,BuiltInFunction,round()
py_str_repeat_chars,BuiltInFunction,len()
py_str_repeat_chars,BuiltInFunction,min()
py_str_repeat_chars,BuiltInFunction,list()
py_str_repeat2,ClassMethod,__init()__
py_str_repeat2,ArtithmeticOperator,//
py_str_repeat2,ArtithmeticOperator,-
py_str_repeat2,ArtithmeticOperator,/
py_str_repeat2,ArtithmeticOperator,**
py_str_repeat2,ArtithmeticOperator,Modulus
py_str_repeat2,Statement,ExpressionStatement
py_str_repeat2,ConditionalStatement,IfElifElseStatement
py_str_repeat2,ConditionalStatement,IfElseStatement
py_str_repeat2,ConditionalStatement,IfElifStatement
py_str_repeat2,IterationStatement,WhileStatement
py_str_repeat2,AssignmentStatement,AugmentedAssignmentStatement
py_str_repeat2,DefinitionStatement,ClassDefinition
py_str_repeat2,BuiltInFunction,dict()
py_str_repeat2,BuiltInFunction,str()
py_str_repeat2,BuiltInFunction,next()
py_str_repeat2,BuiltInFunction,input()
py_str_repeat2,BuiltInFunction,int()
py_str_repeat2,BuiltInFunction,max()
py_str_repeat2,BuiltInFunction,float()
py_str_repeat2,BuiltInFunction,set()
py_str_repeat2,BuiltInFunction,open()
py_str_repeat2,BuiltInFunction,tuple()
py_str_repeat2,BuiltInFunction,abs()
py_str_repeat2,BuiltInFunction,round()
py_str_repeat2,BuiltInFunction,min()
py_str_repeat2,BuiltInFunction,list()
py_student_score,ClassMethod,__init()__
py_score_dict2,ClassMethod,__init()__
bjects_classes_loan,ArtithmeticOperator,+
bjects_classes_loan,BuiltInFunction,dict()
bjects_classes_loan,BuiltInFunction,str()
bjects_classes_loan,BuiltInFunction,next()
bjects_classes_loan,BuiltInFunction,max()
bjects_classes_loan,BuiltInFunction,set()
bjects_classes_loan,BuiltInFunction,open()
bjects_classes_loan,BuiltInFunction,range()
bjects_classes_loan,BuiltInFunction,tuple()
bjects_classes_loan,BuiltInFunction,abs()
bjects_classes_loan,BuiltInFunction,round()
bjects_classes_loan,BuiltInFunction,len()
bjects_classes_loan,BuiltInFunction,min()
bjects_classes_loan,BuiltInFunction,list()
py_tv2,ArtithmeticOperator,/
py_tv2,ArtithmeticOperator,*
py_tv2,Statement,ExpressionStatement
py_tv2,ConditionalStatement,IfElifElseStatement
py_tv2,ConditionalStatement,IfElseStatement
py_tv2,ConditionalStatement,IfElifStatement
py_tv2,ImportStatement,Import
py_tv2,ImportStatement,ImportFrom
py_tv2,BuiltInFunction,dict()
py_tv2,BuiltInFunction,next()
py_tv2,BuiltInFunction,input()
py_tv2,BuiltInFunction,int()
py_tv2,BuiltInFunction,max()
py_tv2,BuiltInFunction,float()
py_tv2,BuiltInFunction,set()
py_tv2,BuiltInFunction,open()
py_tv2,BuiltInFunction,range()
py_tv2,BuiltInFunction,tuple()
py_tv2,BuiltInFunction,abs()
py_tv2,BuiltInFunction,round()
py_tv2,BuiltInFunction,len()
py_tv2,BuiltInFunction,min()
py_tv2,BuiltInFunction,list()
objects_classes_point,IterationStatement,ForStatement
objects_classes_point,IterationStatement,WhileStatement
objects_classes_point,BuiltInFunction,dict()
objects_classes_point,BuiltInFunction,next()
objects_classes_point,BuiltInFunction,input()
objects_classes_point,BuiltInFunction,max()
objects_classes_point,BuiltInFunction,float()
objects_classes_point,BuiltInFunction,set()
objects_classes_point,BuiltInFunction,open()
objects_classes_point,BuiltInFunction,range()
objects_classes_point,BuiltInFunction,tuple()
objects_classes_point,BuiltInFunction,abs()
objects_classes_point,BuiltInFunction,round()
objects_classes_point,BuiltInFunction,len()
objects_classes_point,BuiltInFunction,min()
objects_classes_point,BuiltInFunction,list()
py_point2,Statement,ExpressionStatement
py_point2,AssignmentStatement,AugmentedAssignmentStatement
py_point2,BuiltInFunction,dict()
py_point2,BuiltInFunction,next()
py_point2,BuiltInFunction,input()
py_point2,BuiltInFunction,int()
py_point2,BuiltInFunction,max()
py_point2,BuiltInFunction,float()
py_point2,BuiltInFunction,set()
py_point2,BuiltInFunction,open()
py_point2,BuiltInFunction,range()
py_point2,BuiltInFunction,tuple()
py_point2,BuiltInFunction,abs()
py_point2,BuiltInFunction,round()
py_point2,BuiltInFunction,len()
py_point2,BuiltInFunction,min()
py_point2,BuiltInFunction,list()
py_account2,ArtithmeticOperator,/
py_account2,ConditionalStatement,IfElifElseStatement
py_account2,ConditionalStatement,IfElseStatement
py_account2,ConditionalStatement,IfElifStatement
py_account2,ImportStatement,Import
py_account2,ImportStatement,ImportFrom
py_account2,JumpStatement,PassStatement
py_account2,JumpStatement,BreakStatement
py_account2,JumpStatement,ContinueStatement
py_account2,AssignmentStatement,AugmentedAssignmentStatement
py_account2,BuiltInFunction,dict()
py_account2,BuiltInFunction,str()
py_account2,BuiltInFunction,next()
py_account2,BuiltInFunction,input()
py_account2,BuiltInFunction,int()
py_account2,BuiltInFunction,max()
py_account2,BuiltInFunction,float()
py_account2,BuiltInFunction,set()
py_account2,BuiltInFunction,open()
py_account2,BuiltInFunction,range()
py_account2,BuiltInFunction,tuple()
py_account2,BuiltInFunction,abs()
py_account2,BuiltInFunction,round()
py_account2,BuiltInFunction,len()
py_account2,BuiltInFunction,min()
py_account2,BuiltInFunction,list()
py_first_char_words_dict,ClassMethod,__init()__
ae_adl_hello,ClassMethod,__init()__
ae_adl_hello,AssignmentStatement,AugmentedAssignmentStatement
ae_adl_hello,BuiltInFunction,dict()
ae_adl_hello,BuiltInFunction,str()
ae_adl_hello,BuiltInFunction,next()
ae_adl_hello,BuiltInFunction,input()
ae_adl_hello,BuiltInFunction,int()
ae_adl_hello,BuiltInFunction,max()
ae_adl_hello,BuiltInFunction,float()
ae_adl_hello,BuiltInFunction,set()
ae_adl_hello,BuiltInFunction,open()
ae_adl_hello,BuiltInFunction,range()
ae_adl_hello,BuiltInFunction,tuple()
ae_adl_hello,BuiltInFunction,abs()
ae_adl_hello,BuiltInFunction,round()
ae_adl_hello,BuiltInFunction,len()
ae_adl_hello,BuiltInFunction,min()
ae_adl_hello,BuiltInFunction,list()
ae_adl_variables,NumericLiteral,FloatLiteral
ae_adl_variables,NumericLiteral,IntegerLiteral
ae_adl_variables,ClassMethod,__init()__
ae_adl_arithmetics2,ClassMethod,__init()__
ae_adl_arithmetics2,MembershipOperator,in
ae_adl_arithmetics2,LogicalOperator,and
ae_adl_arithmetics2,LogicalOperator,or
ae_adl_arithmetics2,LogicalOperator,not
ae_adl_arithmetics2,ArtithmeticOperator,//
ae_adl_arithmetics2,ArtithmeticOperator,**
ae_adl_arithmetics2,ArtithmeticOperator,Modulus
ae_adl_arithmetics2,Statement,ExpressionStatement
ae_adl_arithmetics2,ConditionalStatement,IfElifElseStatement
ae_adl_arithmetics2,ConditionalStatement,IfStatement
ae_adl_arithmetics2,ConditionalStatement,IfElseStatement
ae_adl_arithmetics2,ConditionalStatement,IfElifStatement
ae_adl_arithmetics2,ImportStatement,Import
ae_adl_arithmetics2,ImportStatement,ImportFrom
ae_adl_arithmetics2,JumpStatement,PassStatement
ae_adl_arithmetics2,JumpStatement,BreakStatement
ae_adl_arithmetics2,JumpStatement,ContinueStatement
ae_adl_arithmetics2,JumpStatement,ReturnStatement
ae_adl_arithmetics2,IterationStatement,ForStatement
ae_adl_arithmetics2,IterationStatement,WhileStatement
ae_adl_arithmetics2,ExceptionHandlingStatement,TryStatement
ae_adl_arithmetics2,ExceptionHandlingStatement,RaiseStatement
ae_adl_arithmetics2,ExceptionHandlingStatement,AssertStatement
ae_adl_arithmetics2,AssignmentStatement,AugmentedAssignmentStatement
ae_adl_arithmetics2,DefinitionStatement,FunctionDefinition
ae_adl_arithmetics2,DefinitionStatement,ClassDefinition
ae_adl_arithmetics2,BuiltInFunction,dict()
ae_adl_arithmetics2,BuiltInFunction,str()
ae_adl_arithmetics2,BuiltInFunction,next()
ae_adl_arithmetics2,BuiltInFunction,input()
ae_adl_arithmetics2,BuiltInFunction,int()
ae_adl_arithmetics2,BuiltInFunction,max()
ae_adl_arithmetics2,BuiltInFunction,float()
ae_adl_arithmetics2,BuiltInFunction,set()
ae_adl_arithmetics2,BuiltInFunction,open()
ae_adl_arithmetics2,BuiltInFunction,range()
ae_adl_arithmetics2,BuiltInFunction,tuple()
ae_adl_arithmetics2,BuiltInFunction,abs()
ae_adl_arithmetics2,BuiltInFunction,round()
