exercise_name,parent,leaf_class
py_fail_course,ComparisonOperator,LessOrEqual
py_fail_course,ComparisonOperator,LargerOrEqual
py_phone_age2,ClassMethod,__init()__
py_rent_car,ClassMethod,__init()__
py_check_age,ClassMethod,__init()__
py_check_age2,ClassMethod,__init()__
py_three_boolean3,ClassMethod,__init()__
py_boolean_dry_hot,ClassMethod,__init()__
py_str_repeat_chars,LogicalOperator,and
py_str_repeat_chars,LogicalOperator,or
py_str_repeat_chars,LogicalOperator,not
py_str_repeat_chars,ArtithmeticOperator,//
py_str_repeat_chars,ArtithmeticOperator,-
py_str_repeat_chars,ArtithmeticOperator,/
py_str_repeat_chars,ArtithmeticOperator,**
py_str_repeat_chars,ArtithmeticOperator,Modulus
py_str_repeat_chars,ConditionalStatement,IfElifElseStatement
py_str_repeat_chars,ConditionalStatement,IfStatement
py_str_repeat_chars,ConditionalStatement,IfElseStatement
py_str_repeat_chars,ConditionalStatement,IfElifStatement
py_str_repeat_chars,ImportStatement,Import
py_str_repeat_chars,ImportStatement,ImportFrom
py_str_repeat_chars,JumpStatement,PassStatement
py_str_repeat_chars,JumpStatement,BreakStatement
py_str_repeat_chars,JumpStatement,ContinueStatement
py_str_repeat_chars,JumpStatement,ReturnStatement
py_str_repeat_chars,IterationStatement,WhileStatement
py_str_repeat_chars,ExceptionHandlingStatement,TryStatement
py_str_repeat_chars,ExceptionHandlingStatement,RaiseStatement
py_str_repeat_chars,ExceptionHandlingStatement,AssertStatement
py_str_repeat_chars,DefinitionStatement,ClassDefinition
py_str_repeat_chars,BuiltInFunction,dict()
py_str_repeat_chars,BuiltInFunction,next()
py_str_repeat_chars,BuiltInFunction,input()
py_str_repeat_chars,BuiltInFunction,int()
py_str_repeat_chars,BuiltInFunction,max()
py_str_repeat_chars,BuiltInFunction,float()
py_str_repeat_chars,BuiltInFunction,set()
py_str_repeat_chars,BuiltInFunction,open()
py_str_repeat_chars,BuiltInFunction,range()
py_str_repeat_chars,BuiltInFunction,tuple()
py_str_repeat_chars,BuiltInFunction,abs()
py_str_repeat_chars,BuiltInFunction,round()
py_str_repeat_chars,BuiltInFunction,len()
py_str_repeat_chars,BuiltInFunction,min()
py_str_repeat_chars,BuiltInFunction,list()
py_str_repeat2,ClassMethod,__init()__
