exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ae_adl_arithmetics2,12,13,12,0,1,1.0000,0.9231,0.9600,0.9231,0.0000
ae_adl_comparison,12,9,8,4,1,0.6667,0.8889,0.7619,0.6154,0.0000
ae_adl_dict1,13,14,12,1,2,0.9231,0.8571,0.8889,0.8000,0.0000
ae_adl_dict2,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
ae_adl_dict3,20,19,17,3,2,0.8500,0.8947,0.8718,0.7727,0.0000
ae_adl_file1,16,15,15,1,0,0.9375,1.0000,0.9677,0.9375,0.0000
ae_adl_file2,16,16,14,2,2,0.8750,0.8750,0.8750,0.7778,0.0000
ae_adl_findmax,15,14,13,2,1,0.8667,0.9286,0.8966,0.8125,0.0000
ae_adl_for,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_format1,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_format2,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_adl_functions1,5,5,5,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_functions2,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
ae_adl_functions3,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_greet,7,7,7,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_hello,3,4,3,0,1,1.0000,0.7500,0.8571,0.7500,0.0000
ae_adl_hiscore1,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_hiscore2,12,11,11,1,0,0.9167,1.0000,0.9565,0.9167,0.0000
ae_adl_ifelifelse,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ae_adl_ifelse,12,12,11,1,1,0.9167,0.9167,0.9167,0.8462,0.0000
ae_adl_input1,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_input2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_lists1,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_lists2,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_lists3,14,15,14,0,1,1.0000,0.9333,0.9655,0.9333,0.0000
ae_adl_logic,13,12,11,2,1,0.8462,0.9167,0.8800,0.7857,0.0000
ae_adl_nested_if,12,12,10,2,2,0.8333,0.8333,0.8333,0.7143,0.0000
ae_adl_objects1,6,6,5,1,1,0.8333,0.8333,0.8333,0.7143,0.0000
ae_adl_objects2,20,18,18,2,0,0.9000,1.0000,0.9474,0.9000,0.0000
ae_adl_objects3,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
ae_adl_recursion,14,13,13,1,0,0.9286,1.0000,0.9630,0.9286,0.0000
ae_adl_returnvalue,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
ae_adl_simple_arithmetics,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_strings,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_adl_swap,4,7,4,0,3,1.0000,0.5714,0.7273,0.5714,0.0000
ae_adl_tryexcept1,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ae_adl_tryexcept2,14,15,14,0,1,1.0000,0.9333,0.9655,0.9333,0.0000
ae_adl_vals_refs1,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_adl_vals_refs2,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ae_adl_vals_refs3,10,10,9,1,1,0.9000,0.9000,0.9000,0.8182,0.0000
ae_adl_variables,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_adl_while,13,12,12,1,0,0.9231,1.0000,0.9600,0.9231,0.0000
ae_python_assignment,5,6,5,0,1,1.0000,0.8333,0.9091,0.8333,0.0000
ae_python_class1,7,6,6,1,0,0.8571,1.0000,0.9231,0.8571,0.0000
ae_python_class2,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
ae_python_file,21,19,19,2,0,0.9048,1.0000,0.9500,0.9048,0.0000
ae_python_float,10,13,10,0,3,1.0000,0.7692,0.8696,0.7692,0.0000
ae_python_for,8,9,8,0,1,1.0000,0.8889,0.9412,0.8889,0.0000
ae_python_function,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ae_python_if,13,9,7,6,2,0.5385,0.7778,0.6364,0.4667,0.0000
ae_python_input,6,7,6,0,1,1.0000,0.8571,0.9231,0.8571,0.0000
ae_python_intro,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
ae_python_list,19,19,17,2,2,0.8947,0.8947,0.8947,0.8095,0.0000
