splits_window_50_code_with_problems/chars_bin=0,parser,5,0.9386,0.8805,0.9036,0.8318,0.0985,0.9313,0.8874,0.9088,0.8329
splits_window_50_code_with_problems/chars_bin=1,parser,5,0.9066,0.8898,0.8964,0.8391,0.0458,0.9081,0.9137,0.9109,0.8364
splits_window_50_code_with_problems/comments_bin=0,parser,5,0.9335,0.8877,0.9049,0.8336,0.0942,0.9219,0.8947,0.9081,0.8317
splits_window_50_code_with_problems/comments_bin=1,parser,5,0.9107,0.8822,0.8947,0.8374,0.0480,0.9128,0.9108,0.9118,0.8379
splits_window_50_code_with_problems/length_lines_bin=0,parser,5,0.9387,0.8807,0.9040,0.8322,0.0769,0.9319,0.8865,0.9087,0.8326
splits_window_50_code_with_problems/length_lines_bin=1,parser,5,0.9034,0.8903,0.8953,0.8393,0.0667,0.9062,0.9163,0.9112,0.8369
splits_window_50_code_with_problems/chars_bin=0,parser,4,0.9156,0.9574,0.9311,0.8779,0.2652,0.9049,0.9588,0.9310,0.8710
splits_window_50_code_with_problems/chars_bin=1,parser,4,0.8881,0.9297,0.9073,0.8574,0.0992,0.8895,0.9502,0.9189,0.8499
splits_window_50_code_with_problems/comments_bin=0,parser,4,0.9080,0.9510,0.9242,0.8662,0.2319,0.8946,0.9524,0.9226,0.8563
splits_window_50_code_with_problems/comments_bin=1,parser,4,0.8952,0.9355,0.9137,0.8694,0.1280,0.8962,0.9546,0.9245,0.8596
splits_window_50_code_with_problems/length_lines_bin=0,parser,4,0.9194,0.9566,0.9330,0.8814,0.2727,0.9105,0.9579,0.9336,0.8755
splits_window_50_code_with_problems/length_lines_bin=1,parser,4,0.8810,0.9283,0.9028,0.8514,0.0750,0.8843,0.9503,0.9161,0.8452
splits_window_50_code_with_problems/chars_bin=0,parser,3,0.9039,0.9594,0.9256,0.8684,0.2273,0.8933,0.9610,0.9259,0.8620
splits_window_50_code_with_problems/chars_bin=1,parser,3,0.8830,0.9318,0.9055,0.8542,0.0916,0.8846,0.9521,0.9171,0.8470
splits_window_50_code_with_problems/comments_bin=0,parser,3,0.8962,0.9529,0.9186,0.8565,0.2029,0.8834,0.9543,0.9175,0.8475
splits_window_50_code_with_problems/comments_bin=1,parser,3,0.8905,0.9378,0.9122,0.8666,0.1120,0.8920,0.9568,0.9232,0.8574
splits_window_50_code_with_problems/length_lines_bin=0,parser,3,0.9074,0.9584,0.9273,0.8714,0.2308,0.8982,0.9599,0.9280,0.8657
splits_window_50_code_with_problems/length_lines_bin=1,parser,3,0.8768,0.9306,0.9016,0.8493,0.0750,0.8804,0.9523,0.9149,0.8432
